Tile,Image,ManualCluster,Color,Binning,Clara,KCC,Kmeans,Multiotsu,Pytorch,Recolorize,Supercells
1,tile_4,1,white,1,1,1,1,1,1,1,1
1,tile_4,2,blue,2,2,2,2,2,2,2,2
2,tile_5,1,white,1,1,1,1,1,1,1,1
2,tile_5,2,blue,2,2,2,2,2,2,2,2
3,tile_14,1,white,1,1,1,1,1,1,1,1
3,tile_14,2,blue,2,2,2,2,2,2,2,2
4,tile_15,1,white,1,1,1,1,1,1,1,1
4,tile_15,2,blue,2,2,2,2,2,2,2,2
5,tile_16,1,white,1,1,1,1,1,1,1,1
5,tile_16,2,blue,2,2,2,2,2,2,2,2
6,tile_17,1,white,1,1,1,1,1,1,1,1
6,tile_17,2,blue,2,2,2,2,2,2,2,2
7,tile_26,1,white,1,1,1,1,1,1,1,1
7,tile_26,2,blue,2,2,2,2,2,2,2,2
8,tile_27,1,white,1,1,1,1,1,1,1,1
8,tile_27,2,blue,2,2,2,2,2,2,2,2
9,tile_28,1,white,1,1,1,1,1,1,1,1
9,tile_28,2,blue,2,2,2,2,2,2,2,2
10,tile_37,1,white,1,1,1,1,1,1,1,1
10,tile_37,2,blue,2,2,2,2,2,2,2,2
11,tile_38,1,white,1,1,1,1,1,1,1,1
11,tile_38,2,blue,2,2,2,2,2,2,2,2
12,tile_39,1,white,1,1,1,1,1,1,1,1
12,tile_39,2,blue,2,2,2,2,2,2,2,2
13,tile_40,1,white,1,1,1,1,1,1,1,1
13,tile_40,2,blue,2,2,2,2,2,2,2,2
14,tile_49,1,white,1,1,1,1,1,1,1,1
14,tile_49,2,blue,2,2,2,2,2,2,2,2
15,tile_50,1,white,1,1,1,1,1,1,1,1
15,tile_50,2,blue,2,2,2,2,2,2,2,2
16,tile_51,1,white,1,1,1,1,1,1,1,1
16,tile_51,2,blue,2,2,2,2,2,2,2,2
17,tile_60,1,white,1,1,1,1,1,1,1,1
17,tile_60,2,blue,2,2,2,2,2,2,2,2
18,tile_61,1,white,1,1,1,1,1,1,1,1
18,tile_61,2,blue,2,2,2,2,2,2,2,2
19,tile_71,1,white,1,1,1,1,1,1,1,1
19,tile_71,2,blue,2,2,2,2,2,2,2,2
20,tile_72,1,white,1,1,1,1,1,1,1,1
20,tile_72,2,blue,2,2,2,2,2,2,2,2
21,tile_82,1,white,1,1,1,1,1,1,1,1
21,tile_82,2,blue,2,2,2,2,2,2,2,2
22,tile_83,1,white,1,1,1,1,1,1,1,1
22,tile_83,2,blue,2,2,2,2,2,2,2,2
23,tile_94,1,white,1,1,1,1,1,1,1,1
23,tile_94,2,blue,2,2,2,2,2,2,2,2
24,tile_95,1,white,1,1,1,1,1,1,1,1
24,tile_95,2,blue,2,2,2,2,2,2,2,2
25,tile_106,1,white,1,1,1,1,1,1,1,1
25,tile_106,2,blue,2,2,2,2,2,2,2,2
