Counts,Freq,Cluster,Image
False Negative,489989,1,KPMP_uS-X001Y008_Annotations
False Positive,279623,1,KPMP_uS-X001Y008_Annotations
True Negative,953531,1,KPMP_uS-X001Y008_Annotations
True Positive,350457,1,KPMP_uS-X001Y008_Annotations
False Negative,300462,2,KPMP_uS-X001Y008_Annotations
False Positive,141622,2,KPMP_uS-X001Y008_Annotations
True Negative,1010718,2,KPMP_uS-X001Y008_Annotations
True Positive,620798,2,KPMP_uS-X001Y008_Annotations
False Negative,27215,3,KPMP_uS-X001Y008_Annotations
False Positive,461948,3,KPMP_uS-X001Y008_Annotations
True Negative,1485596,3,KPMP_uS-X001Y008_Annotations
True Positive,98841,3,KPMP_uS-X001Y008_Annotations
False Negative,85239,4,KPMP_uS-X001Y008_Annotations
False Positive,19712,4,KPMP_uS-X001Y008_Annotations
True Negative,1868050,4,KPMP_uS-X001Y008_Annotations
True Positive,100599,4,KPMP_uS-X001Y008_Annotations
False Negative,569232,1,KPMP_uS-X001Y009_Annotations
False Positive,244278,1,KPMP_uS-X001Y009_Annotations
True Negative,997601,1,KPMP_uS-X001Y009_Annotations
True Positive,262489,1,KPMP_uS-X001Y009_Annotations
False Negative,498261,2,KPMP_uS-X001Y009_Annotations
False Positive,75732,2,KPMP_uS-X001Y009_Annotations
True Negative,1209669,2,KPMP_uS-X001Y009_Annotations
True Positive,289938,2,KPMP_uS-X001Y009_Annotations
False Negative,82292,3,KPMP_uS-X001Y009_Annotations
False Positive,292642,3,KPMP_uS-X001Y009_Annotations
True Negative,1692951,3,KPMP_uS-X001Y009_Annotations
True Positive,5715,3,KPMP_uS-X001Y009_Annotations
False Negative,99056,4,KPMP_uS-X001Y009_Annotations
False Positive,383777,4,KPMP_uS-X001Y009_Annotations
True Negative,1554827,4,KPMP_uS-X001Y009_Annotations
True Positive,35940,4,KPMP_uS-X001Y009_Annotations
False Negative,213,5,KPMP_uS-X001Y009_Annotations
False Positive,219735,5,KPMP_uS-X001Y009_Annotations
True Negative,1837104,5,KPMP_uS-X001Y009_Annotations
True Positive,16548,5,KPMP_uS-X001Y009_Annotations
False Negative,25894,6,KPMP_uS-X001Y009_Annotations
False Positive,58784,6,KPMP_uS-X001Y009_Annotations
True Negative,1800900,6,KPMP_uS-X001Y009_Annotations
True Positive,188022,6,KPMP_uS-X001Y009_Annotations
False Negative,433364,1,KPMP_uS-X001Y010_Annotations
False Positive,161066,1,KPMP_uS-X001Y010_Annotations
True Negative,1100028,1,KPMP_uS-X001Y010_Annotations
True Positive,379142,1,KPMP_uS-X001Y010_Annotations
False Negative,330937,2,KPMP_uS-X001Y010_Annotations
False Positive,53324,2,KPMP_uS-X001Y010_Annotations
True Negative,1388169,2,KPMP_uS-X001Y010_Annotations
True Positive,301170,2,KPMP_uS-X001Y010_Annotations
False Negative,89648,3,KPMP_uS-X001Y010_Annotations
False Positive,375489,3,KPMP_uS-X001Y010_Annotations
True Negative,1557993,3,KPMP_uS-X001Y010_Annotations
True Positive,50470,3,KPMP_uS-X001Y010_Annotations
False Negative,10,4,KPMP_uS-X001Y010_Annotations
False Positive,245803,4,KPMP_uS-X001Y010_Annotations
True Negative,1820459,4,KPMP_uS-X001Y010_Annotations
True Positive,7328,4,KPMP_uS-X001Y010_Annotations
False Negative,10463,5,KPMP_uS-X001Y010_Annotations
False Positive,28740,5,KPMP_uS-X001Y010_Annotations
True Negative,1563329,5,KPMP_uS-X001Y010_Annotations
True Positive,471068,5,KPMP_uS-X001Y010_Annotations
False Negative,291541,1,KPMP_uS-X002Y009_Annotations
False Positive,292832,1,KPMP_uS-X002Y009_Annotations
True Negative,668603,1,KPMP_uS-X002Y009_Annotations
True Positive,820624,1,KPMP_uS-X002Y009_Annotations
False Negative,292832,2,KPMP_uS-X002Y009_Annotations
False Positive,291541,2,KPMP_uS-X002Y009_Annotations
True Negative,820624,2,KPMP_uS-X002Y009_Annotations
True Positive,668603,2,KPMP_uS-X002Y009_Annotations
False Negative,166279,1,KPMP_uS-X002Y011_Annotations
False Positive,334739,1,KPMP_uS-X002Y011_Annotations
True Negative,952980,1,KPMP_uS-X002Y011_Annotations
True Positive,619602,1,KPMP_uS-X002Y011_Annotations
False Negative,334739,2,KPMP_uS-X002Y011_Annotations
False Positive,166279,2,KPMP_uS-X002Y011_Annotations
True Negative,619602,2,KPMP_uS-X002Y011_Annotations
True Positive,952980,2,KPMP_uS-X002Y011_Annotations
False Negative,525948,1,KPMP_uS-X002Y013_Annotations
False Positive,157784,1,KPMP_uS-X002Y013_Annotations
True Negative,1002440,1,KPMP_uS-X002Y013_Annotations
True Positive,387428,1,KPMP_uS-X002Y013_Annotations
False Negative,467885,2,KPMP_uS-X002Y013_Annotations
False Positive,113549,2,KPMP_uS-X002Y013_Annotations
True Negative,871751,2,KPMP_uS-X002Y013_Annotations
True Positive,620415,2,KPMP_uS-X002Y013_Annotations
False Negative,30885,3,KPMP_uS-X002Y013_Annotations
False Positive,753385,3,KPMP_uS-X002Y013_Annotations
True Negative,1248291,3,KPMP_uS-X002Y013_Annotations
True Positive,41039,3,KPMP_uS-X002Y013_Annotations
False Negative,446289,1,KPMP_uS-X002Y015_Annotations
False Positive,240256,1,KPMP_uS-X002Y015_Annotations
True Negative,1087601,1,KPMP_uS-X002Y015_Annotations
True Positive,299454,1,KPMP_uS-X002Y015_Annotations
False Negative,91041,2,KPMP_uS-X002Y015_Annotations
False Positive,374447,2,KPMP_uS-X002Y015_Annotations
True Negative,1593167,2,KPMP_uS-X002Y015_Annotations
True Positive,14945,2,KPMP_uS-X002Y015_Annotations
False Negative,606811,3,KPMP_uS-X002Y015_Annotations
False Positive,40172,3,KPMP_uS-X002Y015_Annotations
True Negative,1130481,3,KPMP_uS-X002Y015_Annotations
True Positive,296136,3,KPMP_uS-X002Y015_Annotations
False Negative,239611,4,KPMP_uS-X002Y015_Annotations
False Positive,347140,4,KPMP_uS-X002Y015_Annotations
True Negative,1438638,4,KPMP_uS-X002Y015_Annotations
True Positive,48211,4,KPMP_uS-X002Y015_Annotations
False Negative,2115,5,KPMP_uS-X002Y015_Annotations
False Positive,383852,5,KPMP_uS-X002Y015_Annotations
True Negative,1658646,5,KPMP_uS-X002Y015_Annotations
True Positive,28987,5,KPMP_uS-X002Y015_Annotations
False Negative,747695,1,KPMP_uS-X002Y019_Annotations
False Positive,119062,1,KPMP_uS-X002Y019_Annotations
True Negative,655173,1,KPMP_uS-X002Y019_Annotations
True Positive,551670,1,KPMP_uS-X002Y019_Annotations
False Negative,210425,2,KPMP_uS-X002Y019_Annotations
False Positive,461345,2,KPMP_uS-X002Y019_Annotations
True Negative,1302715,2,KPMP_uS-X002Y019_Annotations
True Positive,99115,2,KPMP_uS-X002Y019_Annotations
False Negative,183633,3,KPMP_uS-X002Y019_Annotations
False Positive,262467,3,KPMP_uS-X002Y019_Annotations
True Negative,1491876,3,KPMP_uS-X002Y019_Annotations
True Positive,135624,3,KPMP_uS-X002Y019_Annotations
False Negative,1255,4,KPMP_uS-X002Y019_Annotations
False Positive,300134,4,KPMP_uS-X002Y019_Annotations
True Negative,1628028,4,KPMP_uS-X002Y019_Annotations
True Positive,144183,4,KPMP_uS-X002Y019_Annotations
False Negative,677607,1,KPMP_uS-X002Y021_Annotations
False Positive,193515,1,KPMP_uS-X002Y021_Annotations
True Negative,946956,1,KPMP_uS-X002Y021_Annotations
True Positive,255522,1,KPMP_uS-X002Y021_Annotations
False Negative,287576,2,KPMP_uS-X002Y021_Annotations
False Positive,369972,2,KPMP_uS-X002Y021_Annotations
True Negative,1330398,2,KPMP_uS-X002Y021_Annotations
True Positive,85654,2,KPMP_uS-X002Y021_Annotations
False Negative,21308,3,KPMP_uS-X002Y021_Annotations
False Positive,133743,3,KPMP_uS-X002Y021_Annotations
True Negative,1861023,3,KPMP_uS-X002Y021_Annotations
True Positive,57526,3,KPMP_uS-X002Y021_Annotations
False Negative,250246,4,KPMP_uS-X002Y021_Annotations
False Positive,212948,4,KPMP_uS-X002Y021_Annotations
True Negative,1459635,4,KPMP_uS-X002Y021_Annotations
True Positive,150771,4,KPMP_uS-X002Y021_Annotations
False Negative,31127,5,KPMP_uS-X002Y021_Annotations
False Positive,326307,5,KPMP_uS-X002Y021_Annotations
True Negative,1694068,5,KPMP_uS-X002Y021_Annotations
True Positive,22098,5,KPMP_uS-X002Y021_Annotations
False Negative,14436,6,KPMP_uS-X002Y021_Annotations
False Positive,45815,6,KPMP_uS-X002Y021_Annotations
True Negative,1793620,6,KPMP_uS-X002Y021_Annotations
True Positive,219729,6,KPMP_uS-X002Y021_Annotations
False Negative,542623,1,KPMP_uS-X003Y006_Annotations
False Positive,306008,1,KPMP_uS-X003Y006_Annotations
True Negative,662844,1,KPMP_uS-X003Y006_Annotations
True Positive,562125,1,KPMP_uS-X003Y006_Annotations
False Negative,405305,2,KPMP_uS-X003Y006_Annotations
False Positive,102385,2,KPMP_uS-X003Y006_Annotations
True Negative,1142238,2,KPMP_uS-X003Y006_Annotations
True Positive,423672,2,KPMP_uS-X003Y006_Annotations
False Negative,26943,3,KPMP_uS-X003Y006_Annotations
False Positive,566478,3,KPMP_uS-X003Y006_Annotations
True Negative,1367247,3,KPMP_uS-X003Y006_Annotations
True Positive,112932,3,KPMP_uS-X003Y006_Annotations
