Counts,Freq,Cluster,Image
False Negative,497602,1,KPMP_uS-X001Y008_Annotations
False Positive,299596,1,KPMP_uS-X001Y008_Annotations
True Negative,933558,1,KPMP_uS-X001Y008_Annotations
True Positive,342844,1,KPMP_uS-X001Y008_Annotations
False Negative,332972,2,KPMP_uS-X001Y008_Annotations
False Positive,159245,2,KPMP_uS-X001Y008_Annotations
True Negative,993095,2,KPMP_uS-X001Y008_Annotations
True Positive,588288,2,KPMP_uS-X001Y008_Annotations
False Negative,48034,3,KPMP_uS-X001Y008_Annotations
False Positive,429614,3,KPMP_uS-X001Y008_Annotations
True Negative,1517930,3,KPMP_uS-X001Y008_Annotations
True Positive,78022,3,KPMP_uS-X001Y008_Annotations
False Negative,74288,4,KPMP_uS-X001Y008_Annotations
False Positive,64441,4,KPMP_uS-X001Y008_Annotations
True Negative,1823321,4,KPMP_uS-X001Y008_Annotations
True Positive,111550,4,KPMP_uS-X001Y008_Annotations
False Negative,566227,1,KPMP_uS-X001Y009_Annotations
False Positive,196786,1,KPMP_uS-X001Y009_Annotations
True Negative,1045093,1,KPMP_uS-X001Y009_Annotations
True Positive,265494,1,KPMP_uS-X001Y009_Annotations
False Negative,471881,2,KPMP_uS-X001Y009_Annotations
False Positive,92342,2,KPMP_uS-X001Y009_Annotations
True Negative,1193059,2,KPMP_uS-X001Y009_Annotations
True Positive,316318,2,KPMP_uS-X001Y009_Annotations
False Negative,52849,3,KPMP_uS-X001Y009_Annotations
False Positive,482434,3,KPMP_uS-X001Y009_Annotations
True Negative,1503159,3,KPMP_uS-X001Y009_Annotations
True Positive,35158,3,KPMP_uS-X001Y009_Annotations
False Negative,83021,4,KPMP_uS-X001Y009_Annotations
False Positive,304879,4,KPMP_uS-X001Y009_Annotations
True Negative,1633725,4,KPMP_uS-X001Y009_Annotations
True Positive,51975,4,KPMP_uS-X001Y009_Annotations
False Negative,924,5,KPMP_uS-X001Y009_Annotations
False Positive,44660,5,KPMP_uS-X001Y009_Annotations
True Negative,2012179,5,KPMP_uS-X001Y009_Annotations
True Positive,15837,5,KPMP_uS-X001Y009_Annotations
False Negative,20323,6,KPMP_uS-X001Y009_Annotations
False Positive,74124,6,KPMP_uS-X001Y009_Annotations
True Negative,1785560,6,KPMP_uS-X001Y009_Annotations
