Counts,Freq,Cluster,Image
False Negative,494557,1,KPMP_uS-X001Y008_Annotations
False Positive,309819,1,KPMP_uS-X001Y008_Annotations
True Negative,923335,1,KPMP_uS-X001Y008_Annotations
True Positive,345889,1,KPMP_uS-X001Y008_Annotations
False Negative,341711,2,KPMP_uS-X001Y008_Annotations
False Positive,122721,2,KPMP_uS-X001Y008_Annotations
True Negative,1029619,2,KPMP_uS-X001Y008_Annotations
True Positive,579549,2,KPMP_uS-X001Y008_Annotations
False Negative,25336,3,KPMP_uS-X001Y008_Annotations
False Positive,489032,3,KPMP_uS-X001Y008_Annotations
True Negative,1458512,3,KPMP_uS-X001Y008_Annotations
True Positive,100720,3,KPMP_uS-X001Y008_Annotations
False Negative,83029,4,KPMP_uS-X001Y008_Annotations
False Positive,23061,4,KPMP_uS-X001Y008_Annotations
True Negative,1864701,4,KPMP_uS-X001Y008_Annotations
True Positive,102809,4,KPMP_uS-X001Y008_Annotations
False Negative,491777,1,KPMP_uS-X001Y009_Annotations
False Positive,250704,1,KPMP_uS-X001Y009_Annotations
True Negative,991175,1,KPMP_uS-X001Y009_Annotations
True Positive,339944,1,KPMP_uS-X001Y009_Annotations
False Negative,492807,2,KPMP_uS-X001Y009_Annotations
False Positive,76794,2,KPMP_uS-X001Y009_Annotations
True Negative,1208607,2,KPMP_uS-X001Y009_Annotations
True Positive,295392,2,KPMP_uS-X001Y009_Annotations
False Negative,64577,3,KPMP_uS-X001Y009_Annotations
False Positive,461053,3,KPMP_uS-X001Y009_Annotations
True Negative,1524540,3,KPMP_uS-X001Y009_Annotations
True Positive,23430,3,KPMP_uS-X001Y009_Annotations
False Negative,74217,4,KPMP_uS-X001Y009_Annotations
False Positive,277663,4,KPMP_uS-X001Y009_Annotations
True Negative,1660941,4,KPMP_uS-X001Y009_Annotations
True Positive,60779,4,KPMP_uS-X001Y009_Annotations
False Negative,686,5,KPMP_uS-X001Y009_Annotations
False Positive,19036,5,KPMP_uS-X001Y009_Annotations
True Negative,2037803,5,KPMP_uS-X001Y009_Annotations
True Positive,16075,5,KPMP_uS-X001Y009_Annotations
False Negative,24478,6,KPMP_uS-X001Y009_Annotations
False Positive,63292,6,KPMP_uS-X001Y009_Annotations
True Negative,1796392,6,KPMP_uS-X001Y009_Annotations
True Positive,189438,6,KPMP_uS-X001Y009_Annotations
False Negative,397467,1,KPMP_uS-X001Y010_Annotations
False Positive,160517,1,KPMP_uS-X001Y010_Annotations
True Negative,1100577,1,KPMP_uS-X001Y010_Annotations
True Positive,415039,1,KPMP_uS-X001Y010_Annotations
False Negative,322535,2,KPMP_uS-X001Y010_Annotations
False Positive,55605,2,KPMP_uS-X001Y010_Annotations
True Negative,1385888,2,KPMP_uS-X001Y010_Annotations
True Positive,309572,2,KPMP_uS-X001Y010_Annotations
False Negative,84358,3,KPMP_uS-X001Y010_Annotations
False Positive,396787,3,KPMP_uS-X001Y010_Annotations
True Negative,1536695,3,KPMP_uS-X001Y010_Annotations
True Positive,55760,3,KPMP_uS-X001Y010_Annotations
False Negative,142,4,KPMP_uS-X001Y010_Annotations
False Positive,173796,4,KPMP_uS-X001Y010_Annotations
True Negative,1892466,4,KPMP_uS-X001Y010_Annotations
True Positive,7196,4,KPMP_uS-X001Y010_Annotations
False Negative,10563,5,KPMP_uS-X001Y010_Annotations
False Positive,28360,5,KPMP_uS-X001Y010_Annotations
True Negative,1563709,5,KPMP_uS-X001Y010_Annotations
True Positive,470968,5,KPMP_uS-X001Y010_Annotations
False Negative,279164,1,KPMP_uS-X002Y009_Annotations
False Positive,302368,1,KPMP_uS-X002Y009_Annotations
True Negative,659067,1,KPMP_uS-X002Y009_Annotations
True Positive,833001,1,KPMP_uS-X002Y009_Annotations
False Negative,302368,2,KPMP_uS-X002Y009_Annotations
False Positive,279164,2,KPMP_uS-X002Y009_Annotations
True Negative,833001,2,KPMP_uS-X002Y009_Annotations
True Positive,659067,2,KPMP_uS-X002Y009_Annotations
False Negative,159850,1,KPMP_uS-X002Y011_Annotations
False Positive,345778,1,KPMP_uS-X002Y011_Annotations
True Negative,941941,1,KPMP_uS-X002Y011_Annotations
True Positive,626031,1,KPMP_uS-X002Y011_Annotations
False Negative,345778,2,KPMP_uS-X002Y011_Annotations
False Positive,159850,2,KPMP_uS-X002Y011_Annotations
True Negative,626031,2,KPMP_uS-X002Y011_Annotations
True Positive,941941,2,KPMP_uS-X002Y011_Annotations
False Negative,491520,1,KPMP_uS-X002Y013_Annotations
False Positive,177080,1,KPMP_uS-X002Y013_Annotations
True Negative,983144,1,KPMP_uS-X002Y013_Annotations
True Positive,421856,1,KPMP_uS-X002Y013_Annotations
False Negative,495420,2,KPMP_uS-X002Y013_Annotations
False Positive,103431,2,KPMP_uS-X002Y013_Annotations
True Negative,881869,2,KPMP_uS-X002Y013_Annotations
True Positive,592880,2,KPMP_uS-X002Y013_Annotations
False Negative,33501,3,KPMP_uS-X002Y013_Annotations
False Positive,739930,3,KPMP_uS-X002Y013_Annotations
True Negative,1261746,3,KPMP_uS-X002Y013_Annotations
True Positive,38423,3,KPMP_uS-X002Y013_Annotations
False Negative,436756,1,KPMP_uS-X002Y015_Annotations
False Positive,238768,1,KPMP_uS-X002Y015_Annotations
True Negative,1089089,1,KPMP_uS-X002Y015_Annotations
True Positive,308987,1,KPMP_uS-X002Y015_Annotations
False Negative,90397,2,KPMP_uS-X002Y015_Annotations
False Positive,386419,2,KPMP_uS-X002Y015_Annotations
True Negative,1581195,2,KPMP_uS-X002Y015_Annotations
True Positive,15589,2,KPMP_uS-X002Y015_Annotations
False Negative,606803,3,KPMP_uS-X002Y015_Annotations
False Positive,40112,3,KPMP_uS-X002Y015_Annotations
True Negative,1130541,3,KPMP_uS-X002Y015_Annotations
True Positive,296144,3,KPMP_uS-X002Y015_Annotations
False Negative,221565,4,KPMP_uS-X002Y015_Annotations
False Positive,492182,4,KPMP_uS-X002Y015_Annotations
True Negative,1293596,4,KPMP_uS-X002Y015_Annotations
True Positive,66257,4,KPMP_uS-X002Y015_Annotations
False Negative,4889,5,KPMP_uS-X002Y015_Annotations
False Positive,202929,5,KPMP_uS-X002Y015_Annotations
True Negative,1839569,5,KPMP_uS-X002Y015_Annotations
True Positive,26213,5,KPMP_uS-X002Y015_Annotations
False Negative,601817,1,KPMP_uS-X002Y019_Annotations
False Positive,147647,1,KPMP_uS-X002Y019_Annotations
True Negative,626588,1,KPMP_uS-X002Y019_Annotations
True Positive,697548,1,KPMP_uS-X002Y019_Annotations
False Negative,184422,2,KPMP_uS-X002Y019_Annotations
False Positive,335165,2,KPMP_uS-X002Y019_Annotations
True Negative,1428895,2,KPMP_uS-X002Y019_Annotations
True Positive,125118,2,KPMP_uS-X002Y019_Annotations
False Negative,184130,3,KPMP_uS-X002Y019_Annotations
False Positive,262345,3,KPMP_uS-X002Y019_Annotations
True Negative,1491998,3,KPMP_uS-X002Y019_Annotations
True Positive,135127,3,KPMP_uS-X002Y019_Annotations
False Negative,2059,4,KPMP_uS-X002Y019_Annotations
False Positive,227271,4,KPMP_uS-X002Y019_Annotations
True Negative,1700891,4,KPMP_uS-X002Y019_Annotations
True Positive,143379,4,KPMP_uS-X002Y019_Annotations
False Negative,660650,1,KPMP_uS-X002Y021_Annotations
False Positive,200819,1,KPMP_uS-X002Y021_Annotations
True Negative,939652,1,KPMP_uS-X002Y021_Annotations
True Positive,272479,1,KPMP_uS-X002Y021_Annotations
False Negative,253858,2,KPMP_uS-X002Y021_Annotations
False Positive,417940,2,KPMP_uS-X002Y021_Annotations
True Negative,1282430,2,KPMP_uS-X002Y021_Annotations
True Positive,119372,2,KPMP_uS-X002Y021_Annotations
False Negative,29708,3,KPMP_uS-X002Y021_Annotations
False Positive,64443,3,KPMP_uS-X002Y021_Annotations
True Negative,1930323,3,KPMP_uS-X002Y021_Annotations
True Positive,49126,3,KPMP_uS-X002Y021_Annotations
False Negative,246274,4,KPMP_uS-X002Y021_Annotations
False Positive,209942,4,KPMP_uS-X002Y021_Annotations
True Negative,1462641,4,KPMP_uS-X002Y021_Annotations
True Positive,154743,4,KPMP_uS-X002Y021_Annotations
False Negative,22050,5,KPMP_uS-X002Y021_Annotations
False Positive,274375,5,KPMP_uS-X002Y021_Annotations
True Negative,1746000,5,KPMP_uS-X002Y021_Annotations
True Positive,31175,5,KPMP_uS-X002Y021_Annotations
False Negative,12705,6,KPMP_uS-X002Y021_Annotations
False Positive,57726,6,KPMP_uS-X002Y021_Annotations
True Negative,1781709,6,KPMP_uS-X002Y021_Annotations
True Positive,221460,6,KPMP_uS-X002Y021_Annotations
False Negative,283688,1,KPMP_uS-X003Y006_Annotations
False Positive,330023,1,KPMP_uS-X003Y006_Annotations
True Negative,638829,1,KPMP_uS-X003Y006_Annotations
True Positive,821060,1,KPMP_uS-X003Y006_Annotations
False Negative,312518,2,KPMP_uS-X003Y006_Annotations
False Positive,198878,2,KPMP_uS-X003Y006_Annotations
True Negative,1045745,2,KPMP_uS-X003Y006_Annotations
True Positive,516459,2,KPMP_uS-X003Y006_Annotations
False Negative,49495,3,KPMP_uS-X003Y006_Annotations
False Positive,116800,3,KPMP_uS-X003Y006_Annotations
True Negative,1816925,3,KPMP_uS-X003Y006_Annotations
True Positive,90380,3,KPMP_uS-X003Y006_Annotations
