Counts,Freq,Cluster,Image
False Negative,498821,1,KPMP_uS-X001Y008_Annotations
False Positive,312650,1,KPMP_uS-X001Y008_Annotations
True Negative,920504,1,KPMP_uS-X001Y008_Annotations
True Positive,341625,1,KPMP_uS-X001Y008_Annotations
False Negative,347720,2,KPMP_uS-X001Y008_Annotations
False Positive,120110,2,KPMP_uS-X001Y008_Annotations
True Negative,1032230,2,KPMP_uS-X001Y008_Annotations
True Positive,573540,2,KPMP_uS-X001Y008_Annotations
False Negative,24900,3,KPMP_uS-X001Y008_Annotations
False Positive,497462,3,KPMP_uS-X001Y008_Annotations
True Negative,1450082,3,KPMP_uS-X001Y008_Annotations
True Positive,101156,3,KPMP_uS-X001Y008_Annotations
False Negative,82606,4,KPMP_uS-X001Y008_Annotations
False Positive,23825,4,KPMP_uS-X001Y008_Annotations
True Negative,1863937,4,KPMP_uS-X001Y008_Annotations
True Positive,103232,4,KPMP_uS-X001Y008_Annotations
False Negative,823844,1,KPMP_uS-X001Y009_Annotations
False Positive,244266,1,KPMP_uS-X001Y009_Annotations
True Negative,997613,1,KPMP_uS-X001Y009_Annotations
True Positive,7877,1,KPMP_uS-X001Y009_Annotations
False Negative,497148,2,KPMP_uS-X001Y009_Annotations
False Positive,75469,2,KPMP_uS-X001Y009_Annotations
True Negative,1209932,2,KPMP_uS-X001Y009_Annotations
True Positive,291051,2,KPMP_uS-X001Y009_Annotations
False Negative,66138,3,KPMP_uS-X001Y009_Annotations
False Positive,449944,3,KPMP_uS-X001Y009_Annotations
True Negative,1535649,3,KPMP_uS-X001Y009_Annotations
True Positive,21869,3,KPMP_uS-X001Y009_Annotations
False Negative,128857,4,KPMP_uS-X001Y009_Annotations
False Positive,29354,4,KPMP_uS-X001Y009_Annotations
True Negative,1909250,4,KPMP_uS-X001Y009_Annotations
True Positive,6139,4,KPMP_uS-X001Y009_Annotations
False Negative,16222,5,KPMP_uS-X001Y009_Annotations
False Positive,345122,5,KPMP_uS-X001Y009_Annotations
True Negative,1711717,5,KPMP_uS-X001Y009_Annotations
True Positive,539,5,KPMP_uS-X001Y009_Annotations
False Negative,212977,6,KPMP_uS-X001Y009_Annotations
False Positive,601031,6,KPMP_uS-X001Y009_Annotations
True Negative,1258653,6,KPMP_uS-X001Y009_Annotations
True Positive,939,6,KPMP_uS-X001Y009_Annotations
False Negative,615254,1,KPMP_uS-X001Y010_Annotations
False Positive,255295,1,KPMP_uS-X001Y010_Annotations
True Negative,1005799,1,KPMP_uS-X001Y010_Annotations
True Positive,197252,1,KPMP_uS-X001Y010_Annotations
False Negative,622913,2,KPMP_uS-X001Y010_Annotations
False Positive,171798,2,KPMP_uS-X001Y010_Annotations
True Negative,1269695,2,KPMP_uS-X001Y010_Annotations
True Positive,9194,2,KPMP_uS-X001Y010_Annotations
False Negative,76442,3,KPMP_uS-X001Y010_Annotations
False Positive,511880,3,KPMP_uS-X001Y010_Annotations
True Negative,1421602,3,KPMP_uS-X001Y010_Annotations
True Positive,63676,3,KPMP_uS-X001Y010_Annotations
False Negative,7338,4,KPMP_uS-X001Y010_Annotations
False Positive,365177,4,KPMP_uS-X001Y010_Annotations
True Negative,1701085,4,KPMP_uS-X001Y010_Annotations
False Negative,10563,5,KPMP_uS-X001Y010_Annotations
False Positive,28360,5,KPMP_uS-X001Y010_Annotations
True Negative,1563709,5,KPMP_uS-X001Y010_Annotations
True Positive,470968,5,KPMP_uS-X001Y010_Annotations
False Negative,279164,1,KPMP_uS-X002Y009_Annotations
False Positive,302368,1,KPMP_uS-X002Y009_Annotations
True Negative,659067,1,KPMP_uS-X002Y009_Annotations
True Positive,833001,1,KPMP_uS-X002Y009_Annotations
False Negative,302368,2,KPMP_uS-X002Y009_Annotations
False Positive,279164,2,KPMP_uS-X002Y009_Annotations
True Negative,833001,2,KPMP_uS-X002Y009_Annotations
True Positive,659067,2,KPMP_uS-X002Y009_Annotations
False Negative,626031,1,KPMP_uS-X002Y011_Annotations
False Positive,941941,1,KPMP_uS-X002Y011_Annotations
True Negative,345778,1,KPMP_uS-X002Y011_Annotations
True Positive,159850,1,KPMP_uS-X002Y011_Annotations
False Negative,941941,2,KPMP_uS-X002Y011_Annotations
False Positive,626031,2,KPMP_uS-X002Y011_Annotations
True Negative,159850,2,KPMP_uS-X002Y011_Annotations
True Positive,345778,2,KPMP_uS-X002Y011_Annotations
False Negative,491520,1,KPMP_uS-X002Y013_Annotations
False Positive,177080,1,KPMP_uS-X002Y013_Annotations
True Negative,983144,1,KPMP_uS-X002Y013_Annotations
True Positive,421856,1,KPMP_uS-X002Y013_Annotations
False Negative,495420,2,KPMP_uS-X002Y013_Annotations
False Positive,103431,2,KPMP_uS-X002Y013_Annotations
True Negative,881869,2,KPMP_uS-X002Y013_Annotations
True Positive,592880,2,KPMP_uS-X002Y013_Annotations
False Negative,33501,3,KPMP_uS-X002Y013_Annotations
False Positive,739930,3,KPMP_uS-X002Y013_Annotations
True Negative,1261746,3,KPMP_uS-X002Y013_Annotations
True Positive,38423,3,KPMP_uS-X002Y013_Annotations
False Negative,641701,1,KPMP_uS-X002Y015_Annotations
False Positive,125100,1,KPMP_uS-X002Y015_Annotations
True Negative,1202757,1,KPMP_uS-X002Y015_Annotations
True Positive,104042,1,KPMP_uS-X002Y015_Annotations
False Negative,70210,2,KPMP_uS-X002Y015_Annotations
False Positive,522663,2,KPMP_uS-X002Y015_Annotations
True Negative,1444951,2,KPMP_uS-X002Y015_Annotations
True Positive,35776,2,KPMP_uS-X002Y015_Annotations
False Negative,611431,3,KPMP_uS-X002Y015_Annotations
False Positive,110492,3,KPMP_uS-X002Y015_Annotations
True Negative,1060161,3,KPMP_uS-X002Y015_Annotations
True Positive,291516,3,KPMP_uS-X002Y015_Annotations
False Negative,181753,4,KPMP_uS-X002Y015_Annotations
False Positive,441686,4,KPMP_uS-X002Y015_Annotations
True Negative,1344092,4,KPMP_uS-X002Y015_Annotations
True Positive,106069,4,KPMP_uS-X002Y015_Annotations
False Negative,31102,5,KPMP_uS-X002Y015_Annotations
False Positive,336256,5,KPMP_uS-X002Y015_Annotations
True Negative,1706242,5,KPMP_uS-X002Y015_Annotations
False Negative,601817,1,KPMP_uS-X002Y019_Annotations
False Positive,147647,1,KPMP_uS-X002Y019_Annotations
True Negative,626588,1,KPMP_uS-X002Y019_Annotations
True Positive,697548,1,KPMP_uS-X002Y019_Annotations
False Negative,184422,2,KPMP_uS-X002Y019_Annotations
False Positive,335165,2,KPMP_uS-X002Y019_Annotations
True Negative,1428895,2,KPMP_uS-X002Y019_Annotations
True Positive,125118,2,KPMP_uS-X002Y019_Annotations
False Negative,184130,3,KPMP_uS-X002Y019_Annotations
False Positive,262345,3,KPMP_uS-X002Y019_Annotations
True Negative,1491998,3,KPMP_uS-X002Y019_Annotations
True Positive,135127,3,KPMP_uS-X002Y019_Annotations
False Negative,2059,4,KPMP_uS-X002Y019_Annotations
False Positive,227271,4,KPMP_uS-X002Y019_Annotations
True Negative,1700891,4,KPMP_uS-X002Y019_Annotations
True Positive,143379,4,KPMP_uS-X002Y019_Annotations
False Negative,631327,1,KPMP_uS-X002Y021_Annotations
False Positive,247757,1,KPMP_uS-X002Y021_Annotations
True Negative,892714,1,KPMP_uS-X002Y021_Annotations
True Positive,301802,1,KPMP_uS-X002Y021_Annotations
False Negative,360794,2,KPMP_uS-X002Y021_Annotations
False Positive,102915,2,KPMP_uS-X002Y021_Annotations
True Negative,1597455,2,KPMP_uS-X002Y021_Annotations
True Positive,12436,2,KPMP_uS-X002Y021_Annotations
False Negative,76215,3,KPMP_uS-X002Y021_Annotations
False Positive,352443,3,KPMP_uS-X002Y021_Annotations
True Negative,1642323,3,KPMP_uS-X002Y021_Annotations
True Positive,2619,3,KPMP_uS-X002Y021_Annotations
False Negative,385373,4,KPMP_uS-X002Y021_Annotations
False Positive,297104,4,KPMP_uS-X002Y021_Annotations
True Negative,1375479,4,KPMP_uS-X002Y021_Annotations
True Positive,15644,4,KPMP_uS-X002Y021_Annotations
False Negative,50299,5,KPMP_uS-X002Y021_Annotations
False Positive,460975,5,KPMP_uS-X002Y021_Annotations
True Negative,1559400,5,KPMP_uS-X002Y021_Annotations
True Positive,2926,5,KPMP_uS-X002Y021_Annotations
False Negative,12960,6,KPMP_uS-X002Y021_Annotations
False Positive,55774,6,KPMP_uS-X002Y021_Annotations
True Negative,1783661,6,KPMP_uS-X002Y021_Annotations
True Positive,221205,6,KPMP_uS-X002Y021_Annotations
False Negative,1003134,1,KPMP_uS-X003Y006_Annotations
False Positive,110015,1,KPMP_uS-X003Y006_Annotations
True Negative,858837,1,KPMP_uS-X003Y006_Annotations
True Positive,101614,1,KPMP_uS-X003Y006_Annotations
False Negative,533739,2,KPMP_uS-X003Y006_Annotations
False Positive,855770,2,KPMP_uS-X003Y006_Annotations
True Negative,388853,2,KPMP_uS-X003Y006_Annotations
True Positive,295238,2,KPMP_uS-X003Y006_Annotations
False Negative,126163,3,KPMP_uS-X003Y006_Annotations
False Positive,697251,3,KPMP_uS-X003Y006_Annotations
True Negative,1236474,3,KPMP_uS-X003Y006_Annotations
True Positive,13712,3,KPMP_uS-X003Y006_Annotations
