Counts,Freq,Cluster,Image
False Negative,486931,1,KPMP_uS-X001Y008_Annotations
False Positive,322510,1,KPMP_uS-X001Y008_Annotations
True Negative,910644,1,KPMP_uS-X001Y008_Annotations
True Positive,353515,1,KPMP_uS-X001Y008_Annotations
False Negative,353851,2,KPMP_uS-X001Y008_Annotations
False Positive,149430,2,KPMP_uS-X001Y008_Annotations
True Negative,1002910,2,KPMP_uS-X001Y008_Annotations
True Positive,567409,2,KPMP_uS-X001Y008_Annotations
False Negative,41200,3,KPMP_uS-X001Y008_Annotations
False Positive,456718,3,KPMP_uS-X001Y008_Annotations
True Negative,1490826,3,KPMP_uS-X001Y008_Annotations
True Positive,84856,3,KPMP_uS-X001Y008_Annotations
False Negative,84031,4,KPMP_uS-X001Y008_Annotations
False Positive,37355,4,KPMP_uS-X001Y008_Annotations
True Negative,1850407,4,KPMP_uS-X001Y008_Annotations
True Positive,101807,4,KPMP_uS-X001Y008_Annotations
False Negative,518401,1,KPMP_uS-X001Y009_Annotations
False Positive,240561,1,KPMP_uS-X001Y009_Annotations
True Negative,1001318,1,KPMP_uS-X001Y009_Annotations
True Positive,313320,1,KPMP_uS-X001Y009_Annotations
False Negative,505130,2,KPMP_uS-X001Y009_Annotations
False Positive,77698,2,KPMP_uS-X001Y009_Annotations
True Negative,1207703,2,KPMP_uS-X001Y009_Annotations
True Positive,283069,2,KPMP_uS-X001Y009_Annotations
False Negative,61004,3,KPMP_uS-X001Y009_Annotations
False Positive,436818,3,KPMP_uS-X001Y009_Annotations
True Negative,1548775,3,KPMP_uS-X001Y009_Annotations
True Positive,27003,3,KPMP_uS-X001Y009_Annotations
False Negative,83485,4,KPMP_uS-X001Y009_Annotations
False Positive,311154,4,KPMP_uS-X001Y009_Annotations
True Negative,1627450,4,KPMP_uS-X001Y009_Annotations
True Positive,51511,4,KPMP_uS-X001Y009_Annotations
False Negative,888,5,KPMP_uS-X001Y009_Annotations
False Positive,51853,5,KPMP_uS-X001Y009_Annotations
True Negative,2004986,5,KPMP_uS-X001Y009_Annotations
True Positive,15873,5,KPMP_uS-X001Y009_Annotations
False Negative,20786,6,KPMP_uS-X001Y009_Annotations
False Positive,71610,6,KPMP_uS-X001Y009_Annotations
True Negative,1788074,6,KPMP_uS-X001Y009_Annotations
True Positive,193130,6,KPMP_uS-X001Y009_Annotations
False Negative,444771,1,KPMP_uS-X001Y010_Annotations
False Positive,147613,1,KPMP_uS-X001Y010_Annotations
True Negative,1113481,1,KPMP_uS-X001Y010_Annotations
True Positive,367735,1,KPMP_uS-X001Y010_Annotations
False Negative,324149,2,KPMP_uS-X001Y010_Annotations
False Positive,68773,2,KPMP_uS-X001Y010_Annotations
True Negative,1372720,2,KPMP_uS-X001Y010_Annotations
True Positive,307958,2,KPMP_uS-X001Y010_Annotations
False Negative,80140,3,KPMP_uS-X001Y010_Annotations
False Positive,417106,3,KPMP_uS-X001Y010_Annotations
True Negative,1516376,3,KPMP_uS-X001Y010_Annotations
True Positive,59978,3,KPMP_uS-X001Y010_Annotations
False Negative,795,4,KPMP_uS-X001Y010_Annotations
False Positive,186007,4,KPMP_uS-X001Y010_Annotations
True Negative,1880255,4,KPMP_uS-X001Y010_Annotations
True Positive,6543,4,KPMP_uS-X001Y010_Annotations
False Negative,10048,5,KPMP_uS-X001Y010_Annotations
False Positive,40404,5,KPMP_uS-X001Y010_Annotations
True Negative,1551665,5,KPMP_uS-X001Y010_Annotations
True Positive,471483,5,KPMP_uS-X001Y010_Annotations
False Negative,384784,1,KPMP_uS-X002Y009_Annotations
False Positive,267788,1,KPMP_uS-X002Y009_Annotations
True Negative,693647,1,KPMP_uS-X002Y009_Annotations
True Positive,727381,1,KPMP_uS-X002Y009_Annotations
False Negative,267788,2,KPMP_uS-X002Y009_Annotations
False Positive,384784,2,KPMP_uS-X002Y009_Annotations
True Negative,727381,2,KPMP_uS-X002Y009_Annotations
True Positive,693647,2,KPMP_uS-X002Y009_Annotations
False Negative,216176,1,KPMP_uS-X002Y011_Annotations
False Positive,315165,1,KPMP_uS-X002Y011_Annotations
True Negative,972554,1,KPMP_uS-X002Y011_Annotations
True Positive,569705,1,KPMP_uS-X002Y011_Annotations
False Negative,315165,2,KPMP_uS-X002Y011_Annotations
False Positive,216176,2,KPMP_uS-X002Y011_Annotations
True Negative,569705,2,KPMP_uS-X002Y011_Annotations
True Positive,972554,2,KPMP_uS-X002Y011_Annotations
False Negative,582326,1,KPMP_uS-X002Y013_Annotations
False Positive,153189,1,KPMP_uS-X002Y013_Annotations
True Negative,1007035,1,KPMP_uS-X002Y013_Annotations
True Positive,331050,1,KPMP_uS-X002Y013_Annotations
False Negative,486142,2,KPMP_uS-X002Y013_Annotations
False Positive,137542,2,KPMP_uS-X002Y013_Annotations
True Negative,847758,2,KPMP_uS-X002Y013_Annotations
