Counts,Freq,Cluster,Image
False Negative,222677,1,KPMP_uS-X001Y008_Annotations
False Positive,352940,1,KPMP_uS-X001Y008_Annotations
True Negative,880214,1,KPMP_uS-X001Y008_Annotations
True Positive,617769,1,KPMP_uS-X001Y008_Annotations
False Negative,617177,2,KPMP_uS-X001Y008_Annotations
False Positive,136076,2,KPMP_uS-X001Y008_Annotations
True Negative,1016264,2,KPMP_uS-X001Y008_Annotations
True Positive,304083,2,KPMP_uS-X001Y008_Annotations
False Negative,123874,3,KPMP_uS-X001Y008_Annotations
False Positive,157831,3,KPMP_uS-X001Y008_Annotations
True Negative,1789713,3,KPMP_uS-X001Y008_Annotations
True Positive,2182,3,KPMP_uS-X001Y008_Annotations
False Negative,185675,4,KPMP_uS-X001Y008_Annotations
False Positive,502556,4,KPMP_uS-X001Y008_Annotations
True Negative,1385206,4,KPMP_uS-X001Y008_Annotations
True Positive,163,4,KPMP_uS-X001Y008_Annotations
False Negative,427803,1,KPMP_uS-X001Y009_Annotations
False Positive,277472,1,KPMP_uS-X001Y009_Annotations
True Negative,964407,1,KPMP_uS-X001Y009_Annotations
True Positive,403918,1,KPMP_uS-X001Y009_Annotations
False Negative,787429,2,KPMP_uS-X001Y009_Annotations
False Positive,31585,2,KPMP_uS-X001Y009_Annotations
True Negative,1253816,2,KPMP_uS-X001Y009_Annotations
True Positive,770,2,KPMP_uS-X001Y009_Annotations
False Negative,85343,3,KPMP_uS-X001Y009_Annotations
False Positive,500987,3,KPMP_uS-X001Y009_Annotations
True Negative,1484606,3,KPMP_uS-X001Y009_Annotations
True Positive,2664,3,KPMP_uS-X001Y009_Annotations
False Negative,76133,4,KPMP_uS-X001Y009_Annotations
False Positive,204619,4,KPMP_uS-X001Y009_Annotations
True Negative,1733985,4,KPMP_uS-X001Y009_Annotations
True Positive,58863,4,KPMP_uS-X001Y009_Annotations
False Negative,16759,5,KPMP_uS-X001Y009_Annotations
False Positive,413988,5,KPMP_uS-X001Y009_Annotations
True Negative,1642851,5,KPMP_uS-X001Y009_Annotations
True Positive,2,5,KPMP_uS-X001Y009_Annotations
False Negative,46324,6,KPMP_uS-X001Y009_Annotations
False Positive,11140,6,KPMP_uS-X001Y009_Annotations
True Negative,1848544,6,KPMP_uS-X001Y009_Annotations
True Positive,167592,6,KPMP_uS-X001Y009_Annotations
False Negative,743790,1,KPMP_uS-X001Y010_Annotations
False Positive,13837,1,KPMP_uS-X001Y010_Annotations
True Negative,1247257,1,KPMP_uS-X001Y010_Annotations
True Positive,68716,1,KPMP_uS-X001Y010_Annotations
False Negative,327885,2,KPMP_uS-X001Y010_Annotations
False Positive,829873,2,KPMP_uS-X001Y010_Annotations
True Negative,611620,2,KPMP_uS-X001Y010_Annotations
True Positive,304222,2,KPMP_uS-X001Y010_Annotations
False Negative,140118,3,KPMP_uS-X001Y010_Annotations
False Positive,25025,3,KPMP_uS-X001Y010_Annotations
True Negative,1908457,3,KPMP_uS-X001Y010_Annotations
False Negative,7338,4,KPMP_uS-X001Y010_Annotations
False Positive,430981,4,KPMP_uS-X001Y010_Annotations
True Negative,1635281,4,KPMP_uS-X001Y010_Annotations
False Negative,88651,5,KPMP_uS-X001Y010_Annotations
False Positive,8066,5,KPMP_uS-X001Y010_Annotations
True Negative,1584003,5,KPMP_uS-X001Y010_Annotations
True Positive,392880,5,KPMP_uS-X001Y010_Annotations
False Negative,207638,1,KPMP_uS-X002Y009_Annotations
False Positive,368809,1,KPMP_uS-X002Y009_Annotations
True Negative,592626,1,KPMP_uS-X002Y009_Annotations
True Positive,904527,1,KPMP_uS-X002Y009_Annotations
False Negative,368809,2,KPMP_uS-X002Y009_Annotations
False Positive,207638,2,KPMP_uS-X002Y009_Annotations
True Negative,904527,2,KPMP_uS-X002Y009_Annotations
True Positive,592626,2,KPMP_uS-X002Y009_Annotations
False Negative,121762,1,KPMP_uS-X002Y011_Annotations
False Positive,412924,1,KPMP_uS-X002Y011_Annotations
True Negative,874795,1,KPMP_uS-X002Y011_Annotations
True Positive,664119,1,KPMP_uS-X002Y011_Annotations
False Negative,412924,2,KPMP_uS-X002Y011_Annotations
False Positive,121762,2,KPMP_uS-X002Y011_Annotations
True Negative,664119,2,KPMP_uS-X002Y011_Annotations
True Positive,874795,2,KPMP_uS-X002Y011_Annotations
False Negative,88244,1,KPMP_uS-X002Y013_Annotations
False Positive,699578,1,KPMP_uS-X002Y013_Annotations
True Negative,460646,1,KPMP_uS-X002Y013_Annotations
True Positive,825132,1,KPMP_uS-X002Y013_Annotations
False Negative,649774,2,KPMP_uS-X002Y013_Annotations
False Positive,55882,2,KPMP_uS-X002Y013_Annotations
True Negative,929418,2,KPMP_uS-X002Y013_Annotations
True Positive,438526,2,KPMP_uS-X002Y013_Annotations
False Negative,69607,3,KPMP_uS-X002Y013_Annotations
False Positive,52165,3,KPMP_uS-X002Y013_Annotations
True Negative,1949511,3,KPMP_uS-X002Y013_Annotations
True Positive,2317,3,KPMP_uS-X002Y013_Annotations
False Negative,288296,1,KPMP_uS-X002Y015_Annotations
False Positive,378259,1,KPMP_uS-X002Y015_Annotations
True Negative,949598,1,KPMP_uS-X002Y015_Annotations
True Positive,457447,1,KPMP_uS-X002Y015_Annotations
False Negative,79034,2,KPMP_uS-X002Y015_Annotations
False Positive,415458,2,KPMP_uS-X002Y015_Annotations
True Negative,1552156,2,KPMP_uS-X002Y015_Annotations
True Positive,26952,2,KPMP_uS-X002Y015_Annotations
False Negative,667192,3,KPMP_uS-X002Y015_Annotations
False Positive,19204,3,KPMP_uS-X002Y015_Annotations
True Negative,1151449,3,KPMP_uS-X002Y015_Annotations
True Positive,235755,3,KPMP_uS-X002Y015_Annotations
False Negative,169822,4,KPMP_uS-X002Y015_Annotations
False Positive,367501,4,KPMP_uS-X002Y015_Annotations
True Negative,1418277,4,KPMP_uS-X002Y015_Annotations
True Positive,118000,4,KPMP_uS-X002Y015_Annotations
False Negative,14112,5,KPMP_uS-X002Y015_Annotations
False Positive,38034,5,KPMP_uS-X002Y015_Annotations
True Negative,2004464,5,KPMP_uS-X002Y015_Annotations
True Positive,16990,5,KPMP_uS-X002Y015_Annotations
False Negative,220941,1,KPMP_uS-X002Y019_Annotations
False Positive,283262,1,KPMP_uS-X002Y019_Annotations
True Negative,490973,1,KPMP_uS-X002Y019_Annotations
True Positive,1078424,1,KPMP_uS-X002Y019_Annotations
False Negative,147301,2,KPMP_uS-X002Y019_Annotations
False Positive,184058,2,KPMP_uS-X002Y019_Annotations
True Negative,1580002,2,KPMP_uS-X002Y019_Annotations
True Positive,162239,2,KPMP_uS-X002Y019_Annotations
False Negative,292875,3,KPMP_uS-X002Y019_Annotations
False Positive,103389,3,KPMP_uS-X002Y019_Annotations
