Counts,Freq,Cluster,Image
False Negative,249560,1,KPMP_uS-X001Y008_Annotations
False Positive,391885,1,KPMP_uS-X001Y008_Annotations
True Negative,841269,1,KPMP_uS-X001Y008_Annotations
True Positive,589806,1,KPMP_uS-X001Y008_Annotations
False Negative,287096,2,KPMP_uS-X001Y008_Annotations
False Positive,143733,2,KPMP_uS-X001Y008_Annotations
True Negative,1007527,2,KPMP_uS-X001Y008_Annotations
True Positive,634164,2,KPMP_uS-X001Y008_Annotations
False Negative,75683,3,KPMP_uS-X001Y008_Annotations
False Positive,159783,3,KPMP_uS-X001Y008_Annotations
True Negative,1786681,3,KPMP_uS-X001Y008_Annotations
True Positive,50373,3,KPMP_uS-X001Y008_Annotations
False Negative,94403,4,KPMP_uS-X001Y008_Annotations
False Positive,11341,4,KPMP_uS-X001Y008_Annotations
True Negative,1875341,4,KPMP_uS-X001Y008_Annotations
True Positive,91435,4,KPMP_uS-X001Y008_Annotations
False Negative,452172,1,KPMP_uS-X001Y009_Annotations
False Positive,382977,1,KPMP_uS-X001Y009_Annotations
True Negative,858900,1,KPMP_uS-X001Y009_Annotations
True Positive,378471,1,KPMP_uS-X001Y009_Annotations
False Negative,512185,2,KPMP_uS-X001Y009_Annotations
False Positive,65339,2,KPMP_uS-X001Y009_Annotations
True Negative,1218984,2,KPMP_uS-X001Y009_Annotations
True Positive,276012,2,KPMP_uS-X001Y009_Annotations
False Negative,53936,3,KPMP_uS-X001Y009_Annotations
False Positive,316753,3,KPMP_uS-X001Y009_Annotations
True Negative,1667760,3,KPMP_uS-X001Y009_Annotations
True Positive,34071,3,KPMP_uS-X001Y009_Annotations
False Negative,67255,4,KPMP_uS-X001Y009_Annotations
False Positive,226167,4,KPMP_uS-X001Y009_Annotations
True Negative,1711357,4,KPMP_uS-X001Y009_Annotations
True Positive,67741,4,KPMP_uS-X001Y009_Annotations
False Negative,7658,5,KPMP_uS-X001Y009_Annotations
False Positive,10246,5,KPMP_uS-X001Y009_Annotations
True Negative,2045513,5,KPMP_uS-X001Y009_Annotations
True Positive,9103,5,KPMP_uS-X001Y009_Annotations
False Negative,16999,6,KPMP_uS-X001Y009_Annotations
False Positive,108723,6,KPMP_uS-X001Y009_Annotations
True Negative,1749881,6,KPMP_uS-X001Y009_Annotations
True Positive,196917,6,KPMP_uS-X001Y009_Annotations
False Negative,800331,1,KPMP_uS-X001Y010_Annotations
False Positive,10915,1,KPMP_uS-X001Y010_Annotations
True Negative,1250168,1,KPMP_uS-X001Y010_Annotations
True Positive,11106,1,KPMP_uS-X001Y010_Annotations
False Negative,341610,2,KPMP_uS-X001Y010_Annotations
False Positive,50479,2,KPMP_uS-X001Y010_Annotations
True Negative,1389944,2,KPMP_uS-X001Y010_Annotations
True Positive,290487,2,KPMP_uS-X001Y010_Annotations
False Negative,42940,3,KPMP_uS-X001Y010_Annotations
False Positive,675936,3,KPMP_uS-X001Y010_Annotations
True Negative,1256466,3,KPMP_uS-X001Y010_Annotations
True Positive,97178,3,KPMP_uS-X001Y010_Annotations
False Positive,422532,4,KPMP_uS-X001Y010_Annotations
True Negative,1642650,4,KPMP_uS-X001Y010_Annotations
True Positive,7338,4,KPMP_uS-X001Y010_Annotations
False Negative,9359,5,KPMP_uS-X001Y010_Annotations
False Positive,34378,5,KPMP_uS-X001Y010_Annotations
True Negative,1556612,5,KPMP_uS-X001Y010_Annotations
True Positive,472171,5,KPMP_uS-X001Y010_Annotations
False Negative,115514,1,KPMP_uS-X002Y009_Annotations
False Positive,528849,1,KPMP_uS-X002Y009_Annotations
True Negative,432586,1,KPMP_uS-X002Y009_Annotations
True Positive,995571,1,KPMP_uS-X002Y009_Annotations
False Negative,528849,2,KPMP_uS-X002Y009_Annotations
False Positive,115514,2,KPMP_uS-X002Y009_Annotations
True Negative,995571,2,KPMP_uS-X002Y009_Annotations
True Positive,432586,2,KPMP_uS-X002Y009_Annotations
False Negative,64066,1,KPMP_uS-X002Y011_Annotations
False Positive,704625,1,KPMP_uS-X002Y011_Annotations
True Negative,583075,1,KPMP_uS-X002Y011_Annotations
True Positive,720754,1,KPMP_uS-X002Y011_Annotations
False Negative,704625,2,KPMP_uS-X002Y011_Annotations
False Positive,64066,2,KPMP_uS-X002Y011_Annotations
True Negative,720754,2,KPMP_uS-X002Y011_Annotations
True Positive,583075,2,KPMP_uS-X002Y011_Annotations
False Negative,522509,1,KPMP_uS-X002Y013_Annotations
False Positive,158943,1,KPMP_uS-X002Y013_Annotations
True Negative,1001272,1,KPMP_uS-X002Y013_Annotations
True Positive,389796,1,KPMP_uS-X002Y013_Annotations
False Negative,572244,2,KPMP_uS-X002Y013_Annotations
False Positive,78828,2,KPMP_uS-X002Y013_Annotations
True Negative,905401,2,KPMP_uS-X002Y013_Annotations
True Positive,516047,2,KPMP_uS-X002Y013_Annotations
False Negative,28478,3,KPMP_uS-X002Y013_Annotations
False Positive,885460,3,KPMP_uS-X002Y013_Annotations
True Negative,1115136,3,KPMP_uS-X002Y013_Annotations
True Positive,43446,3,KPMP_uS-X002Y013_Annotations
False Negative,357543,1,KPMP_uS-X002Y015_Annotations
False Positive,519148,1,KPMP_uS-X002Y015_Annotations
True Negative,808684,1,KPMP_uS-X002Y015_Annotations
True Positive,387145,1,KPMP_uS-X002Y015_Annotations
False Negative,81965,2,KPMP_uS-X002Y015_Annotations
False Positive,204370,2,KPMP_uS-X002Y015_Annotations
True Negative,1762164,2,KPMP_uS-X002Y015_Annotations
True Positive,24021,2,KPMP_uS-X002Y015_Annotations
False Negative,431201,3,KPMP_uS-X002Y015_Annotations
False Positive,81121,3,KPMP_uS-X002Y015_Annotations
True Negative,1088477,3,KPMP_uS-X002Y015_Annotations
True Positive,471721,3,KPMP_uS-X002Y015_Annotations
False Negative,282784,4,KPMP_uS-X002Y015_Annotations
False Positive,17073,4,KPMP_uS-X002Y015_Annotations
True Negative,1767625,4,KPMP_uS-X002Y015_Annotations
True Positive,5038,4,KPMP_uS-X002Y015_Annotations
False Negative,2217,5,KPMP_uS-X002Y015_Annotations
False Positive,333998,5,KPMP_uS-X002Y015_Annotations
True Negative,1707420,5,KPMP_uS-X002Y015_Annotations
True Positive,28885,5,KPMP_uS-X002Y015_Annotations
False Negative,438519,1,KPMP_uS-X002Y019_Annotations
False Positive,273620,1,KPMP_uS-X002Y019_Annotations
True Negative,500615,1,KPMP_uS-X002Y019_Annotations
True Positive,859766,1,KPMP_uS-X002Y019_Annotations
False Negative,306046,2,KPMP_uS-X002Y019_Annotations
False Positive,143943,2,KPMP_uS-X002Y019_Annotations
True Negative,1619037,2,KPMP_uS-X002Y019_Annotations
True Positive,3494,2,KPMP_uS-X002Y019_Annotations
False Negative,184593,3,KPMP_uS-X002Y019_Annotations
False Positive,231079,3,KPMP_uS-X002Y019_Annotations
True Negative,1522184,3,KPMP_uS-X002Y019_Annotations
True Positive,134664,3,KPMP_uS-X002Y019_Annotations
False Negative,1628,4,KPMP_uS-X002Y019_Annotations
False Positive,282144,4,KPMP_uS-X002Y019_Annotations
True Negative,1644938,4,KPMP_uS-X002Y019_Annotations
True Positive,143810,4,KPMP_uS-X002Y019_Annotations
False Negative,380421,1,KPMP_uS-X002Y021_Annotations
False Positive,387722,1,KPMP_uS-X002Y021_Annotations
True Negative,752749,1,KPMP_uS-X002Y021_Annotations
True Positive,551628,1,KPMP_uS-X002Y021_Annotations
False Negative,191598,2,KPMP_uS-X002Y021_Annotations
False Positive,209801,2,KPMP_uS-X002Y021_Annotations
True Negative,1489489,2,KPMP_uS-X002Y021_Annotations
True Positive,181632,2,KPMP_uS-X002Y021_Annotations
False Negative,13460,3,KPMP_uS-X002Y021_Annotations
False Positive,146059,3,KPMP_uS-X002Y021_Annotations
True Negative,1847627,3,KPMP_uS-X002Y021_Annotations
True Positive,65374,3,KPMP_uS-X002Y021_Annotations
False Negative,326764,4,KPMP_uS-X002Y021_Annotations
False Positive,86319,4,KPMP_uS-X002Y021_Annotations
True Negative,1585184,4,KPMP_uS-X002Y021_Annotations
True Positive,74253,4,KPMP_uS-X002Y021_Annotations
False Negative,53225,5,KPMP_uS-X002Y021_Annotations
False Positive,3504,5,KPMP_uS-X002Y021_Annotations
True Negative,2015791,5,KPMP_uS-X002Y021_Annotations
False Negative,9906,6,KPMP_uS-X002Y021_Annotations
False Positive,141969,6,KPMP_uS-X002Y021_Annotations
True Negative,1696386,6,KPMP_uS-X002Y021_Annotations
True Positive,224259,6,KPMP_uS-X002Y021_Annotations
False Negative,101453,1,KPMP_uS-X003Y006_Annotations
False Positive,518883,1,KPMP_uS-X003Y006_Annotations
True Negative,449967,1,KPMP_uS-X003Y006_Annotations
True Positive,1002217,1,KPMP_uS-X003Y006_Annotations
False Negative,575001,2,KPMP_uS-X003Y006_Annotations
False Positive,38906,2,KPMP_uS-X003Y006_Annotations
True Negative,1204639,2,KPMP_uS-X003Y006_Annotations
True Positive,253974,2,KPMP_uS-X003Y006_Annotations
False Negative,133315,3,KPMP_uS-X003Y006_Annotations
False Positive,251980,3,KPMP_uS-X003Y006_Annotations
True Negative,1680665,3,KPMP_uS-X003Y006_Annotations
True Positive,6560,3,KPMP_uS-X003Y006_Annotations
