Counts,Freq,Cluster,Image
False Negative,329273,1,KPMP_uS-X001Y008_Annotations
False Positive,303666,1,KPMP_uS-X001Y008_Annotations
True Negative,929195,1,KPMP_uS-X001Y008_Annotations
True Positive,506309,1,KPMP_uS-X001Y008_Annotations
False Negative,447814,2,KPMP_uS-X001Y008_Annotations
False Positive,105441,2,KPMP_uS-X001Y008_Annotations
True Negative,1042035,2,KPMP_uS-X001Y008_Annotations
True Positive,473153,2,KPMP_uS-X001Y008_Annotations
False Negative,121014,3,KPMP_uS-X001Y008_Annotations
False Positive,422119,3,KPMP_uS-X001Y008_Annotations
True Negative,1520268,3,KPMP_uS-X001Y008_Annotations
True Positive,5042,3,KPMP_uS-X001Y008_Annotations
False Negative,60471,4,KPMP_uS-X001Y008_Annotations
False Positive,127346,4,KPMP_uS-X001Y008_Annotations
True Negative,1755259,4,KPMP_uS-X001Y008_Annotations
True Positive,125367,4,KPMP_uS-X001Y008_Annotations
False Negative,412022,1,KPMP_uS-X001Y009_Annotations
False Positive,546182,1,KPMP_uS-X001Y009_Annotations
True Negative,695021,1,KPMP_uS-X001Y009_Annotations
True Positive,415218,1,KPMP_uS-X001Y009_Annotations
False Negative,683135,2,KPMP_uS-X001Y009_Annotations
False Positive,18247,2,KPMP_uS-X001Y009_Annotations
True Negative,1262476,2,KPMP_uS-X001Y009_Annotations
True Positive,104585,2,KPMP_uS-X001Y009_Annotations
False Negative,68125,3,KPMP_uS-X001Y009_Annotations
False Positive,180372,3,KPMP_uS-X001Y009_Annotations
True Negative,1800070,3,KPMP_uS-X001Y009_Annotations
True Positive,19876,3,KPMP_uS-X001Y009_Annotations
False Negative,64631,4,KPMP_uS-X001Y009_Annotations
False Positive,280315,4,KPMP_uS-X001Y009_Annotations
True Negative,1653314,4,KPMP_uS-X001Y009_Annotations
True Positive,70183,4,KPMP_uS-X001Y009_Annotations
False Negative,6900,5,KPMP_uS-X001Y009_Annotations
False Positive,56295,5,KPMP_uS-X001Y009_Annotations
True Negative,1995396,5,KPMP_uS-X001Y009_Annotations
True Positive,9852,5,KPMP_uS-X001Y009_Annotations
False Negative,14874,6,KPMP_uS-X001Y009_Annotations
False Positive,168276,6,KPMP_uS-X001Y009_Annotations
True Negative,1686251,6,KPMP_uS-X001Y009_Annotations
True Positive,199042,6,KPMP_uS-X001Y009_Annotations
False Negative,397217,1,KPMP_uS-X001Y010_Annotations
False Positive,95973,1,KPMP_uS-X001Y010_Annotations
True Negative,1165002,1,KPMP_uS-X001Y010_Annotations
True Positive,410251,1,KPMP_uS-X001Y010_Annotations
False Negative,243181,2,KPMP_uS-X001Y010_Annotations
False Positive,114891,2,KPMP_uS-X001Y010_Annotations
True Negative,1321547,2,KPMP_uS-X001Y010_Annotations
True Positive,388824,2,KPMP_uS-X001Y010_Annotations
False Negative,96135,3,KPMP_uS-X001Y010_Annotations
False Positive,207998,3,KPMP_uS-X001Y010_Annotations
True Negative,1720342,3,KPMP_uS-X001Y010_Annotations
True Positive,43968,3,KPMP_uS-X001Y010_Annotations
False Negative,7338,4,KPMP_uS-X001Y010_Annotations
False Positive,251731,4,KPMP_uS-X001Y010_Annotations
True Negative,1809374,4,KPMP_uS-X001Y010_Annotations
False Negative,7321,5,KPMP_uS-X001Y010_Annotations
False Positive,80599,5,KPMP_uS-X001Y010_Annotations
True Negative,1506315,5,KPMP_uS-X001Y010_Annotations
True Positive,474208,5,KPMP_uS-X001Y010_Annotations
False Negative,138309,1,KPMP_uS-X002Y009_Annotations
False Positive,515536,1,KPMP_uS-X002Y009_Annotations
True Negative,445892,1,KPMP_uS-X002Y009_Annotations
True Positive,968706,1,KPMP_uS-X002Y009_Annotations
False Negative,515536,2,KPMP_uS-X002Y009_Annotations
False Positive,138309,2,KPMP_uS-X002Y009_Annotations
True Negative,968706,2,KPMP_uS-X002Y009_Annotations
True Positive,445892,2,KPMP_uS-X002Y009_Annotations
False Negative,194347,1,KPMP_uS-X002Y011_Annotations
False Positive,284033,1,KPMP_uS-X002Y011_Annotations
True Negative,1003114,1,KPMP_uS-X002Y011_Annotations
True Positive,586949,1,KPMP_uS-X002Y011_Annotations
False Negative,284033,2,KPMP_uS-X002Y011_Annotations
False Positive,194347,2,KPMP_uS-X002Y011_Annotations
True Negative,586949,2,KPMP_uS-X002Y011_Annotations
True Positive,1003114,2,KPMP_uS-X002Y011_Annotations
False Negative,402313,1,KPMP_uS-X002Y013_Annotations
False Positive,249046,1,KPMP_uS-X002Y013_Annotations
True Negative,910981,1,KPMP_uS-X002Y013_Annotations
True Positive,506103,1,KPMP_uS-X002Y013_Annotations
False Negative,369471,2,KPMP_uS-X002Y013_Annotations
False Positive,201466,2,KPMP_uS-X002Y013_Annotations
True Negative,778874,2,KPMP_uS-X002Y013_Annotations
True Positive,718632,2,KPMP_uS-X002Y013_Annotations
False Negative,53688,3,KPMP_uS-X002Y013_Annotations
False Positive,374960,3,KPMP_uS-X002Y013_Annotations
True Negative,1621559,3,KPMP_uS-X002Y013_Annotations
True Positive,18236,3,KPMP_uS-X002Y013_Annotations
False Negative,291506,1,KPMP_uS-X002Y015_Annotations
False Positive,489603,1,KPMP_uS-X002Y015_Annotations
True Negative,837520,1,KPMP_uS-X002Y015_Annotations
True Positive,449814,1,KPMP_uS-X002Y015_Annotations
False Negative,95690,2,KPMP_uS-X002Y015_Annotations
False Positive,42294,2,KPMP_uS-X002Y015_Annotations
True Negative,1920163,2,KPMP_uS-X002Y015_Annotations
True Positive,10296,2,KPMP_uS-X002Y015_Annotations
False Negative,657087,3,KPMP_uS-X002Y015_Annotations
False Positive,46707,3,KPMP_uS-X002Y015_Annotations
True Negative,1119053,3,KPMP_uS-X002Y015_Annotations
True Positive,245596,3,KPMP_uS-X002Y015_Annotations
