Counts,Freq,Cluster,Image
False Negative,372377,1,KPMP_uS-X001Y008_Annotations
False Positive,270702,1,KPMP_uS-X001Y008_Annotations
True Negative,962452,1,KPMP_uS-X001Y008_Annotations
True Positive,468069,1,KPMP_uS-X001Y008_Annotations
False Negative,128456,2,KPMP_uS-X001Y008_Annotations
False Positive,369793,2,KPMP_uS-X001Y008_Annotations
True Negative,782547,2,KPMP_uS-X001Y008_Annotations
True Positive,792804,2,KPMP_uS-X001Y008_Annotations
False Negative,120802,3,KPMP_uS-X001Y008_Annotations
False Positive,81897,3,KPMP_uS-X001Y008_Annotations
True Negative,1865647,3,KPMP_uS-X001Y008_Annotations
True Positive,5254,3,KPMP_uS-X001Y008_Annotations
False Negative,132936,4,KPMP_uS-X001Y008_Annotations
False Positive,32179,4,KPMP_uS-X001Y008_Annotations
True Negative,1855583,4,KPMP_uS-X001Y008_Annotations
True Positive,52902,4,KPMP_uS-X001Y008_Annotations
False Negative,817515,1,KPMP_uS-X001Y009_Annotations
False Positive,149015,1,KPMP_uS-X001Y009_Annotations
True Negative,1092864,1,KPMP_uS-X001Y009_Annotations
True Positive,14206,1,KPMP_uS-X001Y009_Annotations
False Negative,600568,2,KPMP_uS-X001Y009_Annotations
False Positive,701393,2,KPMP_uS-X001Y009_Annotations
True Negative,584008,2,KPMP_uS-X001Y009_Annotations
True Positive,187631,2,KPMP_uS-X001Y009_Annotations
False Negative,83614,3,KPMP_uS-X001Y009_Annotations
False Positive,85553,3,KPMP_uS-X001Y009_Annotations
True Negative,1900040,3,KPMP_uS-X001Y009_Annotations
True Positive,4393,3,KPMP_uS-X001Y009_Annotations
False Negative,117048,4,KPMP_uS-X001Y009_Annotations
False Positive,579727,4,KPMP_uS-X001Y009_Annotations
True Negative,1358877,4,KPMP_uS-X001Y009_Annotations
True Positive,17948,4,KPMP_uS-X001Y009_Annotations
False Negative,16739,5,KPMP_uS-X001Y009_Annotations
False Positive,272690,5,KPMP_uS-X001Y009_Annotations
True Negative,1784149,5,KPMP_uS-X001Y009_Annotations
True Positive,22,5,KPMP_uS-X001Y009_Annotations
False Negative,210059,6,KPMP_uS-X001Y009_Annotations
False Positive,57165,6,KPMP_uS-X001Y009_Annotations
True Negative,1802519,6,KPMP_uS-X001Y009_Annotations
True Positive,3857,6,KPMP_uS-X001Y009_Annotations
False Negative,750196,1,KPMP_uS-X001Y010_Annotations
False Positive,52572,1,KPMP_uS-X001Y010_Annotations
True Negative,1208522,1,KPMP_uS-X001Y010_Annotations
True Positive,62310,1,KPMP_uS-X001Y010_Annotations
False Negative,395726,2,KPMP_uS-X001Y010_Annotations
False Positive,520442,2,KPMP_uS-X001Y010_Annotations
True Negative,921051,2,KPMP_uS-X001Y010_Annotations
True Positive,236381,2,KPMP_uS-X001Y010_Annotations
False Negative,61866,3,KPMP_uS-X001Y010_Annotations
False Positive,625933,3,KPMP_uS-X001Y010_Annotations
True Negative,1307549,3,KPMP_uS-X001Y010_Annotations
True Positive,78252,3,KPMP_uS-X001Y010_Annotations
False Negative,111,4,KPMP_uS-X001Y010_Annotations
False Positive,139764,4,KPMP_uS-X001Y010_Annotations
True Negative,1926498,4,KPMP_uS-X001Y010_Annotations
True Positive,7227,4,KPMP_uS-X001Y010_Annotations
False Negative,480704,5,KPMP_uS-X001Y010_Annotations
False Positive,349892,5,KPMP_uS-X001Y010_Annotations
True Negative,1242177,5,KPMP_uS-X001Y010_Annotations
True Positive,827,5,KPMP_uS-X001Y010_Annotations
False Negative,634086,1,KPMP_uS-X002Y009_Annotations
False Positive,118482,1,KPMP_uS-X002Y009_Annotations
True Negative,842953,1,KPMP_uS-X002Y009_Annotations
True Positive,478079,1,KPMP_uS-X002Y009_Annotations
False Negative,118482,2,KPMP_uS-X002Y009_Annotations
False Positive,634086,2,KPMP_uS-X002Y009_Annotations
True Negative,478079,2,KPMP_uS-X002Y009_Annotations
True Positive,842953,2,KPMP_uS-X002Y009_Annotations
False Negative,326078,1,KPMP_uS-X002Y011_Annotations
False Positive,175584,1,KPMP_uS-X002Y011_Annotations
True Negative,1112135,1,KPMP_uS-X002Y011_Annotations
True Positive,459803,1,KPMP_uS-X002Y011_Annotations
False Negative,175584,2,KPMP_uS-X002Y011_Annotations
False Positive,326078,2,KPMP_uS-X002Y011_Annotations
True Negative,459803,2,KPMP_uS-X002Y011_Annotations
True Positive,1112135,2,KPMP_uS-X002Y011_Annotations
False Negative,54359,1,KPMP_uS-X002Y013_Annotations
False Positive,754407,1,KPMP_uS-X002Y013_Annotations
True Negative,405817,1,KPMP_uS-X002Y013_Annotations
True Positive,859017,1,KPMP_uS-X002Y013_Annotations
False Negative,844423,2,KPMP_uS-X002Y013_Annotations
False Positive,34539,2,KPMP_uS-X002Y013_Annotations
True Negative,950761,2,KPMP_uS-X002Y013_Annotations
True Positive,243877,2,KPMP_uS-X002Y013_Annotations
False Negative,70413,3,KPMP_uS-X002Y013_Annotations
False Positive,180249,3,KPMP_uS-X002Y013_Annotations
True Negative,1821427,3,KPMP_uS-X002Y013_Annotations
True Positive,1511,3,KPMP_uS-X002Y013_Annotations
False Negative,316297,1,KPMP_uS-X002Y015_Annotations
False Positive,379096,1,KPMP_uS-X002Y015_Annotations
True Negative,948761,1,KPMP_uS-X002Y015_Annotations
True Positive,429446,1,KPMP_uS-X002Y015_Annotations
False Negative,91516,2,KPMP_uS-X002Y015_Annotations
False Positive,400319,2,KPMP_uS-X002Y015_Annotations
True Negative,1567295,2,KPMP_uS-X002Y015_Annotations
True Positive,14470,2,KPMP_uS-X002Y015_Annotations
False Negative,540961,3,KPMP_uS-X002Y015_Annotations
False Positive,54823,3,KPMP_uS-X002Y015_Annotations
True Negative,1115830,3,KPMP_uS-X002Y015_Annotations
True Positive,361986,3,KPMP_uS-X002Y015_Annotations
False Negative,270385,4,KPMP_uS-X002Y015_Annotations
False Positive,125115,4,KPMP_uS-X002Y015_Annotations
True Negative,1660663,4,KPMP_uS-X002Y015_Annotations
True Positive,17437,4,KPMP_uS-X002Y015_Annotations
False Negative,2632,5,KPMP_uS-X002Y015_Annotations
False Positive,262438,5,KPMP_uS-X002Y015_Annotations
True Negative,1780060,5,KPMP_uS-X002Y015_Annotations
True Positive,28470,5,KPMP_uS-X002Y015_Annotations
False Negative,453470,1,KPMP_uS-X002Y019_Annotations
False Positive,201788,1,KPMP_uS-X002Y019_Annotations
True Negative,572447,1,KPMP_uS-X002Y019_Annotations
True Positive,845895,1,KPMP_uS-X002Y019_Annotations
False Negative,54584,2,KPMP_uS-X002Y019_Annotations
False Positive,330574,2,KPMP_uS-X002Y019_Annotations
True Negative,1433486,2,KPMP_uS-X002Y019_Annotations
True Positive,254956,2,KPMP_uS-X002Y019_Annotations
False Negative,252180,3,KPMP_uS-X002Y019_Annotations
False Positive,123856,3,KPMP_uS-X002Y019_Annotations
True Negative,1630487,3,KPMP_uS-X002Y019_Annotations
True Positive,67077,3,KPMP_uS-X002Y019_Annotations
False Negative,14528,4,KPMP_uS-X002Y019_Annotations
False Positive,118544,4,KPMP_uS-X002Y019_Annotations
True Negative,1809618,4,KPMP_uS-X002Y019_Annotations
True Positive,130910,4,KPMP_uS-X002Y019_Annotations
False Negative,665737,1,KPMP_uS-X002Y021_Annotations
False Positive,222403,1,KPMP_uS-X002Y021_Annotations
True Negative,918068,1,KPMP_uS-X002Y021_Annotations
True Positive,267392,1,KPMP_uS-X002Y021_Annotations
False Negative,171231,2,KPMP_uS-X002Y021_Annotations
False Positive,569523,2,KPMP_uS-X002Y021_Annotations
True Negative,1130847,2,KPMP_uS-X002Y021_Annotations
True Positive,201999,2,KPMP_uS-X002Y021_Annotations
False Negative,45837,3,KPMP_uS-X002Y021_Annotations
False Positive,153752,3,KPMP_uS-X002Y021_Annotations
True Negative,1841014,3,KPMP_uS-X002Y021_Annotations
True Positive,32997,3,KPMP_uS-X002Y021_Annotations
