Counts,Freq,Cluster,Image
False Negative,434663,1,KPMP_uS-X001Y008_Annotations
False Positive,248485,1,KPMP_uS-X001Y008_Annotations
True Negative,984669,1,KPMP_uS-X001Y008_Annotations
True Positive,405783,1,KPMP_uS-X001Y008_Annotations
False Negative,152311,2,KPMP_uS-X001Y008_Annotations
False Positive,402441,2,KPMP_uS-X001Y008_Annotations
True Negative,749899,2,KPMP_uS-X001Y008_Annotations
True Positive,768949,2,KPMP_uS-X001Y008_Annotations
False Negative,113459,3,KPMP_uS-X001Y008_Annotations
False Positive,84819,3,KPMP_uS-X001Y008_Annotations
True Negative,1862725,3,KPMP_uS-X001Y008_Annotations
True Positive,12597,3,KPMP_uS-X001Y008_Annotations
False Negative,112840,4,KPMP_uS-X001Y008_Annotations
False Positive,77528,4,KPMP_uS-X001Y008_Annotations
True Negative,1810234,4,KPMP_uS-X001Y008_Annotations
True Positive,72998,4,KPMP_uS-X001Y008_Annotations
False Negative,808671,1,KPMP_uS-X001Y009_Annotations
False Positive,66824,1,KPMP_uS-X001Y009_Annotations
True Negative,1175055,1,KPMP_uS-X001Y009_Annotations
True Positive,23050,1,KPMP_uS-X001Y009_Annotations
False Negative,645903,2,KPMP_uS-X001Y009_Annotations
False Positive,30764,2,KPMP_uS-X001Y009_Annotations
True Negative,1254637,2,KPMP_uS-X001Y009_Annotations
True Positive,142296,2,KPMP_uS-X001Y009_Annotations
False Negative,58525,3,KPMP_uS-X001Y009_Annotations
False Positive,528859,3,KPMP_uS-X001Y009_Annotations
True Negative,1456734,3,KPMP_uS-X001Y009_Annotations
True Positive,29482,3,KPMP_uS-X001Y009_Annotations
False Negative,66856,4,KPMP_uS-X001Y009_Annotations
False Positive,683541,4,KPMP_uS-X001Y009_Annotations
True Negative,1255063,4,KPMP_uS-X001Y009_Annotations
True Positive,68140,4,KPMP_uS-X001Y009_Annotations
False Negative,301,5,KPMP_uS-X001Y009_Annotations
False Positive,174188,5,KPMP_uS-X001Y009_Annotations
True Negative,1882651,5,KPMP_uS-X001Y009_Annotations
True Positive,16460,5,KPMP_uS-X001Y009_Annotations
False Negative,15592,6,KPMP_uS-X001Y009_Annotations
False Positive,111672,6,KPMP_uS-X001Y009_Annotations
True Negative,1748012,6,KPMP_uS-X001Y009_Annotations
True Positive,198324,6,KPMP_uS-X001Y009_Annotations
False Negative,700703,1,KPMP_uS-X001Y010_Annotations
False Positive,68085,1,KPMP_uS-X001Y010_Annotations
True Negative,1193009,1,KPMP_uS-X001Y010_Annotations
True Positive,111803,1,KPMP_uS-X001Y010_Annotations
False Negative,445604,2,KPMP_uS-X001Y010_Annotations
False Positive,148618,2,KPMP_uS-X001Y010_Annotations
True Negative,1292875,2,KPMP_uS-X001Y010_Annotations
True Positive,186503,2,KPMP_uS-X001Y010_Annotations
False Negative,81039,3,KPMP_uS-X001Y010_Annotations
False Positive,487356,3,KPMP_uS-X001Y010_Annotations
True Negative,1446126,3,KPMP_uS-X001Y010_Annotations
True Positive,59079,3,KPMP_uS-X001Y010_Annotations
False Negative,445,4,KPMP_uS-X001Y010_Annotations
False Positive,200738,4,KPMP_uS-X001Y010_Annotations
True Negative,1865524,4,KPMP_uS-X001Y010_Annotations
True Positive,6893,4,KPMP_uS-X001Y010_Annotations
False Negative,1915,5,KPMP_uS-X001Y010_Annotations
False Positive,324909,5,KPMP_uS-X001Y010_Annotations
True Negative,1267160,5,KPMP_uS-X001Y010_Annotations
True Positive,479616,5,KPMP_uS-X001Y010_Annotations
False Negative,646195,1,KPMP_uS-X002Y009_Annotations
False Positive,134717,1,KPMP_uS-X002Y009_Annotations
True Negative,826718,1,KPMP_uS-X002Y009_Annotations
True Positive,465970,1,KPMP_uS-X002Y009_Annotations
False Negative,134717,2,KPMP_uS-X002Y009_Annotations
False Positive,646195,2,KPMP_uS-X002Y009_Annotations
True Negative,465970,2,KPMP_uS-X002Y009_Annotations
True Positive,826718,2,KPMP_uS-X002Y009_Annotations
False Negative,362307,1,KPMP_uS-X002Y011_Annotations
False Positive,186757,1,KPMP_uS-X002Y011_Annotations
True Negative,1100962,1,KPMP_uS-X002Y011_Annotations
True Positive,423574,1,KPMP_uS-X002Y011_Annotations
False Negative,186757,2,KPMP_uS-X002Y011_Annotations
False Positive,362307,2,KPMP_uS-X002Y011_Annotations
True Negative,423574,2,KPMP_uS-X002Y011_Annotations
True Positive,1100962,2,KPMP_uS-X002Y011_Annotations
False Negative,111771,1,KPMP_uS-X002Y013_Annotations
False Positive,665628,1,KPMP_uS-X002Y013_Annotations
