Counts,Freq,Cluster,Image
False Negative,495799,1,KPMP_uS-X001Y008_Annotations
False Positive,305238,1,KPMP_uS-X001Y008_Annotations
True Negative,927916,1,KPMP_uS-X001Y008_Annotations
True Positive,344647,1,KPMP_uS-X001Y008_Annotations
False Negative,338915,2,KPMP_uS-X001Y008_Annotations
False Positive,126145,2,KPMP_uS-X001Y008_Annotations
True Negative,1026195,2,KPMP_uS-X001Y008_Annotations
True Positive,582345,2,KPMP_uS-X001Y008_Annotations
False Negative,25755,3,KPMP_uS-X001Y008_Annotations
False Positive,483495,3,KPMP_uS-X001Y008_Annotations
True Negative,1464049,3,KPMP_uS-X001Y008_Annotations
True Positive,100301,3,KPMP_uS-X001Y008_Annotations
False Negative,82546,4,KPMP_uS-X001Y008_Annotations
False Positive,28137,4,KPMP_uS-X001Y008_Annotations
True Negative,1859625,4,KPMP_uS-X001Y008_Annotations
True Positive,103292,4,KPMP_uS-X001Y008_Annotations
False Negative,493560,1,KPMP_uS-X001Y009_Annotations
False Positive,251901,1,KPMP_uS-X001Y009_Annotations
True Negative,989978,1,KPMP_uS-X001Y009_Annotations
True Positive,338161,1,KPMP_uS-X001Y009_Annotations
False Negative,492706,2,KPMP_uS-X001Y009_Annotations
False Positive,76388,2,KPMP_uS-X001Y009_Annotations
True Negative,1209013,2,KPMP_uS-X001Y009_Annotations
True Positive,295493,2,KPMP_uS-X001Y009_Annotations
False Negative,64984,3,KPMP_uS-X001Y009_Annotations
False Positive,448724,3,KPMP_uS-X001Y009_Annotations
True Negative,1536869,3,KPMP_uS-X001Y009_Annotations
True Positive,23023,3,KPMP_uS-X001Y009_Annotations
False Negative,74853,4,KPMP_uS-X001Y009_Annotations
False Positive,291559,4,KPMP_uS-X001Y009_Annotations
True Negative,1647045,4,KPMP_uS-X001Y009_Annotations
True Positive,60143,4,KPMP_uS-X001Y009_Annotations
False Negative,671,5,KPMP_uS-X001Y009_Annotations
False Positive,19936,5,KPMP_uS-X001Y009_Annotations
True Negative,2036903,5,KPMP_uS-X001Y009_Annotations
True Positive,16090,5,KPMP_uS-X001Y009_Annotations
False Negative,28854,6,KPMP_uS-X001Y009_Annotations
False Positive,67120,6,KPMP_uS-X001Y009_Annotations
True Negative,1792564,6,KPMP_uS-X001Y009_Annotations
True Positive,185062,6,KPMP_uS-X001Y009_Annotations
False Negative,400813,1,KPMP_uS-X001Y010_Annotations
False Positive,161772,1,KPMP_uS-X001Y010_Annotations
True Negative,1099322,1,KPMP_uS-X001Y010_Annotations
True Positive,411693,1,KPMP_uS-X001Y010_Annotations
False Negative,321918,2,KPMP_uS-X001Y010_Annotations
False Positive,55815,2,KPMP_uS-X001Y010_Annotations
True Negative,1385678,2,KPMP_uS-X001Y010_Annotations
True Positive,310189,2,KPMP_uS-X001Y010_Annotations
False Negative,85488,3,KPMP_uS-X001Y010_Annotations
False Positive,389440,3,KPMP_uS-X001Y010_Annotations
True Negative,1544042,3,KPMP_uS-X001Y010_Annotations
True Positive,54630,3,KPMP_uS-X001Y010_Annotations
False Negative,156,4,KPMP_uS-X001Y010_Annotations
False Positive,190378,4,KPMP_uS-X001Y010_Annotations
True Negative,1875884,4,KPMP_uS-X001Y010_Annotations
True Positive,7182,4,KPMP_uS-X001Y010_Annotations
False Negative,16886,5,KPMP_uS-X001Y010_Annotations
False Positive,27856,5,KPMP_uS-X001Y010_Annotations
True Negative,1564213,5,KPMP_uS-X001Y010_Annotations
True Positive,464645,5,KPMP_uS-X001Y010_Annotations
False Negative,292185,1,KPMP_uS-X002Y009_Annotations
False Positive,294086,1,KPMP_uS-X002Y009_Annotations
True Negative,667349,1,KPMP_uS-X002Y009_Annotations
True Positive,819980,1,KPMP_uS-X002Y009_Annotations
False Negative,294086,2,KPMP_uS-X002Y009_Annotations
False Positive,292185,2,KPMP_uS-X002Y009_Annotations
True Negative,819980,2,KPMP_uS-X002Y009_Annotations
True Positive,667349,2,KPMP_uS-X002Y009_Annotations
False Negative,164505,1,KPMP_uS-X002Y011_Annotations
False Positive,340266,1,KPMP_uS-X002Y011_Annotations
True Negative,947453,1,KPMP_uS-X002Y011_Annotations
True Positive,621376,1,KPMP_uS-X002Y011_Annotations
False Negative,340266,2,KPMP_uS-X002Y011_Annotations
False Positive,164505,2,KPMP_uS-X002Y011_Annotations
True Negative,621376,2,KPMP_uS-X002Y011_Annotations
True Positive,947453,2,KPMP_uS-X002Y011_Annotations
False Negative,496989,1,KPMP_uS-X002Y013_Annotations
False Positive,176316,1,KPMP_uS-X002Y013_Annotations
True Negative,983908,1,KPMP_uS-X002Y013_Annotations
True Positive,416387,1,KPMP_uS-X002Y013_Annotations
False Negative,487678,2,KPMP_uS-X002Y013_Annotations
False Positive,106414,2,KPMP_uS-X002Y013_Annotations
True Negative,878886,2,KPMP_uS-X002Y013_Annotations
True Positive,600622,2,KPMP_uS-X002Y013_Annotations
False Negative,33576,3,KPMP_uS-X002Y013_Annotations
False Positive,735513,3,KPMP_uS-X002Y013_Annotations
True Negative,1266163,3,KPMP_uS-X002Y013_Annotations
