Counts,Freq,Cluster,Image
False Negative,492970,1,KPMP_uS-X001Y008_Annotations
False Positive,317627,1,KPMP_uS-X001Y008_Annotations
True Negative,915527,1,KPMP_uS-X001Y008_Annotations
True Positive,347476,1,KPMP_uS-X001Y008_Annotations
False Negative,355688,2,KPMP_uS-X001Y008_Annotations
False Positive,146485,2,KPMP_uS-X001Y008_Annotations
True Negative,1005855,2,KPMP_uS-X001Y008_Annotations
True Positive,565572,2,KPMP_uS-X001Y008_Annotations
False Negative,39767,3,KPMP_uS-X001Y008_Annotations
False Positive,466818,3,KPMP_uS-X001Y008_Annotations
True Negative,1480726,3,KPMP_uS-X001Y008_Annotations
True Positive,86289,3,KPMP_uS-X001Y008_Annotations
False Negative,82535,4,KPMP_uS-X001Y008_Annotations
False Positive,40030,4,KPMP_uS-X001Y008_Annotations
True Negative,1847732,4,KPMP_uS-X001Y008_Annotations
True Positive,103303,4,KPMP_uS-X001Y008_Annotations
False Negative,523915,1,KPMP_uS-X001Y009_Annotations
False Positive,236278,1,KPMP_uS-X001Y009_Annotations
True Negative,1005601,1,KPMP_uS-X001Y009_Annotations
True Positive,307806,1,KPMP_uS-X001Y009_Annotations
False Negative,500986,2,KPMP_uS-X001Y009_Annotations
False Positive,77780,2,KPMP_uS-X001Y009_Annotations
True Negative,1207621,2,KPMP_uS-X001Y009_Annotations
True Positive,287213,2,KPMP_uS-X001Y009_Annotations
False Negative,60682,3,KPMP_uS-X001Y009_Annotations
False Positive,444688,3,KPMP_uS-X001Y009_Annotations
True Negative,1540905,3,KPMP_uS-X001Y009_Annotations
True Positive,27325,3,KPMP_uS-X001Y009_Annotations
False Negative,83488,4,KPMP_uS-X001Y009_Annotations
False Positive,309958,4,KPMP_uS-X001Y009_Annotations
True Negative,1628646,4,KPMP_uS-X001Y009_Annotations
True Positive,51508,4,KPMP_uS-X001Y009_Annotations
False Negative,796,5,KPMP_uS-X001Y009_Annotations
False Positive,52610,5,KPMP_uS-X001Y009_Annotations
True Negative,2004229,5,KPMP_uS-X001Y009_Annotations
True Positive,15965,5,KPMP_uS-X001Y009_Annotations
False Negative,22059,6,KPMP_uS-X001Y009_Annotations
False Positive,70612,6,KPMP_uS-X001Y009_Annotations
True Negative,1789072,6,KPMP_uS-X001Y009_Annotations
True Positive,191857,6,KPMP_uS-X001Y009_Annotations
False Negative,447661,1,KPMP_uS-X001Y010_Annotations
False Positive,147489,1,KPMP_uS-X001Y010_Annotations
True Negative,1113605,1,KPMP_uS-X001Y010_Annotations
True Positive,364845,1,KPMP_uS-X001Y010_Annotations
False Negative,322776,2,KPMP_uS-X001Y010_Annotations
