Counts,Freq,Cluster,Image
False Negative,721261,1,KPMP_uS-X001Y008_Annotations
False Positive,574465,1,KPMP_uS-X001Y008_Annotations
True Negative,658689,1,KPMP_uS-X001Y008_Annotations
True Positive,119185,1,KPMP_uS-X001Y008_Annotations
False Negative,918834,2,KPMP_uS-X001Y008_Annotations
False Positive,124631,2,KPMP_uS-X001Y008_Annotations
True Negative,1027709,2,KPMP_uS-X001Y008_Annotations
True Positive,2426,2,KPMP_uS-X001Y008_Annotations
False Negative,105965,3,KPMP_uS-X001Y008_Annotations
False Positive,634184,3,KPMP_uS-X001Y008_Annotations
True Negative,1313360,3,KPMP_uS-X001Y008_Annotations
True Positive,20091,3,KPMP_uS-X001Y008_Annotations
False Negative,124047,4,KPMP_uS-X001Y008_Annotations
False Positive,536827,4,KPMP_uS-X001Y008_Annotations
True Negative,1350935,4,KPMP_uS-X001Y008_Annotations
True Positive,61791,4,KPMP_uS-X001Y008_Annotations
False Negative,491710,1,KPMP_uS-X001Y009_Annotations
False Positive,250725,1,KPMP_uS-X001Y009_Annotations
True Negative,991154,1,KPMP_uS-X001Y009_Annotations
True Positive,340011,1,KPMP_uS-X001Y009_Annotations
False Negative,492807,2,KPMP_uS-X001Y009_Annotations
False Positive,76794,2,KPMP_uS-X001Y009_Annotations
True Negative,1208607,2,KPMP_uS-X001Y009_Annotations
True Positive,295392,2,KPMP_uS-X001Y009_Annotations
False Negative,64577,3,KPMP_uS-X001Y009_Annotations
False Positive,461053,3,KPMP_uS-X001Y009_Annotations
True Negative,1524540,3,KPMP_uS-X001Y009_Annotations
True Positive,23430,3,KPMP_uS-X001Y009_Annotations
False Negative,74217,4,KPMP_uS-X001Y009_Annotations
False Positive,277575,4,KPMP_uS-X001Y009_Annotations
True Negative,1661029,4,KPMP_uS-X001Y009_Annotations
True Positive,60779,4,KPMP_uS-X001Y009_Annotations
False Negative,686,5,KPMP_uS-X001Y009_Annotations
False Positive,19036,5,KPMP_uS-X001Y009_Annotations
True Negative,2037803,5,KPMP_uS-X001Y009_Annotations
True Positive,16075,5,KPMP_uS-X001Y009_Annotations
False Negative,24478,6,KPMP_uS-X001Y009_Annotations
False Positive,63292,6,KPMP_uS-X001Y009_Annotations
True Negative,1796392,6,KPMP_uS-X001Y009_Annotations
True Positive,189438,6,KPMP_uS-X001Y009_Annotations
False Negative,395957,1,KPMP_uS-X001Y010_Annotations
False Positive,162342,1,KPMP_uS-X001Y010_Annotations
True Negative,1098752,1,KPMP_uS-X001Y010_Annotations
True Positive,416549,1,KPMP_uS-X001Y010_Annotations
False Negative,324711,2,KPMP_uS-X001Y010_Annotations
False Positive,55011,2,KPMP_uS-X001Y010_Annotations
True Negative,1386482,2,KPMP_uS-X001Y010_Annotations
True Positive,307396,2,KPMP_uS-X001Y010_Annotations
False Negative,129477,3,KPMP_uS-X001Y010_Annotations
False Positive,172689,3,KPMP_uS-X001Y010_Annotations
True Negative,1760793,3,KPMP_uS-X001Y010_Annotations
True Positive,10641,3,KPMP_uS-X001Y010_Annotations
False Negative,7338,4,KPMP_uS-X001Y010_Annotations
False Positive,499328,4,KPMP_uS-X001Y010_Annotations
True Negative,1566934,4,KPMP_uS-X001Y010_Annotations
False Negative,481295,5,KPMP_uS-X001Y010_Annotations
False Positive,449408,5,KPMP_uS-X001Y010_Annotations
True Negative,1142661,5,KPMP_uS-X001Y010_Annotations
True Positive,236,5,KPMP_uS-X001Y010_Annotations
False Negative,279164,1,KPMP_uS-X002Y009_Annotations
False Positive,302368,1,KPMP_uS-X002Y009_Annotations
True Negative,659067,1,KPMP_uS-X002Y009_Annotations
True Positive,833001,1,KPMP_uS-X002Y009_Annotations
False Negative,302368,2,KPMP_uS-X002Y009_Annotations
False Positive,279164,2,KPMP_uS-X002Y009_Annotations
True Negative,833001,2,KPMP_uS-X002Y009_Annotations
True Positive,659067,2,KPMP_uS-X002Y009_Annotations
False Negative,159850,1,KPMP_uS-X002Y011_Annotations
False Positive,345778,1,KPMP_uS-X002Y011_Annotations
True Negative,941941,1,KPMP_uS-X002Y011_Annotations
True Positive,626031,1,KPMP_uS-X002Y011_Annotations
False Negative,345778,2,KPMP_uS-X002Y011_Annotations
False Positive,159850,2,KPMP_uS-X002Y011_Annotations
True Negative,626031,2,KPMP_uS-X002Y011_Annotations
True Positive,941941,2,KPMP_uS-X002Y011_Annotations
False Negative,491520,1,KPMP_uS-X002Y013_Annotations
False Positive,177080,1,KPMP_uS-X002Y013_Annotations
True Negative,983144,1,KPMP_uS-X002Y013_Annotations
True Positive,421856,1,KPMP_uS-X002Y013_Annotations
False Negative,495420,2,KPMP_uS-X002Y013_Annotations
False Positive,103431,2,KPMP_uS-X002Y013_Annotations
True Negative,881869,2,KPMP_uS-X002Y013_Annotations
True Positive,592880,2,KPMP_uS-X002Y013_Annotations
False Negative,33501,3,KPMP_uS-X002Y013_Annotations
False Positive,739930,3,KPMP_uS-X002Y013_Annotations
True Negative,1261746,3,KPMP_uS-X002Y013_Annotations
True Positive,38423,3,KPMP_uS-X002Y013_Annotations
False Negative,641701,1,KPMP_uS-X002Y015_Annotations
False Positive,125100,1,KPMP_uS-X002Y015_Annotations
True Negative,1202757,1,KPMP_uS-X002Y015_Annotations
True Positive,104042,1,KPMP_uS-X002Y015_Annotations
False Negative,90397,2,KPMP_uS-X002Y015_Annotations
False Positive,386419,2,KPMP_uS-X002Y015_Annotations
True Negative,1581195,2,KPMP_uS-X002Y015_Annotations
True Positive,15589,2,KPMP_uS-X002Y015_Annotations
False Negative,606803,3,KPMP_uS-X002Y015_Annotations
False Positive,40112,3,KPMP_uS-X002Y015_Annotations
True Negative,1130541,3,KPMP_uS-X002Y015_Annotations
True Positive,296144,3,KPMP_uS-X002Y015_Annotations
False Negative,181753,4,KPMP_uS-X002Y015_Annotations
False Positive,441686,4,KPMP_uS-X002Y015_Annotations
True Negative,1344092,4,KPMP_uS-X002Y015_Annotations
True Positive,106069,4,KPMP_uS-X002Y015_Annotations
False Negative,30470,5,KPMP_uS-X002Y015_Annotations
False Positive,557807,5,KPMP_uS-X002Y015_Annotations
True Negative,1484691,5,KPMP_uS-X002Y015_Annotations
True Positive,632,5,KPMP_uS-X002Y015_Annotations
False Negative,601817,1,KPMP_uS-X002Y019_Annotations
False Positive,147647,1,KPMP_uS-X002Y019_Annotations
True Negative,626588,1,KPMP_uS-X002Y019_Annotations
True Positive,697548,1,KPMP_uS-X002Y019_Annotations
False Negative,184422,2,KPMP_uS-X002Y019_Annotations
False Positive,335165,2,KPMP_uS-X002Y019_Annotations
True Negative,1428895,2,KPMP_uS-X002Y019_Annotations
True Positive,125118,2,KPMP_uS-X002Y019_Annotations
False Negative,184130,3,KPMP_uS-X002Y019_Annotations
False Positive,262345,3,KPMP_uS-X002Y019_Annotations
True Negative,1491998,3,KPMP_uS-X002Y019_Annotations
True Positive,135127,3,KPMP_uS-X002Y019_Annotations
False Negative,2059,4,KPMP_uS-X002Y019_Annotations
False Positive,227271,4,KPMP_uS-X002Y019_Annotations
True Negative,1700891,4,KPMP_uS-X002Y019_Annotations
True Positive,143379,4,KPMP_uS-X002Y019_Annotations
False Negative,631327,1,KPMP_uS-X002Y021_Annotations
False Positive,247757,1,KPMP_uS-X002Y021_Annotations
True Negative,892714,1,KPMP_uS-X002Y021_Annotations
True Positive,301802,1,KPMP_uS-X002Y021_Annotations
False Negative,244997,2,KPMP_uS-X002Y021_Annotations
False Positive,184515,2,KPMP_uS-X002Y021_Annotations
True Negative,1515855,2,KPMP_uS-X002Y021_Annotations
True Positive,128233,2,KPMP_uS-X002Y021_Annotations
False Negative,76215,3,KPMP_uS-X002Y021_Annotations
False Positive,352443,3,KPMP_uS-X002Y021_Annotations
True Negative,1642323,3,KPMP_uS-X002Y021_Annotations
True Positive,2619,3,KPMP_uS-X002Y021_Annotations
False Negative,399594,4,KPMP_uS-X002Y021_Annotations
False Positive,113928,4,KPMP_uS-X002Y021_Annotations
True Negative,1558655,4,KPMP_uS-X002Y021_Annotations
True Positive,1423,4,KPMP_uS-X002Y021_Annotations
False Negative,50299,5,KPMP_uS-X002Y021_Annotations
False Positive,460975,5,KPMP_uS-X002Y021_Annotations
True Negative,1559400,5,KPMP_uS-X002Y021_Annotations
True Positive,2926,5,KPMP_uS-X002Y021_Annotations
False Negative,12960,6,KPMP_uS-X002Y021_Annotations
False Positive,55774,6,KPMP_uS-X002Y021_Annotations
True Negative,1783661,6,KPMP_uS-X002Y021_Annotations
True Positive,221205,6,KPMP_uS-X002Y021_Annotations
False Negative,1003134,1,KPMP_uS-X003Y006_Annotations
False Positive,110015,1,KPMP_uS-X003Y006_Annotations
True Negative,858837,1,KPMP_uS-X003Y006_Annotations
True Positive,101614,1,KPMP_uS-X003Y006_Annotations
False Negative,533739,2,KPMP_uS-X003Y006_Annotations
False Positive,855770,2,KPMP_uS-X003Y006_Annotations
True Negative,388853,2,KPMP_uS-X003Y006_Annotations
True Positive,295238,2,KPMP_uS-X003Y006_Annotations
False Negative,126163,3,KPMP_uS-X003Y006_Annotations
False Positive,697251,3,KPMP_uS-X003Y006_Annotations
True Negative,1236474,3,KPMP_uS-X003Y006_Annotations
True Positive,13712,3,KPMP_uS-X003Y006_Annotations
