Counts,Freq,Cluster,Image
False Negative,764638,1,KPMP_uS-X001Y006_Annotations
False Positive,127658,1,KPMP_uS-X001Y006_Annotations
True Negative,850610,1,KPMP_uS-X001Y006_Annotations
True Positive,330694,1,KPMP_uS-X001Y006_Annotations
False Negative,408345,2,KPMP_uS-X001Y006_Annotations
False Positive,239621,2,KPMP_uS-X001Y006_Annotations
True Negative,1190748,2,KPMP_uS-X001Y006_Annotations
True Positive,234886,2,KPMP_uS-X001Y006_Annotations
False Negative,113541,3,KPMP_uS-X001Y006_Annotations
False Positive,551478,3,KPMP_uS-X001Y006_Annotations
True Negative,1361588,3,KPMP_uS-X001Y006_Annotations
True Positive,46993,3,KPMP_uS-X001Y006_Annotations
False Negative,94919,4,KPMP_uS-X001Y006_Annotations
False Positive,174192,4,KPMP_uS-X001Y006_Annotations
True Negative,1744741,4,KPMP_uS-X001Y006_Annotations
True Positive,59748,4,KPMP_uS-X001Y006_Annotations
False Negative,19833,5,KPMP_uS-X001Y006_Annotations
False Positive,308327,5,KPMP_uS-X001Y006_Annotations
True Negative,1745437,5,KPMP_uS-X001Y006_Annotations
True Positive,3,5,KPMP_uS-X001Y006_Annotations
False Negative,383106,1,KPMP_uS-X001Y007_Annotations
False Positive,422157,1,KPMP_uS-X001Y007_Annotations
True Negative,933367,1,KPMP_uS-X001Y007_Annotations
True Positive,334970,1,KPMP_uS-X001Y007_Annotations
False Negative,542258,2,KPMP_uS-X001Y007_Annotations
False Positive,49951,2,KPMP_uS-X001Y007_Annotations
True Negative,716895,2,KPMP_uS-X001Y007_Annotations
True Positive,764496,2,KPMP_uS-X001Y007_Annotations
False Negative,9745,3,KPMP_uS-X001Y007_Annotations
False Positive,463001,3,KPMP_uS-X001Y007_Annotations
True Negative,1561829,3,KPMP_uS-X001Y007_Annotations
True Positive,39025,3,KPMP_uS-X001Y007_Annotations
False Negative,517850,1,KPMP_uS-X001Y008_Annotations
False Positive,218978,1,KPMP_uS-X001Y008_Annotations
True Negative,1014176,1,KPMP_uS-X001Y008_Annotations
True Positive,322596,1,KPMP_uS-X001Y008_Annotations
False Negative,353851,2,KPMP_uS-X001Y008_Annotations
False Positive,149430,2,KPMP_uS-X001Y008_Annotations
True Negative,1002910,2,KPMP_uS-X001Y008_Annotations
True Positive,567409,2,KPMP_uS-X001Y008_Annotations
False Negative,94273,3,KPMP_uS-X001Y008_Annotations
False Positive,644242,3,KPMP_uS-X001Y008_Annotations
True Negative,1303302,3,KPMP_uS-X001Y008_Annotations
True Positive,31783,3,KPMP_uS-X001Y008_Annotations
False Negative,84031,4,KPMP_uS-X001Y008_Annotations
False Positive,37355,4,KPMP_uS-X001Y008_Annotations
True Negative,1850407,4,KPMP_uS-X001Y008_Annotations
True Positive,101807,4,KPMP_uS-X001Y008_Annotations
False Negative,518401,1,KPMP_uS-X001Y009_Annotations
False Positive,240561,1,KPMP_uS-X001Y009_Annotations
True Negative,1001318,1,KPMP_uS-X001Y009_Annotations
True Positive,313320,1,KPMP_uS-X001Y009_Annotations
False Negative,561022,2,KPMP_uS-X001Y009_Annotations
False Positive,236644,2,KPMP_uS-X001Y009_Annotations
True Negative,1048757,2,KPMP_uS-X001Y009_Annotations
True Positive,227177,2,KPMP_uS-X001Y009_Annotations
False Negative,86875,3,KPMP_uS-X001Y009_Annotations
False Positive,359635,3,KPMP_uS-X001Y009_Annotations
True Negative,1625958,3,KPMP_uS-X001Y009_Annotations
True Positive,1132,3,KPMP_uS-X001Y009_Annotations
False Negative,83485,4,KPMP_uS-X001Y009_Annotations
False Positive,311154,4,KPMP_uS-X001Y009_Annotations
True Negative,1627450,4,KPMP_uS-X001Y009_Annotations
True Positive,51511,4,KPMP_uS-X001Y009_Annotations
False Negative,888,5,KPMP_uS-X001Y009_Annotations
False Positive,51853,5,KPMP_uS-X001Y009_Annotations
True Negative,2004986,5,KPMP_uS-X001Y009_Annotations
True Positive,15873,5,KPMP_uS-X001Y009_Annotations
False Negative,20786,6,KPMP_uS-X001Y009_Annotations
False Positive,71610,6,KPMP_uS-X001Y009_Annotations
True Negative,1788074,6,KPMP_uS-X001Y009_Annotations
True Positive,193130,6,KPMP_uS-X001Y009_Annotations
False Negative,444771,1,KPMP_uS-X001Y010_Annotations
False Positive,147613,1,KPMP_uS-X001Y010_Annotations
True Negative,1113481,1,KPMP_uS-X001Y010_Annotations
True Positive,367735,1,KPMP_uS-X001Y010_Annotations
False Negative,443458,2,KPMP_uS-X001Y010_Annotations
False Positive,288435,2,KPMP_uS-X001Y010_Annotations
True Negative,1153058,2,KPMP_uS-X001Y010_Annotations
True Positive,188649,2,KPMP_uS-X001Y010_Annotations
False Negative,128575,3,KPMP_uS-X001Y010_Annotations
False Positive,365188,3,KPMP_uS-X001Y010_Annotations
True Negative,1568294,3,KPMP_uS-X001Y010_Annotations
True Positive,11543,3,KPMP_uS-X001Y010_Annotations
False Negative,795,4,KPMP_uS-X001Y010_Annotations
False Positive,186007,4,KPMP_uS-X001Y010_Annotations
True Negative,1880255,4,KPMP_uS-X001Y010_Annotations
True Positive,6543,4,KPMP_uS-X001Y010_Annotations
False Negative,10048,5,KPMP_uS-X001Y010_Annotations
False Positive,40404,5,KPMP_uS-X001Y010_Annotations
True Negative,1551665,5,KPMP_uS-X001Y010_Annotations
True Positive,471483,5,KPMP_uS-X001Y010_Annotations
False Negative,793143,1,KPMP_uS-X002Y005_Annotations
False Positive,99876,1,KPMP_uS-X002Y005_Annotations
True Negative,929285,1,KPMP_uS-X002Y005_Annotations
True Positive,251296,1,KPMP_uS-X002Y005_Annotations
False Negative,672315,2,KPMP_uS-X002Y005_Annotations
False Positive,551456,2,KPMP_uS-X002Y005_Annotations
True Negative,613326,2,KPMP_uS-X002Y005_Annotations
True Positive,236503,2,KPMP_uS-X002Y005_Annotations
False Negative,36577,3,KPMP_uS-X002Y005_Annotations
False Positive,615728,3,KPMP_uS-X002Y005_Annotations
True Negative,1419591,3,KPMP_uS-X002Y005_Annotations
True Positive,1704,3,KPMP_uS-X002Y005_Annotations
False Negative,5658,4,KPMP_uS-X002Y005_Annotations
False Positive,240633,4,KPMP_uS-X002Y005_Annotations
True Negative,1750905,4,KPMP_uS-X002Y005_Annotations
True Positive,76404,4,KPMP_uS-X002Y005_Annotations
False Negative,493669,1,KPMP_uS-X002Y006_Annotations
False Positive,164430,1,KPMP_uS-X002Y006_Annotations
True Negative,1052441,1,KPMP_uS-X002Y006_Annotations
True Positive,363060,1,KPMP_uS-X002Y006_Annotations
False Negative,165210,2,KPMP_uS-X002Y006_Annotations
False Positive,218318,2,KPMP_uS-X002Y006_Annotations
True Negative,1526347,2,KPMP_uS-X002Y006_Annotations
True Positive,163725,2,KPMP_uS-X002Y006_Annotations
False Negative,40336,3,KPMP_uS-X002Y006_Annotations
False Positive,237149,3,KPMP_uS-X002Y006_Annotations
True Negative,1792499,3,KPMP_uS-X002Y006_Annotations
True Positive,3616,3,KPMP_uS-X002Y006_Annotations
False Negative,305008,4,KPMP_uS-X002Y006_Annotations
False Positive,344022,4,KPMP_uS-X002Y006_Annotations
True Negative,1345297,4,KPMP_uS-X002Y006_Annotations
True Positive,79273,4,KPMP_uS-X002Y006_Annotations
False Negative,61602,5,KPMP_uS-X002Y006_Annotations
False Positive,101906,5,KPMP_uS-X002Y006_Annotations
True Negative,1511991,5,KPMP_uS-X002Y006_Annotations
True Positive,398101,5,KPMP_uS-X002Y006_Annotations
False Negative,766502,1,KPMP_uS-X002Y007_Annotations
False Positive,132767,1,KPMP_uS-X002Y007_Annotations
True Negative,771271,1,KPMP_uS-X002Y007_Annotations
True Positive,403060,1,KPMP_uS-X002Y007_Annotations
False Negative,177386,2,KPMP_uS-X002Y007_Annotations
False Positive,186529,2,KPMP_uS-X002Y007_Annotations
True Negative,1344101,2,KPMP_uS-X002Y007_Annotations
True Positive,365584,2,KPMP_uS-X002Y007_Annotations
False Negative,28024,3,KPMP_uS-X002Y007_Annotations
False Positive,696736,3,KPMP_uS-X002Y007_Annotations
True Negative,1342612,3,KPMP_uS-X002Y007_Annotations
True Positive,6228,3,KPMP_uS-X002Y007_Annotations
False Negative,163049,4,KPMP_uS-X002Y007_Annotations
False Positive,118929,4,KPMP_uS-X002Y007_Annotations
True Negative,1627855,4,KPMP_uS-X002Y007_Annotations
True Positive,163767,4,KPMP_uS-X002Y007_Annotations
False Negative,712909,1,KPMP_uS-X002Y008_Annotations
False Positive,158574,1,KPMP_uS-X002Y008_Annotations
True Negative,885948,1,KPMP_uS-X002Y008_Annotations
True Positive,316169,1,KPMP_uS-X002Y008_Annotations
False Negative,322477,2,KPMP_uS-X002Y008_Annotations
False Positive,157431,2,KPMP_uS-X002Y008_Annotations
