Counts,Freq,Cluster,Image
False Negative,715414,1,KPMP_uS-X001Y008_Annotations
False Positive,583458,1,KPMP_uS-X001Y008_Annotations
True Negative,649696,1,KPMP_uS-X001Y008_Annotations
True Positive,125032,1,KPMP_uS-X001Y008_Annotations
False Negative,918247,2,KPMP_uS-X001Y008_Annotations
False Positive,128416,2,KPMP_uS-X001Y008_Annotations
True Negative,1023924,2,KPMP_uS-X001Y008_Annotations
True Positive,3013,2,KPMP_uS-X001Y008_Annotations
False Negative,25755,3,KPMP_uS-X001Y008_Annotations
False Positive,483495,3,KPMP_uS-X001Y008_Annotations
True Negative,1464049,3,KPMP_uS-X001Y008_Annotations
True Positive,100301,3,KPMP_uS-X001Y008_Annotations
False Negative,165587,4,KPMP_uS-X001Y008_Annotations
False Positive,629634,4,KPMP_uS-X001Y008_Annotations
True Negative,1258128,4,KPMP_uS-X001Y008_Annotations
True Positive,20251,4,KPMP_uS-X001Y008_Annotations
False Negative,818195,1,KPMP_uS-X001Y009_Annotations
False Positive,22500,1,KPMP_uS-X001Y009_Annotations
True Negative,1219379,1,KPMP_uS-X001Y009_Annotations
True Positive,13526,1,KPMP_uS-X001Y009_Annotations
False Negative,762462,2,KPMP_uS-X001Y009_Annotations
False Positive,325965,2,KPMP_uS-X001Y009_Annotations
True Negative,959436,2,KPMP_uS-X001Y009_Annotations
True Positive,25737,2,KPMP_uS-X001Y009_Annotations
False Negative,88004,3,KPMP_uS-X001Y009_Annotations
False Positive,371878,3,KPMP_uS-X001Y009_Annotations
True Negative,1613715,3,KPMP_uS-X001Y009_Annotations
True Positive,3,3,KPMP_uS-X001Y009_Annotations
False Negative,117220,4,KPMP_uS-X001Y009_Annotations
False Positive,453971,4,KPMP_uS-X001Y009_Annotations
True Negative,1484633,4,KPMP_uS-X001Y009_Annotations
True Positive,17776,4,KPMP_uS-X001Y009_Annotations
False Negative,16687,5,KPMP_uS-X001Y009_Annotations
False Positive,589988,5,KPMP_uS-X001Y009_Annotations
True Negative,1466851,5,KPMP_uS-X001Y009_Annotations
True Positive,74,5,KPMP_uS-X001Y009_Annotations
False Negative,28854,6,KPMP_uS-X001Y009_Annotations
False Positive,67120,6,KPMP_uS-X001Y009_Annotations
True Negative,1792564,6,KPMP_uS-X001Y009_Annotations
