Counts,Freq,Cluster,Image
False Negative,702850,1,KPMP_uS-X001Y008_Annotations
False Positive,574461,1,KPMP_uS-X001Y008_Annotations
True Negative,658693,1,KPMP_uS-X001Y008_Annotations
True Positive,137596,1,KPMP_uS-X001Y008_Annotations
False Negative,837111,2,KPMP_uS-X001Y008_Annotations
False Positive,468958,2,KPMP_uS-X001Y008_Annotations
True Negative,683382,2,KPMP_uS-X001Y008_Annotations
True Positive,84149,2,KPMP_uS-X001Y008_Annotations
False Negative,96688,3,KPMP_uS-X001Y008_Annotations
False Positive,635735,3,KPMP_uS-X001Y008_Annotations
True Negative,1311809,3,KPMP_uS-X001Y008_Annotations
True Positive,29368,3,KPMP_uS-X001Y008_Annotations
False Negative,82535,4,KPMP_uS-X001Y008_Annotations
False Positive,40030,4,KPMP_uS-X001Y008_Annotations
True Negative,1847732,4,KPMP_uS-X001Y008_Annotations
True Positive,103303,4,KPMP_uS-X001Y008_Annotations
False Negative,595324,1,KPMP_uS-X001Y009_Annotations
False Positive,125069,1,KPMP_uS-X001Y009_Annotations
True Negative,1116810,1,KPMP_uS-X001Y009_Annotations
True Positive,236397,1,KPMP_uS-X001Y009_Annotations
False Negative,500986,2,KPMP_uS-X001Y009_Annotations
False Positive,77780,2,KPMP_uS-X001Y009_Annotations
True Negative,1207621,2,KPMP_uS-X001Y009_Annotations
True Positive,287213,2,KPMP_uS-X001Y009_Annotations
False Negative,85752,3,KPMP_uS-X001Y009_Annotations
False Positive,66320,3,KPMP_uS-X001Y009_Annotations
True Negative,1919273,3,KPMP_uS-X001Y009_Annotations
True Positive,2255,3,KPMP_uS-X001Y009_Annotations
False Negative,103121,4,KPMP_uS-X001Y009_Annotations
False Positive,512209,4,KPMP_uS-X001Y009_Annotations
True Negative,1426395,4,KPMP_uS-X001Y009_Annotations
True Positive,31875,4,KPMP_uS-X001Y009_Annotations
False Negative,16673,5,KPMP_uS-X001Y009_Annotations
False Positive,471925,5,KPMP_uS-X001Y009_Annotations
True Negative,1584914,5,KPMP_uS-X001Y009_Annotations
True Positive,88,5,KPMP_uS-X001Y009_Annotations
False Negative,22059,6,KPMP_uS-X001Y009_Annotations
False Positive,70612,6,KPMP_uS-X001Y009_Annotations
True Negative,1789072,6,KPMP_uS-X001Y009_Annotations
True Positive,191857,6,KPMP_uS-X001Y009_Annotations
False Negative,763530,1,KPMP_uS-X001Y010_Annotations
False Positive,328851,1,KPMP_uS-X001Y010_Annotations
True Negative,932243,1,KPMP_uS-X001Y010_Annotations
True Positive,48976,1,KPMP_uS-X001Y010_Annotations
