Counts,Freq,Cluster,Image
False Negative,486953,1,KPMP_uS-X001Y008_Annotations
False Positive,322378,1,KPMP_uS-X001Y008_Annotations
True Negative,910776,1,KPMP_uS-X001Y008_Annotations
True Positive,353493,1,KPMP_uS-X001Y008_Annotations
False Negative,353710,2,KPMP_uS-X001Y008_Annotations
False Positive,149466,2,KPMP_uS-X001Y008_Annotations
True Negative,1002874,2,KPMP_uS-X001Y008_Annotations
True Positive,567550,2,KPMP_uS-X001Y008_Annotations
False Negative,41202,3,KPMP_uS-X001Y008_Annotations
False Positive,456720,3,KPMP_uS-X001Y008_Annotations
True Negative,1490824,3,KPMP_uS-X001Y008_Annotations
True Positive,84854,3,KPMP_uS-X001Y008_Annotations
False Negative,84047,4,KPMP_uS-X001Y008_Annotations
False Positive,37348,4,KPMP_uS-X001Y008_Annotations
True Negative,1850414,4,KPMP_uS-X001Y008_Annotations
True Positive,101791,4,KPMP_uS-X001Y008_Annotations
False Negative,520499,1,KPMP_uS-X001Y009_Annotations
False Positive,233381,1,KPMP_uS-X001Y009_Annotations
True Negative,1008498,1,KPMP_uS-X001Y009_Annotations
True Positive,311222,1,KPMP_uS-X001Y009_Annotations
False Negative,494642,2,KPMP_uS-X001Y009_Annotations
False Positive,82143,2,KPMP_uS-X001Y009_Annotations
True Negative,1203258,2,KPMP_uS-X001Y009_Annotations
True Positive,293557,2,KPMP_uS-X001Y009_Annotations
False Negative,58208,3,KPMP_uS-X001Y009_Annotations
False Positive,451110,3,KPMP_uS-X001Y009_Annotations
True Negative,1534483,3,KPMP_uS-X001Y009_Annotations
True Positive,29799,3,KPMP_uS-X001Y009_Annotations
False Negative,84665,4,KPMP_uS-X001Y009_Annotations
False Positive,291828,4,KPMP_uS-X001Y009_Annotations
True Negative,1646776,4,KPMP_uS-X001Y009_Annotations
True Positive,50331,4,KPMP_uS-X001Y009_Annotations
False Negative,956,5,KPMP_uS-X001Y009_Annotations
False Positive,47103,5,KPMP_uS-X001Y009_Annotations
True Negative,2009736,5,KPMP_uS-X001Y009_Annotations
True Positive,15805,5,KPMP_uS-X001Y009_Annotations
False Negative,20379,6,KPMP_uS-X001Y009_Annotations
False Positive,73784,6,KPMP_uS-X001Y009_Annotations
True Negative,1785900,6,KPMP_uS-X001Y009_Annotations
True Positive,193537,6,KPMP_uS-X001Y009_Annotations
False Negative,445292,1,KPMP_uS-X001Y010_Annotations
False Positive,147080,1,KPMP_uS-X001Y010_Annotations
True Negative,1114014,1,KPMP_uS-X001Y010_Annotations
True Positive,367214,1,KPMP_uS-X001Y010_Annotations
False Negative,324083,2,KPMP_uS-X001Y010_Annotations
False Positive,68790,2,KPMP_uS-X001Y010_Annotations
True Negative,1372703,2,KPMP_uS-X001Y010_Annotations
True Positive,308024,2,KPMP_uS-X001Y010_Annotations
False Negative,79876,3,KPMP_uS-X001Y010_Annotations
False Positive,418281,3,KPMP_uS-X001Y010_Annotations
True Negative,1515201,3,KPMP_uS-X001Y010_Annotations
True Positive,60242,3,KPMP_uS-X001Y010_Annotations
False Negative,796,4,KPMP_uS-X001Y010_Annotations
False Positive,185511,4,KPMP_uS-X001Y010_Annotations
True Negative,1880751,4,KPMP_uS-X001Y010_Annotations
True Positive,6542,4,KPMP_uS-X001Y010_Annotations
False Negative,10027,5,KPMP_uS-X001Y010_Annotations
False Positive,40412,5,KPMP_uS-X001Y010_Annotations
True Negative,1551657,5,KPMP_uS-X001Y010_Annotations
True Positive,471504,5,KPMP_uS-X001Y010_Annotations
False Negative,384784,1,KPMP_uS-X002Y009_Annotations
False Positive,267788,1,KPMP_uS-X002Y009_Annotations
True Negative,693647,1,KPMP_uS-X002Y009_Annotations
True Positive,727381,1,KPMP_uS-X002Y009_Annotations
False Negative,267788,2,KPMP_uS-X002Y009_Annotations
False Positive,384784,2,KPMP_uS-X002Y009_Annotations
True Negative,727381,2,KPMP_uS-X002Y009_Annotations
True Positive,693647,2,KPMP_uS-X002Y009_Annotations
False Negative,214650,1,KPMP_uS-X002Y011_Annotations
False Positive,317385,1,KPMP_uS-X002Y011_Annotations
True Negative,970334,1,KPMP_uS-X002Y011_Annotations
