Counts,Freq,Cluster,Image
False Negative,645312,1,KPMP_uS-X001Y008_Annotations
False Positive,203792,1,KPMP_uS-X001Y008_Annotations
True Negative,1029362,1,KPMP_uS-X001Y008_Annotations
True Positive,195134,1,KPMP_uS-X001Y008_Annotations
False Negative,263297,2,KPMP_uS-X001Y008_Annotations
False Positive,228260,2,KPMP_uS-X001Y008_Annotations
True Negative,924080,2,KPMP_uS-X001Y008_Annotations
True Positive,657963,2,KPMP_uS-X001Y008_Annotations
False Negative,35438,3,KPMP_uS-X001Y008_Annotations
False Positive,563862,3,KPMP_uS-X001Y008_Annotations
True Negative,1383682,3,KPMP_uS-X001Y008_Annotations
True Positive,90618,3,KPMP_uS-X001Y008_Annotations
False Negative,115353,4,KPMP_uS-X001Y008_Annotations
False Positive,63486,4,KPMP_uS-X001Y008_Annotations
True Negative,1824276,4,KPMP_uS-X001Y008_Annotations
True Positive,70485,4,KPMP_uS-X001Y008_Annotations
False Negative,728013,1,KPMP_uS-X001Y009_Annotations
False Positive,59305,1,KPMP_uS-X001Y009_Annotations
True Negative,1182574,1,KPMP_uS-X001Y009_Annotations
True Positive,103708,1,KPMP_uS-X001Y009_Annotations
False Negative,732365,2,KPMP_uS-X001Y009_Annotations
False Positive,330377,2,KPMP_uS-X001Y009_Annotations
True Negative,955024,2,KPMP_uS-X001Y009_Annotations
True Positive,55834,2,KPMP_uS-X001Y009_Annotations
False Negative,70780,3,KPMP_uS-X001Y009_Annotations
False Positive,422317,3,KPMP_uS-X001Y009_Annotations
True Negative,1563276,3,KPMP_uS-X001Y009_Annotations
True Positive,17227,3,KPMP_uS-X001Y009_Annotations
False Negative,113775,4,KPMP_uS-X001Y009_Annotations
False Positive,425564,4,KPMP_uS-X001Y009_Annotations
True Negative,1513040,4,KPMP_uS-X001Y009_Annotations
True Positive,21221,4,KPMP_uS-X001Y009_Annotations
False Negative,16738,5,KPMP_uS-X001Y009_Annotations
False Positive,434079,5,KPMP_uS-X001Y009_Annotations
True Negative,1622760,5,KPMP_uS-X001Y009_Annotations
True Positive,23,5,KPMP_uS-X001Y009_Annotations
False Negative,213576,6,KPMP_uS-X001Y009_Annotations
False Positive,203605,6,KPMP_uS-X001Y009_Annotations
True Negative,1656079,6,KPMP_uS-X001Y009_Annotations
True Positive,340,6,KPMP_uS-X001Y009_Annotations
False Negative,456492,1,KPMP_uS-X001Y010_Annotations
False Positive,125391,1,KPMP_uS-X001Y010_Annotations
True Negative,1135703,1,KPMP_uS-X001Y010_Annotations
True Positive,356014,1,KPMP_uS-X001Y010_Annotations
False Negative,575784,2,KPMP_uS-X001Y010_Annotations
False Positive,438633,2,KPMP_uS-X001Y010_Annotations
True Negative,1002860,2,KPMP_uS-X001Y010_Annotations
True Positive,56323,2,KPMP_uS-X001Y010_Annotations
False Negative,122204,3,KPMP_uS-X001Y010_Annotations
False Positive,391411,3,KPMP_uS-X001Y010_Annotations
True Negative,1542071,3,KPMP_uS-X001Y010_Annotations
True Positive,17914,3,KPMP_uS-X001Y010_Annotations
False Negative,7307,4,KPMP_uS-X001Y010_Annotations
False Positive,349679,4,KPMP_uS-X001Y010_Annotations
True Negative,1716583,4,KPMP_uS-X001Y010_Annotations
True Positive,31,4,KPMP_uS-X001Y010_Annotations
False Negative,480804,5,KPMP_uS-X001Y010_Annotations
False Positive,337477,5,KPMP_uS-X001Y010_Annotations
True Negative,1254592,5,KPMP_uS-X001Y010_Annotations
True Positive,727,5,KPMP_uS-X001Y010_Annotations
False Negative,386477,1,KPMP_uS-X002Y009_Annotations
False Positive,240631,1,KPMP_uS-X002Y009_Annotations
True Negative,720804,1,KPMP_uS-X002Y009_Annotations
True Positive,725688,1,KPMP_uS-X002Y009_Annotations
False Negative,240631,2,KPMP_uS-X002Y009_Annotations
False Positive,386477,2,KPMP_uS-X002Y009_Annotations
True Negative,725688,2,KPMP_uS-X002Y009_Annotations
True Positive,720804,2,KPMP_uS-X002Y009_Annotations
False Negative,224805,1,KPMP_uS-X002Y011_Annotations
False Positive,259926,1,KPMP_uS-X002Y011_Annotations
True Negative,1027793,1,KPMP_uS-X002Y011_Annotations
True Positive,561076,1,KPMP_uS-X002Y011_Annotations
False Negative,259926,2,KPMP_uS-X002Y011_Annotations
False Positive,224805,2,KPMP_uS-X002Y011_Annotations
True Negative,561076,2,KPMP_uS-X002Y011_Annotations
True Positive,1027793,2,KPMP_uS-X002Y011_Annotations
False Negative,379694,1,KPMP_uS-X002Y013_Annotations
False Positive,229692,1,KPMP_uS-X002Y013_Annotations
True Negative,930532,1,KPMP_uS-X002Y013_Annotations
True Positive,533682,1,KPMP_uS-X002Y013_Annotations
False Negative,432583,2,KPMP_uS-X002Y013_Annotations
False Positive,159742,2,KPMP_uS-X002Y013_Annotations
True Negative,825558,2,KPMP_uS-X002Y013_Annotations
True Positive,655717,2,KPMP_uS-X002Y013_Annotations
False Negative,47250,3,KPMP_uS-X002Y013_Annotations
False Positive,470093,3,KPMP_uS-X002Y013_Annotations
True Negative,1531583,3,KPMP_uS-X002Y013_Annotations
True Positive,24674,3,KPMP_uS-X002Y013_Annotations
False Negative,565520,1,KPMP_uS-X002Y015_Annotations
False Positive,266163,1,KPMP_uS-X002Y015_Annotations
True Negative,1061694,1,KPMP_uS-X002Y015_Annotations
True Positive,180223,1,KPMP_uS-X002Y015_Annotations
False Negative,82193,2,KPMP_uS-X002Y015_Annotations
False Positive,376852,2,KPMP_uS-X002Y015_Annotations
True Negative,1590762,2,KPMP_uS-X002Y015_Annotations
True Positive,23793,2,KPMP_uS-X002Y015_Annotations
False Negative,847179,3,KPMP_uS-X002Y015_Annotations
False Positive,331388,3,KPMP_uS-X002Y015_Annotations
True Negative,839265,3,KPMP_uS-X002Y015_Annotations
True Positive,55768,3,KPMP_uS-X002Y015_Annotations
False Negative,244445,4,KPMP_uS-X002Y015_Annotations
False Positive,243142,4,KPMP_uS-X002Y015_Annotations
True Negative,1542636,4,KPMP_uS-X002Y015_Annotations
True Positive,43377,4,KPMP_uS-X002Y015_Annotations
False Negative,31102,5,KPMP_uS-X002Y015_Annotations
False Positive,552894,5,KPMP_uS-X002Y015_Annotations
True Negative,1489604,5,KPMP_uS-X002Y015_Annotations
False Negative,1043473,1,KPMP_uS-X002Y019_Annotations
False Positive,100993,1,KPMP_uS-X002Y019_Annotations
True Negative,673242,1,KPMP_uS-X002Y019_Annotations
True Positive,255892,1,KPMP_uS-X002Y019_Annotations
False Negative,287343,2,KPMP_uS-X002Y019_Annotations
False Positive,606972,2,KPMP_uS-X002Y019_Annotations
True Negative,1157088,2,KPMP_uS-X002Y019_Annotations
True Positive,22197,2,KPMP_uS-X002Y019_Annotations
False Negative,268607,3,KPMP_uS-X002Y019_Annotations
False Positive,479738,3,KPMP_uS-X002Y019_Annotations
True Negative,1274605,3,KPMP_uS-X002Y019_Annotations
True Positive,50650,3,KPMP_uS-X002Y019_Annotations
False Negative,2493,4,KPMP_uS-X002Y019_Annotations
False Positive,414213,4,KPMP_uS-X002Y019_Annotations
True Negative,1513949,4,KPMP_uS-X002Y019_Annotations
True Positive,142945,4,KPMP_uS-X002Y019_Annotations
False Negative,702852,1,KPMP_uS-X002Y021_Annotations
False Positive,172392,1,KPMP_uS-X002Y021_Annotations
True Negative,968079,1,KPMP_uS-X002Y021_Annotations
True Positive,230277,1,KPMP_uS-X002Y021_Annotations
False Negative,330715,2,KPMP_uS-X002Y021_Annotations
False Positive,170706,2,KPMP_uS-X002Y021_Annotations
True Negative,1529664,2,KPMP_uS-X002Y021_Annotations
True Positive,42515,2,KPMP_uS-X002Y021_Annotations
False Negative,42633,3,KPMP_uS-X002Y021_Annotations
False Positive,49770,3,KPMP_uS-X002Y021_Annotations
True Negative,1944996,3,KPMP_uS-X002Y021_Annotations
True Positive,36201,3,KPMP_uS-X002Y021_Annotations
False Negative,331623,4,KPMP_uS-X002Y021_Annotations
False Positive,387325,4,KPMP_uS-X002Y021_Annotations
True Negative,1285258,4,KPMP_uS-X002Y021_Annotations
True Positive,69394,4,KPMP_uS-X002Y021_Annotations
False Negative,20775,5,KPMP_uS-X002Y021_Annotations
False Positive,403317,5,KPMP_uS-X002Y021_Annotations
True Negative,1617058,5,KPMP_uS-X002Y021_Annotations
True Positive,32450,5,KPMP_uS-X002Y021_Annotations
False Negative,232623,6,KPMP_uS-X002Y021_Annotations
False Positive,477711,6,KPMP_uS-X002Y021_Annotations
True Negative,1361724,6,KPMP_uS-X002Y021_Annotations
True Positive,1542,6,KPMP_uS-X002Y021_Annotations
False Negative,767558,1,KPMP_uS-X003Y006_Annotations
False Positive,249463,1,KPMP_uS-X003Y006_Annotations
True Negative,719389,1,KPMP_uS-X003Y006_Annotations
True Positive,337190,1,KPMP_uS-X003Y006_Annotations
False Negative,293701,2,KPMP_uS-X003Y006_Annotations
False Positive,540681,2,KPMP_uS-X003Y006_Annotations
True Negative,703942,2,KPMP_uS-X003Y006_Annotations
True Positive,535276,2,KPMP_uS-X003Y006_Annotations
False Negative,38301,3,KPMP_uS-X003Y006_Annotations
False Positive,309416,3,KPMP_uS-X003Y006_Annotations
True Negative,1624309,3,KPMP_uS-X003Y006_Annotations
True Positive,101574,3,KPMP_uS-X003Y006_Annotations
