Counts,Freq,Cluster,Image
False Negative,391253,1,KPMP_uS-X001Y008_Annotations
False Positive,567003,1,KPMP_uS-X001Y008_Annotations
True Negative,666151,1,KPMP_uS-X001Y008_Annotations
True Positive,449193,1,KPMP_uS-X001Y008_Annotations
False Negative,886646,2,KPMP_uS-X001Y008_Annotations
False Positive,280577,2,KPMP_uS-X001Y008_Annotations
True Negative,871763,2,KPMP_uS-X001Y008_Annotations
True Positive,34614,2,KPMP_uS-X001Y008_Annotations
False Negative,118666,3,KPMP_uS-X001Y008_Annotations
False Positive,113436,3,KPMP_uS-X001Y008_Annotations
True Negative,1834108,3,KPMP_uS-X001Y008_Annotations
True Positive,7390,3,KPMP_uS-X001Y008_Annotations
False Negative,167223,4,KPMP_uS-X001Y008_Annotations
False Positive,602772,4,KPMP_uS-X001Y008_Annotations
True Negative,1284990,4,KPMP_uS-X001Y008_Annotations
True Positive,18615,4,KPMP_uS-X001Y008_Annotations
False Negative,545143,1,KPMP_uS-X001Y009_Annotations
False Positive,345434,1,KPMP_uS-X001Y009_Annotations
True Negative,896445,1,KPMP_uS-X001Y009_Annotations
True Positive,286578,1,KPMP_uS-X001Y009_Annotations
False Negative,788142,2,KPMP_uS-X001Y009_Annotations
False Positive,26650,2,KPMP_uS-X001Y009_Annotations
True Negative,1258751,2,KPMP_uS-X001Y009_Annotations
True Positive,57,2,KPMP_uS-X001Y009_Annotations
False Negative,80251,3,KPMP_uS-X001Y009_Annotations
False Positive,388883,3,KPMP_uS-X001Y009_Annotations
True Negative,1596710,3,KPMP_uS-X001Y009_Annotations
True Positive,7756,3,KPMP_uS-X001Y009_Annotations
False Negative,99663,4,KPMP_uS-X001Y009_Annotations
False Positive,118461,4,KPMP_uS-X001Y009_Annotations
True Negative,1820143,4,KPMP_uS-X001Y009_Annotations
True Positive,35333,4,KPMP_uS-X001Y009_Annotations
False Negative,16707,5,KPMP_uS-X001Y009_Annotations
False Positive,658607,5,KPMP_uS-X001Y009_Annotations
True Negative,1398232,5,KPMP_uS-X001Y009_Annotations
True Positive,54,5,KPMP_uS-X001Y009_Annotations
False Negative,213495,6,KPMP_uS-X001Y009_Annotations
False Positive,205366,6,KPMP_uS-X001Y009_Annotations
True Negative,1654318,6,KPMP_uS-X001Y009_Annotations
True Positive,421,6,KPMP_uS-X001Y009_Annotations
False Negative,704972,1,KPMP_uS-X001Y010_Annotations
False Positive,39234,1,KPMP_uS-X001Y010_Annotations
True Negative,1221860,1,KPMP_uS-X001Y010_Annotations
True Positive,107534,1,KPMP_uS-X001Y010_Annotations
False Negative,556959,2,KPMP_uS-X001Y010_Annotations
False Positive,774262,2,KPMP_uS-X001Y010_Annotations
True Negative,667231,2,KPMP_uS-X001Y010_Annotations
True Positive,75148,2,KPMP_uS-X001Y010_Annotations
False Negative,129960,3,KPMP_uS-X001Y010_Annotations
False Positive,383769,3,KPMP_uS-X001Y010_Annotations
True Negative,1549713,3,KPMP_uS-X001Y010_Annotations
True Positive,10158,3,KPMP_uS-X001Y010_Annotations
False Negative,4870,4,KPMP_uS-X001Y010_Annotations
False Positive,220616,4,KPMP_uS-X001Y010_Annotations
True Negative,1845646,4,KPMP_uS-X001Y010_Annotations
True Positive,2468,4,KPMP_uS-X001Y010_Annotations
False Negative,480458,5,KPMP_uS-X001Y010_Annotations
False Positive,459338,5,KPMP_uS-X001Y010_Annotations
True Negative,1132731,5,KPMP_uS-X001Y010_Annotations
True Positive,1073,5,KPMP_uS-X001Y010_Annotations
False Negative,707017,1,KPMP_uS-X002Y009_Annotations
False Positive,130978,1,KPMP_uS-X002Y009_Annotations
True Negative,830457,1,KPMP_uS-X002Y009_Annotations
True Positive,405148,1,KPMP_uS-X002Y009_Annotations
False Negative,130978,2,KPMP_uS-X002Y009_Annotations
False Positive,707017,2,KPMP_uS-X002Y009_Annotations
True Negative,405148,2,KPMP_uS-X002Y009_Annotations
True Positive,830457,2,KPMP_uS-X002Y009_Annotations
False Negative,214060,1,KPMP_uS-X002Y011_Annotations
False Positive,354930,1,KPMP_uS-X002Y011_Annotations
True Negative,932789,1,KPMP_uS-X002Y011_Annotations
True Positive,571821,1,KPMP_uS-X002Y011_Annotations
False Negative,354930,2,KPMP_uS-X002Y011_Annotations
False Positive,214060,2,KPMP_uS-X002Y011_Annotations
True Negative,571821,2,KPMP_uS-X002Y011_Annotations
True Positive,932789,2,KPMP_uS-X002Y011_Annotations
False Negative,816916,1,KPMP_uS-X002Y013_Annotations
