Counts,Freq,Cluster,Image
False Negative,513536,1,KPMP_uS-X001Y006_Annotations
False Positive,224749,1,KPMP_uS-X001Y006_Annotations
True Negative,753519,1,KPMP_uS-X001Y006_Annotations
True Positive,581796,1,KPMP_uS-X001Y006_Annotations
False Negative,444674,2,KPMP_uS-X001Y006_Annotations
False Positive,31482,2,KPMP_uS-X001Y006_Annotations
True Negative,1398887,2,KPMP_uS-X001Y006_Annotations
True Positive,198557,2,KPMP_uS-X001Y006_Annotations
False Negative,127351,3,KPMP_uS-X001Y006_Annotations
False Positive,284798,3,KPMP_uS-X001Y006_Annotations
True Negative,1628268,3,KPMP_uS-X001Y006_Annotations
True Positive,33183,3,KPMP_uS-X001Y006_Annotations
False Negative,135042,4,KPMP_uS-X001Y006_Annotations
False Positive,669537,4,KPMP_uS-X001Y006_Annotations
True Negative,1249396,4,KPMP_uS-X001Y006_Annotations
True Positive,19625,4,KPMP_uS-X001Y006_Annotations
False Negative,17250,5,KPMP_uS-X001Y006_Annotations
False Positive,27287,5,KPMP_uS-X001Y006_Annotations
True Negative,2026477,5,KPMP_uS-X001Y006_Annotations
True Positive,2586,5,KPMP_uS-X001Y006_Annotations
False Negative,78568,1,KPMP_uS-X001Y007_Annotations
False Positive,487030,1,KPMP_uS-X001Y007_Annotations
True Negative,868494,1,KPMP_uS-X001Y007_Annotations
True Positive,639508,1,KPMP_uS-X001Y007_Annotations
False Negative,464594,2,KPMP_uS-X001Y007_Annotations
False Positive,69228,2,KPMP_uS-X001Y007_Annotations
True Negative,697618,2,KPMP_uS-X001Y007_Annotations
True Positive,842160,2,KPMP_uS-X001Y007_Annotations
False Negative,30364,3,KPMP_uS-X001Y007_Annotations
False Positive,17268,3,KPMP_uS-X001Y007_Annotations
True Negative,2007562,3,KPMP_uS-X001Y007_Annotations
True Positive,18406,3,KPMP_uS-X001Y007_Annotations
False Negative,236071,1,KPMP_uS-X001Y008_Annotations
False Positive,505066,1,KPMP_uS-X001Y008_Annotations
True Negative,728088,1,KPMP_uS-X001Y008_Annotations
True Positive,604375,1,KPMP_uS-X001Y008_Annotations
False Negative,391153,2,KPMP_uS-X001Y008_Annotations
False Positive,135221,2,KPMP_uS-X001Y008_Annotations
True Negative,1017119,2,KPMP_uS-X001Y008_Annotations
True Positive,530107,2,KPMP_uS-X001Y008_Annotations
False Negative,126056,3,KPMP_uS-X001Y008_Annotations
False Positive,32940,3,KPMP_uS-X001Y008_Annotations
True Negative,1914604,3,KPMP_uS-X001Y008_Annotations
False Negative,89183,4,KPMP_uS-X001Y008_Annotations
False Positive,169236,4,KPMP_uS-X001Y008_Annotations
True Negative,1718526,4,KPMP_uS-X001Y008_Annotations
True Positive,96655,4,KPMP_uS-X001Y008_Annotations
False Negative,415824,1,KPMP_uS-X001Y009_Annotations
False Positive,437619,1,KPMP_uS-X001Y009_Annotations
True Negative,804260,1,KPMP_uS-X001Y009_Annotations
True Positive,415897,1,KPMP_uS-X001Y009_Annotations
False Negative,451438,2,KPMP_uS-X001Y009_Annotations
False Positive,102998,2,KPMP_uS-X001Y009_Annotations
True Negative,1182403,2,KPMP_uS-X001Y009_Annotations
