Counts,Freq,Cluster,Image
False Negative,1025669,1,KPMP_uS-X001Y006_Annotations
False Positive,413372,1,KPMP_uS-X001Y006_Annotations
True Negative,564896,1,KPMP_uS-X001Y006_Annotations
True Positive,69663,1,KPMP_uS-X001Y006_Annotations
False Negative,553833,2,KPMP_uS-X001Y006_Annotations
False Positive,376416,2,KPMP_uS-X001Y006_Annotations
True Negative,1053953,2,KPMP_uS-X001Y006_Annotations
True Positive,89398,2,KPMP_uS-X001Y006_Annotations
False Negative,130927,3,KPMP_uS-X001Y006_Annotations
False Positive,279508,3,KPMP_uS-X001Y006_Annotations
True Negative,1633558,3,KPMP_uS-X001Y006_Annotations
True Positive,29607,3,KPMP_uS-X001Y006_Annotations
False Negative,143884,4,KPMP_uS-X001Y006_Annotations
False Positive,358085,4,KPMP_uS-X001Y006_Annotations
True Negative,1560848,4,KPMP_uS-X001Y006_Annotations
True Positive,10783,4,KPMP_uS-X001Y006_Annotations
False Negative,16181,5,KPMP_uS-X001Y006_Annotations
False Positive,443113,5,KPMP_uS-X001Y006_Annotations
True Negative,1610651,5,KPMP_uS-X001Y006_Annotations
True Positive,3655,5,KPMP_uS-X001Y006_Annotations
False Negative,686930,1,KPMP_uS-X001Y007_Annotations
False Positive,673678,1,KPMP_uS-X001Y007_Annotations
True Negative,681846,1,KPMP_uS-X001Y007_Annotations
True Positive,31146,1,KPMP_uS-X001Y007_Annotations
False Negative,1113632,2,KPMP_uS-X001Y007_Annotations
False Positive,495236,2,KPMP_uS-X001Y007_Annotations
True Negative,271610,2,KPMP_uS-X001Y007_Annotations
True Positive,193122,2,KPMP_uS-X001Y007_Annotations
False Negative,44050,3,KPMP_uS-X001Y007_Annotations
False Positive,675698,3,KPMP_uS-X001Y007_Annotations
True Negative,1349132,3,KPMP_uS-X001Y007_Annotations
True Positive,4720,3,KPMP_uS-X001Y007_Annotations
False Negative,497602,1,KPMP_uS-X001Y008_Annotations
False Positive,299596,1,KPMP_uS-X001Y008_Annotations
True Negative,933558,1,KPMP_uS-X001Y008_Annotations
True Positive,342844,1,KPMP_uS-X001Y008_Annotations
False Negative,332972,2,KPMP_uS-X001Y008_Annotations
False Positive,159245,2,KPMP_uS-X001Y008_Annotations
True Negative,993095,2,KPMP_uS-X001Y008_Annotations
True Positive,588288,2,KPMP_uS-X001Y008_Annotations
False Negative,48034,3,KPMP_uS-X001Y008_Annotations
