Counts,Freq,Cluster,Image
False Negative,658652,1,KPMP_uS-X001Y006_Annotations
False Positive,196780,1,KPMP_uS-X001Y006_Annotations
True Negative,781488,1,KPMP_uS-X001Y006_Annotations
True Positive,436680,1,KPMP_uS-X001Y006_Annotations
False Negative,389397,2,KPMP_uS-X001Y006_Annotations
False Positive,29222,2,KPMP_uS-X001Y006_Annotations
True Negative,1401147,2,KPMP_uS-X001Y006_Annotations
True Positive,253834,2,KPMP_uS-X001Y006_Annotations
False Negative,112211,3,KPMP_uS-X001Y006_Annotations
False Positive,458786,3,KPMP_uS-X001Y006_Annotations
True Negative,1454280,3,KPMP_uS-X001Y006_Annotations
True Positive,48323,3,KPMP_uS-X001Y006_Annotations
False Negative,143633,4,KPMP_uS-X001Y006_Annotations
False Positive,399424,4,KPMP_uS-X001Y006_Annotations
True Negative,1519509,4,KPMP_uS-X001Y006_Annotations
True Positive,11034,4,KPMP_uS-X001Y006_Annotations
False Negative,3131,5,KPMP_uS-X001Y006_Annotations
False Positive,222812,5,KPMP_uS-X001Y006_Annotations
True Negative,1830952,5,KPMP_uS-X001Y006_Annotations
True Positive,16705,5,KPMP_uS-X001Y006_Annotations
False Negative,459629,1,KPMP_uS-X001Y007_Annotations
False Positive,454790,1,KPMP_uS-X001Y007_Annotations
True Negative,900734,1,KPMP_uS-X001Y007_Annotations
True Positive,258447,1,KPMP_uS-X001Y007_Annotations
False Negative,591373,2,KPMP_uS-X001Y007_Annotations
False Positive,22859,2,KPMP_uS-X001Y007_Annotations
True Negative,743987,2,KPMP_uS-X001Y007_Annotations
True Positive,715381,2,KPMP_uS-X001Y007_Annotations
False Negative,6307,3,KPMP_uS-X001Y007_Annotations
False Positive,579660,3,KPMP_uS-X001Y007_Annotations
True Negative,1445170,3,KPMP_uS-X001Y007_Annotations
True Positive,42463,3,KPMP_uS-X001Y007_Annotations
False Negative,494557,1,KPMP_uS-X001Y008_Annotations
False Positive,309819,1,KPMP_uS-X001Y008_Annotations
True Negative,923335,1,KPMP_uS-X001Y008_Annotations
True Positive,345889,1,KPMP_uS-X001Y008_Annotations
False Negative,341711,2,KPMP_uS-X001Y008_Annotations
False Positive,122721,2,KPMP_uS-X001Y008_Annotations
True Negative,1029619,2,KPMP_uS-X001Y008_Annotations
True Positive,579549,2,KPMP_uS-X001Y008_Annotations
False Negative,25336,3,KPMP_uS-X001Y008_Annotations
False Positive,489032,3,KPMP_uS-X001Y008_Annotations
True Negative,1458512,3,KPMP_uS-X001Y008_Annotations
True Positive,100720,3,KPMP_uS-X001Y008_Annotations
False Negative,83029,4,KPMP_uS-X001Y008_Annotations
False Positive,23061,4,KPMP_uS-X001Y008_Annotations
True Negative,1864701,4,KPMP_uS-X001Y008_Annotations
True Positive,102809,4,KPMP_uS-X001Y008_Annotations
False Negative,643037,1,KPMP_uS-X001Y009_Annotations
False Positive,295799,1,KPMP_uS-X001Y009_Annotations
True Negative,946080,1,KPMP_uS-X001Y009_Annotations
True Positive,188684,1,KPMP_uS-X001Y009_Annotations
False Negative,492807,2,KPMP_uS-X001Y009_Annotations
