Counts,Freq,Cluster,Image
False Negative,683484,1,KPMP_uS-X001Y006_Annotations
False Positive,186623,1,KPMP_uS-X001Y006_Annotations
True Negative,791645,1,KPMP_uS-X001Y006_Annotations
True Positive,411848,1,KPMP_uS-X001Y006_Annotations
False Negative,383075,2,KPMP_uS-X001Y006_Annotations
False Positive,48174,2,KPMP_uS-X001Y006_Annotations
True Negative,1382195,2,KPMP_uS-X001Y006_Annotations
True Positive,260156,2,KPMP_uS-X001Y006_Annotations
False Negative,117716,3,KPMP_uS-X001Y006_Annotations
False Positive,415534,3,KPMP_uS-X001Y006_Annotations
True Negative,1497532,3,KPMP_uS-X001Y006_Annotations
True Positive,42818,3,KPMP_uS-X001Y006_Annotations
False Negative,141541,4,KPMP_uS-X001Y006_Annotations
False Positive,461381,4,KPMP_uS-X001Y006_Annotations
True Negative,1457552,4,KPMP_uS-X001Y006_Annotations
True Positive,13126,4,KPMP_uS-X001Y006_Annotations
False Negative,5967,5,KPMP_uS-X001Y006_Annotations
False Positive,220071,5,KPMP_uS-X001Y006_Annotations
True Negative,1833693,5,KPMP_uS-X001Y006_Annotations
True Positive,13869,5,KPMP_uS-X001Y006_Annotations
False Negative,383106,1,KPMP_uS-X001Y007_Annotations
False Positive,422157,1,KPMP_uS-X001Y007_Annotations
True Negative,933367,1,KPMP_uS-X001Y007_Annotations
True Positive,334970,1,KPMP_uS-X001Y007_Annotations
False Negative,542258,2,KPMP_uS-X001Y007_Annotations
False Positive,49951,2,KPMP_uS-X001Y007_Annotations
True Negative,716895,2,KPMP_uS-X001Y007_Annotations
True Positive,764496,2,KPMP_uS-X001Y007_Annotations
False Negative,9745,3,KPMP_uS-X001Y007_Annotations
False Positive,463001,3,KPMP_uS-X001Y007_Annotations
True Negative,1561829,3,KPMP_uS-X001Y007_Annotations
True Positive,39025,3,KPMP_uS-X001Y007_Annotations
False Negative,486931,1,KPMP_uS-X001Y008_Annotations
False Positive,322510,1,KPMP_uS-X001Y008_Annotations
True Negative,910644,1,KPMP_uS-X001Y008_Annotations
True Positive,353515,1,KPMP_uS-X001Y008_Annotations
False Negative,353851,2,KPMP_uS-X001Y008_Annotations
False Positive,149430,2,KPMP_uS-X001Y008_Annotations
True Negative,1002910,2,KPMP_uS-X001Y008_Annotations
