Counts,Freq,Cluster,Image
False Negative,1062603,1,KPMP_uS-X001Y006_Annotations
False Positive,307224,1,KPMP_uS-X001Y006_Annotations
True Negative,671044,1,KPMP_uS-X001Y006_Annotations
True Positive,32729,1,KPMP_uS-X001Y006_Annotations
False Negative,532829,2,KPMP_uS-X001Y006_Annotations
False Positive,477361,2,KPMP_uS-X001Y006_Annotations
True Negative,953008,2,KPMP_uS-X001Y006_Annotations
True Positive,110402,2,KPMP_uS-X001Y006_Annotations
False Negative,139792,3,KPMP_uS-X001Y006_Annotations
False Positive,201254,3,KPMP_uS-X001Y006_Annotations
True Negative,1711812,3,KPMP_uS-X001Y006_Annotations
True Positive,20742,3,KPMP_uS-X001Y006_Annotations
False Negative,141088,4,KPMP_uS-X001Y006_Annotations
False Positive,468255,4,KPMP_uS-X001Y006_Annotations
True Negative,1450678,4,KPMP_uS-X001Y006_Annotations
True Positive,13579,4,KPMP_uS-X001Y006_Annotations
False Negative,14304,5,KPMP_uS-X001Y006_Annotations
False Positive,436522,5,KPMP_uS-X001Y006_Annotations
True Negative,1617242,5,KPMP_uS-X001Y006_Annotations
True Positive,5532,5,KPMP_uS-X001Y006_Annotations
False Negative,665451,1,KPMP_uS-X001Y007_Annotations
False Positive,794606,1,KPMP_uS-X001Y007_Annotations
True Negative,560918,1,KPMP_uS-X001Y007_Annotations
True Positive,52625,1,KPMP_uS-X001Y007_Annotations
False Negative,1193768,2,KPMP_uS-X001Y007_Annotations
False Positive,351037,2,KPMP_uS-X001Y007_Annotations
True Negative,415809,2,KPMP_uS-X001Y007_Annotations
True Positive,112986,2,KPMP_uS-X001Y007_Annotations
False Negative,42329,3,KPMP_uS-X001Y007_Annotations
False Positive,755905,3,KPMP_uS-X001Y007_Annotations
True Negative,1268925,3,KPMP_uS-X001Y007_Annotations
True Positive,6441,3,KPMP_uS-X001Y007_Annotations
False Negative,699608,1,KPMP_uS-X001Y008_Annotations
False Positive,578826,1,KPMP_uS-X001Y008_Annotations
True Negative,654328,1,KPMP_uS-X001Y008_Annotations
True Positive,140838,1,KPMP_uS-X001Y008_Annotations
False Negative,658104,2,KPMP_uS-X001Y008_Annotations
False Positive,387231,2,KPMP_uS-X001Y008_Annotations
True Negative,765109,2,KPMP_uS-X001Y008_Annotations
True Positive,263156,2,KPMP_uS-X001Y008_Annotations
False Negative,115629,3,KPMP_uS-X001Y008_Annotations
False Positive,141313,3,KPMP_uS-X001Y008_Annotations
True Negative,1806231,3,KPMP_uS-X001Y008_Annotations
True Positive,10427,3,KPMP_uS-X001Y008_Annotations
False Negative,133788,4,KPMP_uS-X001Y008_Annotations
False Positive,499759,4,KPMP_uS-X001Y008_Annotations
True Negative,1388003,4,KPMP_uS-X001Y008_Annotations
True Positive,52050,4,KPMP_uS-X001Y008_Annotations
False Negative,775011,1,KPMP_uS-X001Y009_Annotations
False Positive,322240,1,KPMP_uS-X001Y009_Annotations
True Negative,919639,1,KPMP_uS-X001Y009_Annotations
True Positive,56710,1,KPMP_uS-X001Y009_Annotations
False Negative,567027,2,KPMP_uS-X001Y009_Annotations
False Positive,246052,2,KPMP_uS-X001Y009_Annotations
True Negative,1039349,2,KPMP_uS-X001Y009_Annotations
True Positive,221172,2,KPMP_uS-X001Y009_Annotations
False Negative,86074,3,KPMP_uS-X001Y009_Annotations
False Positive,70823,3,KPMP_uS-X001Y009_Annotations
True Negative,1914770,3,KPMP_uS-X001Y009_Annotations
True Positive,1933,3,KPMP_uS-X001Y009_Annotations
False Negative,103486,4,KPMP_uS-X001Y009_Annotations
False Positive,511515,4,KPMP_uS-X001Y009_Annotations
True Negative,1427089,4,KPMP_uS-X001Y009_Annotations
True Positive,31510,4,KPMP_uS-X001Y009_Annotations
False Negative,16153,5,KPMP_uS-X001Y009_Annotations
False Positive,340753,5,KPMP_uS-X001Y009_Annotations
True Negative,1716086,5,KPMP_uS-X001Y009_Annotations
True Positive,608,5,KPMP_uS-X001Y009_Annotations
False Negative,19720,6,KPMP_uS-X001Y009_Annotations
False Positive,76088,6,KPMP_uS-X001Y009_Annotations
True Negative,1783596,6,KPMP_uS-X001Y009_Annotations
True Positive,194196,6,KPMP_uS-X001Y009_Annotations
False Negative,757343,1,KPMP_uS-X001Y010_Annotations
False Positive,341265,1,KPMP_uS-X001Y010_Annotations
True Negative,919829,1,KPMP_uS-X001Y010_Annotations
True Positive,55163,1,KPMP_uS-X001Y010_Annotations
False Negative,617377,2,KPMP_uS-X001Y010_Annotations
False Positive,159888,2,KPMP_uS-X001Y010_Annotations
True Negative,1281605,2,KPMP_uS-X001Y010_Annotations
True Positive,14730,2,KPMP_uS-X001Y010_Annotations
False Negative,76222,3,KPMP_uS-X001Y010_Annotations
False Positive,431526,3,KPMP_uS-X001Y010_Annotations
True Negative,1501956,3,KPMP_uS-X001Y010_Annotations
True Positive,63896,3,KPMP_uS-X001Y010_Annotations
False Negative,6540,4,KPMP_uS-X001Y010_Annotations
False Positive,484450,4,KPMP_uS-X001Y010_Annotations
True Negative,1581812,4,KPMP_uS-X001Y010_Annotations
True Positive,798,4,KPMP_uS-X001Y010_Annotations
False Negative,8823,5,KPMP_uS-X001Y010_Annotations
False Positive,49176,5,KPMP_uS-X001Y010_Annotations
True Negative,1542893,5,KPMP_uS-X001Y010_Annotations
True Positive,472708,5,KPMP_uS-X001Y010_Annotations
False Negative,807696,1,KPMP_uS-X002Y005_Annotations
