Counts,Freq,Cluster,Image
False Negative,421725,1,KPMP_uS-X001Y006_Annotations
False Positive,340442,1,KPMP_uS-X001Y006_Annotations
True Negative,637817,1,KPMP_uS-X001Y006_Annotations
True Positive,672536,1,KPMP_uS-X001Y006_Annotations
False Negative,232886,2,KPMP_uS-X001Y006_Annotations
False Positive,118663,2,KPMP_uS-X001Y006_Annotations
True Negative,1310635,2,KPMP_uS-X001Y006_Annotations
True Positive,410336,2,KPMP_uS-X001Y006_Annotations
False Negative,144920,3,KPMP_uS-X001Y006_Annotations
False Positive,65783,3,KPMP_uS-X001Y006_Annotations
True Negative,1846203,3,KPMP_uS-X001Y006_Annotations
True Positive,15614,3,KPMP_uS-X001Y006_Annotations
False Negative,122328,4,KPMP_uS-X001Y006_Annotations
False Positive,246668,4,KPMP_uS-X001Y006_Annotations
True Negative,1671185,4,KPMP_uS-X001Y006_Annotations
True Positive,32339,4,KPMP_uS-X001Y006_Annotations
False Negative,7872,5,KPMP_uS-X001Y006_Annotations
False Positive,158175,5,KPMP_uS-X001Y006_Annotations
True Negative,1894509,5,KPMP_uS-X001Y006_Annotations
True Positive,11964,5,KPMP_uS-X001Y006_Annotations
False Negative,357002,1,KPMP_uS-X001Y007_Annotations
False Positive,542196,1,KPMP_uS-X001Y007_Annotations
True Negative,813327,1,KPMP_uS-X001Y007_Annotations
True Positive,359995,1,KPMP_uS-X001Y007_Annotations
False Negative,657418,2,KPMP_uS-X001Y007_Annotations
False Positive,27941,2,KPMP_uS-X001Y007_Annotations
True Negative,737826,2,KPMP_uS-X001Y007_Annotations
True Positive,649335,2,KPMP_uS-X001Y007_Annotations
False Negative,10004,3,KPMP_uS-X001Y007_Annotations
False Positive,454287,3,KPMP_uS-X001Y007_Annotations
True Negative,1569463,3,KPMP_uS-X001Y007_Annotations
True Positive,38766,3,KPMP_uS-X001Y007_Annotations
False Negative,330605,1,KPMP_uS-X001Y008_Annotations
False Positive,303489,1,KPMP_uS-X001Y008_Annotations
True Negative,929665,1,KPMP_uS-X001Y008_Annotations
True Positive,508761,1,KPMP_uS-X001Y008_Annotations
False Negative,447927,2,KPMP_uS-X001Y008_Annotations
False Positive,105329,2,KPMP_uS-X001Y008_Annotations
True Negative,1045931,2,KPMP_uS-X001Y008_Annotations
True Positive,473333,2,KPMP_uS-X001Y008_Annotations
False Negative,121009,3,KPMP_uS-X001Y008_Annotations
False Positive,422743,3,KPMP_uS-X001Y008_Annotations
True Negative,1523721,3,KPMP_uS-X001Y008_Annotations
True Positive,5047,3,KPMP_uS-X001Y008_Annotations
False Negative,59908,4,KPMP_uS-X001Y008_Annotations
False Positive,127888,4,KPMP_uS-X001Y008_Annotations
True Negative,1758794,4,KPMP_uS-X001Y008_Annotations
True Positive,125930,4,KPMP_uS-X001Y008_Annotations
False Negative,414545,1,KPMP_uS-X001Y009_Annotations
False Positive,545822,1,KPMP_uS-X001Y009_Annotations
True Negative,696055,1,KPMP_uS-X001Y009_Annotations
True Positive,416098,1,KPMP_uS-X001Y009_Annotations
False Negative,683638,2,KPMP_uS-X001Y009_Annotations
False Positive,18287,2,KPMP_uS-X001Y009_Annotations
True Negative,1266036,2,KPMP_uS-X001Y009_Annotations
True Positive,104559,2,KPMP_uS-X001Y009_Annotations
False Negative,68076,3,KPMP_uS-X001Y009_Annotations
False Positive,183802,3,KPMP_uS-X001Y009_Annotations
True Negative,1800711,3,KPMP_uS-X001Y009_Annotations
True Positive,19931,3,KPMP_uS-X001Y009_Annotations
False Negative,64845,4,KPMP_uS-X001Y009_Annotations
False Positive,280347,4,KPMP_uS-X001Y009_Annotations
True Negative,1657177,4,KPMP_uS-X001Y009_Annotations
True Positive,70151,4,KPMP_uS-X001Y009_Annotations
False Negative,6886,5,KPMP_uS-X001Y009_Annotations
False Positive,56330,5,KPMP_uS-X001Y009_Annotations
True Negative,1999429,5,KPMP_uS-X001Y009_Annotations
True Positive,9875,5,KPMP_uS-X001Y009_Annotations
False Negative,14589,6,KPMP_uS-X001Y009_Annotations
False Positive,167991,6,KPMP_uS-X001Y009_Annotations
True Negative,1690613,6,KPMP_uS-X001Y009_Annotations
True Positive,199327,6,KPMP_uS-X001Y009_Annotations
False Negative,400313,1,KPMP_uS-X001Y010_Annotations
False Positive,95827,1,KPMP_uS-X001Y010_Annotations
True Negative,1165256,1,KPMP_uS-X001Y010_Annotations
True Positive,411124,1,KPMP_uS-X001Y010_Annotations
False Negative,243372,2,KPMP_uS-X001Y010_Annotations
False Positive,116982,2,KPMP_uS-X001Y010_Annotations
True Negative,1323441,2,KPMP_uS-X001Y010_Annotations
True Positive,388725,2,KPMP_uS-X001Y010_Annotations
False Negative,96131,3,KPMP_uS-X001Y010_Annotations
False Positive,208188,3,KPMP_uS-X001Y010_Annotations
True Negative,1724214,3,KPMP_uS-X001Y010_Annotations
True Positive,43987,3,KPMP_uS-X001Y010_Annotations
False Negative,7338,4,KPMP_uS-X001Y010_Annotations
False Positive,252880,4,KPMP_uS-X001Y010_Annotations
True Negative,1812302,4,KPMP_uS-X001Y010_Annotations
False Negative,7302,5,KPMP_uS-X001Y010_Annotations
False Positive,80579,5,KPMP_uS-X001Y010_Annotations
True Negative,1510411,5,KPMP_uS-X001Y010_Annotations
True Positive,474228,5,KPMP_uS-X001Y010_Annotations
False Negative,350396,1,KPMP_uS-X002Y005_Annotations
False Positive,356820,1,KPMP_uS-X002Y005_Annotations
True Negative,672341,1,KPMP_uS-X002Y005_Annotations
True Positive,692963,1,KPMP_uS-X002Y005_Annotations
False Negative,499827,2,KPMP_uS-X002Y005_Annotations
False Positive,165577,2,KPMP_uS-X002Y005_Annotations
True Negative,998125,2,KPMP_uS-X002Y005_Annotations
True Positive,408991,2,KPMP_uS-X002Y005_Annotations
