Counts,Freq,Cluster,Image
False Negative,685153,1,KPMP_uS-X001Y006_Annotations
False Positive,187065,1,KPMP_uS-X001Y006_Annotations
True Negative,791203,1,KPMP_uS-X001Y006_Annotations
True Positive,410179,1,KPMP_uS-X001Y006_Annotations
False Negative,380780,2,KPMP_uS-X001Y006_Annotations
False Positive,47401,2,KPMP_uS-X001Y006_Annotations
True Negative,1382968,2,KPMP_uS-X001Y006_Annotations
True Positive,262451,2,KPMP_uS-X001Y006_Annotations
False Negative,116996,3,KPMP_uS-X001Y006_Annotations
False Positive,418883,3,KPMP_uS-X001Y006_Annotations
True Negative,1494183,3,KPMP_uS-X001Y006_Annotations
True Positive,43538,3,KPMP_uS-X001Y006_Annotations
False Negative,142075,4,KPMP_uS-X001Y006_Annotations
False Positive,449679,4,KPMP_uS-X001Y006_Annotations
True Negative,1469254,4,KPMP_uS-X001Y006_Annotations
True Positive,12592,4,KPMP_uS-X001Y006_Annotations
False Negative,5548,5,KPMP_uS-X001Y006_Annotations
False Positive,227524,5,KPMP_uS-X001Y006_Annotations
True Negative,1826240,5,KPMP_uS-X001Y006_Annotations
True Positive,14288,5,KPMP_uS-X001Y006_Annotations
False Negative,397593,1,KPMP_uS-X001Y007_Annotations
False Positive,417452,1,KPMP_uS-X001Y007_Annotations
True Negative,938072,1,KPMP_uS-X001Y007_Annotations
True Positive,320483,1,KPMP_uS-X001Y007_Annotations
False Negative,544837,2,KPMP_uS-X001Y007_Annotations
False Positive,47110,2,KPMP_uS-X001Y007_Annotations
True Negative,719736,2,KPMP_uS-X001Y007_Annotations
True Positive,761917,2,KPMP_uS-X001Y007_Annotations
False Negative,9469,3,KPMP_uS-X001Y007_Annotations
False Positive,487337,3,KPMP_uS-X001Y007_Annotations
True Negative,1537493,3,KPMP_uS-X001Y007_Annotations
True Positive,39301,3,KPMP_uS-X001Y007_Annotations
False Negative,492970,1,KPMP_uS-X001Y008_Annotations
False Positive,317627,1,KPMP_uS-X001Y008_Annotations
True Negative,915527,1,KPMP_uS-X001Y008_Annotations
True Positive,347476,1,KPMP_uS-X001Y008_Annotations
False Negative,355688,2,KPMP_uS-X001Y008_Annotations
False Positive,146485,2,KPMP_uS-X001Y008_Annotations
True Negative,1005855,2,KPMP_uS-X001Y008_Annotations
True Positive,565572,2,KPMP_uS-X001Y008_Annotations
False Negative,39767,3,KPMP_uS-X001Y008_Annotations
False Positive,466818,3,KPMP_uS-X001Y008_Annotations
True Negative,1480726,3,KPMP_uS-X001Y008_Annotations
True Positive,86289,3,KPMP_uS-X001Y008_Annotations
False Negative,82535,4,KPMP_uS-X001Y008_Annotations
False Positive,40030,4,KPMP_uS-X001Y008_Annotations
True Negative,1847732,4,KPMP_uS-X001Y008_Annotations
True Positive,103303,4,KPMP_uS-X001Y008_Annotations
False Negative,523915,1,KPMP_uS-X001Y009_Annotations
False Positive,236278,1,KPMP_uS-X001Y009_Annotations
True Negative,1005601,1,KPMP_uS-X001Y009_Annotations
True Positive,307806,1,KPMP_uS-X001Y009_Annotations
False Negative,500986,2,KPMP_uS-X001Y009_Annotations
False Positive,77780,2,KPMP_uS-X001Y009_Annotations
True Negative,1207621,2,KPMP_uS-X001Y009_Annotations
True Positive,287213,2,KPMP_uS-X001Y009_Annotations
False Negative,60682,3,KPMP_uS-X001Y009_Annotations
False Positive,444688,3,KPMP_uS-X001Y009_Annotations
True Negative,1540905,3,KPMP_uS-X001Y009_Annotations
True Positive,27325,3,KPMP_uS-X001Y009_Annotations
False Negative,83488,4,KPMP_uS-X001Y009_Annotations
False Positive,309958,4,KPMP_uS-X001Y009_Annotations
True Negative,1628646,4,KPMP_uS-X001Y009_Annotations
True Positive,51508,4,KPMP_uS-X001Y009_Annotations
False Negative,796,5,KPMP_uS-X001Y009_Annotations
False Positive,52610,5,KPMP_uS-X001Y009_Annotations
True Negative,2004229,5,KPMP_uS-X001Y009_Annotations
True Positive,15965,5,KPMP_uS-X001Y009_Annotations
False Negative,22059,6,KPMP_uS-X001Y009_Annotations
False Positive,70612,6,KPMP_uS-X001Y009_Annotations
True Negative,1789072,6,KPMP_uS-X001Y009_Annotations
True Positive,191857,6,KPMP_uS-X001Y009_Annotations
False Negative,447661,1,KPMP_uS-X001Y010_Annotations
False Positive,147489,1,KPMP_uS-X001Y010_Annotations
True Negative,1113605,1,KPMP_uS-X001Y010_Annotations
True Positive,364845,1,KPMP_uS-X001Y010_Annotations
False Negative,322776,2,KPMP_uS-X001Y010_Annotations
False Positive,68496,2,KPMP_uS-X001Y010_Annotations
True Negative,1372997,2,KPMP_uS-X001Y010_Annotations
True Positive,309331,2,KPMP_uS-X001Y010_Annotations
False Negative,80745,3,KPMP_uS-X001Y010_Annotations
False Positive,417006,3,KPMP_uS-X001Y010_Annotations
True Negative,1516476,3,KPMP_uS-X001Y010_Annotations
True Positive,59373,3,KPMP_uS-X001Y010_Annotations
False Negative,761,4,KPMP_uS-X001Y010_Annotations
False Positive,191378,4,KPMP_uS-X001Y010_Annotations
True Negative,1874884,4,KPMP_uS-X001Y010_Annotations
True Positive,6577,4,KPMP_uS-X001Y010_Annotations
False Negative,11092,5,KPMP_uS-X001Y010_Annotations
False Positive,38666,5,KPMP_uS-X001Y010_Annotations
True Negative,1553403,5,KPMP_uS-X001Y010_Annotations
True Positive,470439,5,KPMP_uS-X001Y010_Annotations
False Negative,781166,1,KPMP_uS-X002Y005_Annotations
False Positive,105274,1,KPMP_uS-X002Y005_Annotations
True Negative,923887,1,KPMP_uS-X002Y005_Annotations
True Positive,263273,1,KPMP_uS-X002Y005_Annotations
False Negative,504926,2,KPMP_uS-X002Y005_Annotations
False Positive,206673,2,KPMP_uS-X002Y005_Annotations
True Negative,958109,2,KPMP_uS-X002Y005_Annotations
True Positive,403892,2,KPMP_uS-X002Y005_Annotations
False Negative,13757,3,KPMP_uS-X002Y005_Annotations
False Positive,767399,3,KPMP_uS-X002Y005_Annotations
True Negative,1267920,3,KPMP_uS-X002Y005_Annotations
True Positive,24524,3,KPMP_uS-X002Y005_Annotations
False Negative,6139,4,KPMP_uS-X002Y005_Annotations
False Positive,226642,4,KPMP_uS-X002Y005_Annotations
True Negative,1764896,4,KPMP_uS-X002Y005_Annotations
True Positive,75923,4,KPMP_uS-X002Y005_Annotations
False Negative,494391,1,KPMP_uS-X002Y006_Annotations
False Positive,164200,1,KPMP_uS-X002Y006_Annotations
True Negative,1052671,1,KPMP_uS-X002Y006_Annotations
True Positive,362338,1,KPMP_uS-X002Y006_Annotations
False Negative,163902,2,KPMP_uS-X002Y006_Annotations
False Positive,216738,2,KPMP_uS-X002Y006_Annotations
True Negative,1527927,2,KPMP_uS-X002Y006_Annotations
True Positive,165033,2,KPMP_uS-X002Y006_Annotations
False Negative,20793,3,KPMP_uS-X002Y006_Annotations
False Positive,397168,3,KPMP_uS-X002Y006_Annotations
True Negative,1632480,3,KPMP_uS-X002Y006_Annotations
True Positive,23159,3,KPMP_uS-X002Y006_Annotations
False Negative,230071,4,KPMP_uS-X002Y006_Annotations
False Positive,89420,4,KPMP_uS-X002Y006_Annotations
True Negative,1599899,4,KPMP_uS-X002Y006_Annotations
True Positive,154210,4,KPMP_uS-X002Y006_Annotations
False Negative,62032,5,KPMP_uS-X002Y006_Annotations
False Positive,103663,5,KPMP_uS-X002Y006_Annotations
True Negative,1510234,5,KPMP_uS-X002Y006_Annotations
True Positive,397671,5,KPMP_uS-X002Y006_Annotations
False Negative,661592,1,KPMP_uS-X002Y007_Annotations
False Positive,191408,1,KPMP_uS-X002Y007_Annotations
True Negative,712630,1,KPMP_uS-X002Y007_Annotations
True Positive,507970,1,KPMP_uS-X002Y007_Annotations
False Negative,174787,2,KPMP_uS-X002Y007_Annotations
False Positive,184711,2,KPMP_uS-X002Y007_Annotations
True Negative,1345919,2,KPMP_uS-X002Y007_Annotations
True Positive,368183,2,KPMP_uS-X002Y007_Annotations
False Negative,7054,3,KPMP_uS-X002Y007_Annotations
False Positive,505901,3,KPMP_uS-X002Y007_Annotations
True Negative,1533447,3,KPMP_uS-X002Y007_Annotations
True Positive,27198,3,KPMP_uS-X002Y007_Annotations
False Negative,162349,4,KPMP_uS-X002Y007_Annotations
False Positive,123762,4,KPMP_uS-X002Y007_Annotations
True Negative,1623022,4,KPMP_uS-X002Y007_Annotations
True Positive,164467,4,KPMP_uS-X002Y007_Annotations
False Negative,701322,1,KPMP_uS-X002Y008_Annotations
False Positive,165142,1,KPMP_uS-X002Y008_Annotations
True Negative,879380,1,KPMP_uS-X002Y008_Annotations
True Positive,327756,1,KPMP_uS-X002Y008_Annotations
False Negative,326180,2,KPMP_uS-X002Y008_Annotations
False Positive,153441,2,KPMP_uS-X002Y008_Annotations
True Negative,1079910,2,KPMP_uS-X002Y008_Annotations
True Positive,514069,2,KPMP_uS-X002Y008_Annotations
False Negative,124648,3,KPMP_uS-X002Y008_Annotations
False Positive,833567,3,KPMP_uS-X002Y008_Annotations
True Negative,1035760,3,KPMP_uS-X002Y008_Annotations
True Positive,79625,3,KPMP_uS-X002Y008_Annotations
False Negative,371103,1,KPMP_uS-X002Y009_Annotations
False Positive,274934,1,KPMP_uS-X002Y009_Annotations
True Negative,686501,1,KPMP_uS-X002Y009_Annotations
True Positive,741062,1,KPMP_uS-X002Y009_Annotations
False Negative,274934,2,KPMP_uS-X002Y009_Annotations
False Positive,371103,2,KPMP_uS-X002Y009_Annotations
True Negative,741062,2,KPMP_uS-X002Y009_Annotations
True Positive,686501,2,KPMP_uS-X002Y009_Annotations
False Negative,375762,1,KPMP_uS-X002Y010_Annotations
False Positive,384440,1,KPMP_uS-X002Y010_Annotations
True Negative,872974,1,KPMP_uS-X002Y010_Annotations
True Positive,440424,1,KPMP_uS-X002Y010_Annotations
False Negative,487802,2,KPMP_uS-X002Y010_Annotations
False Positive,90067,2,KPMP_uS-X002Y010_Annotations
True Negative,743165,2,KPMP_uS-X002Y010_Annotations
True Positive,752566,2,KPMP_uS-X002Y010_Annotations
False Negative,1698,3,KPMP_uS-X002Y010_Annotations
False Positive,390755,3,KPMP_uS-X002Y010_Annotations
True Negative,1665799,3,KPMP_uS-X002Y010_Annotations
True Positive,15348,3,KPMP_uS-X002Y010_Annotations
False Negative,211796,1,KPMP_uS-X002Y011_Annotations
False Positive,322081,1,KPMP_uS-X002Y011_Annotations
True Negative,965638,1,KPMP_uS-X002Y011_Annotations
True Positive,574085,1,KPMP_uS-X002Y011_Annotations
False Negative,322081,2,KPMP_uS-X002Y011_Annotations
False Positive,211796,2,KPMP_uS-X002Y011_Annotations
True Negative,574085,2,KPMP_uS-X002Y011_Annotations
True Positive,965638,2,KPMP_uS-X002Y011_Annotations
False Negative,239674,1,KPMP_uS-X002Y012_Annotations
False Positive,495242,1,KPMP_uS-X002Y012_Annotations
True Negative,1000728,1,KPMP_uS-X002Y012_Annotations
True Positive,337956,1,KPMP_uS-X002Y012_Annotations
False Negative,202761,2,KPMP_uS-X002Y012_Annotations
False Positive,184254,2,KPMP_uS-X002Y012_Annotations
True Negative,1087817,2,KPMP_uS-X002Y012_Annotations
True Positive,598768,2,KPMP_uS-X002Y012_Annotations
False Negative,385817,3,KPMP_uS-X002Y012_Annotations
False Positive,148756,3,KPMP_uS-X002Y012_Annotations
True Negative,1230403,3,KPMP_uS-X002Y012_Annotations
True Positive,308624,3,KPMP_uS-X002Y012_Annotations
False Negative,579842,1,KPMP_uS-X002Y013_Annotations
False Positive,154306,1,KPMP_uS-X002Y013_Annotations
True Negative,1005918,1,KPMP_uS-X002Y013_Annotations
True Positive,333534,1,KPMP_uS-X002Y013_Annotations
False Negative,483187,2,KPMP_uS-X002Y013_Annotations
False Positive,138148,2,KPMP_uS-X002Y013_Annotations
True Negative,847152,2,KPMP_uS-X002Y013_Annotations
True Positive,605113,2,KPMP_uS-X002Y013_Annotations
False Negative,33126,3,KPMP_uS-X002Y013_Annotations
False Positive,803701,3,KPMP_uS-X002Y013_Annotations
True Negative,1197975,3,KPMP_uS-X002Y013_Annotations
True Positive,38798,3,KPMP_uS-X002Y013_Annotations
False Negative,451408,1,KPMP_uS-X002Y014_Annotations
False Positive,421638,1,KPMP_uS-X002Y014_Annotations
True Negative,1142150,1,KPMP_uS-X002Y014_Annotations
True Positive,58404,1,KPMP_uS-X002Y014_Annotations
False Negative,8582,2,KPMP_uS-X002Y014_Annotations
False Positive,589297,2,KPMP_uS-X002Y014_Annotations
True Negative,1470098,2,KPMP_uS-X002Y014_Annotations
True Positive,5623,2,KPMP_uS-X002Y014_Annotations
False Negative,695333,3,KPMP_uS-X002Y014_Annotations
False Positive,27296,3,KPMP_uS-X002Y014_Annotations
True Negative,1027524,3,KPMP_uS-X002Y014_Annotations
True Positive,323447,3,KPMP_uS-X002Y014_Annotations
False Negative,347337,4,KPMP_uS-X002Y014_Annotations
False Positive,311248,4,KPMP_uS-X002Y014_Annotations
True Negative,1265029,4,KPMP_uS-X002Y014_Annotations
True Positive,149986,4,KPMP_uS-X002Y014_Annotations
False Negative,11347,5,KPMP_uS-X002Y014_Annotations
False Positive,164528,5,KPMP_uS-X002Y014_Annotations
True Negative,1875592,5,KPMP_uS-X002Y014_Annotations
True Positive,22133,5,KPMP_uS-X002Y014_Annotations
False Negative,485150,1,KPMP_uS-X002Y015_Annotations
False Positive,233570,1,KPMP_uS-X002Y015_Annotations
True Negative,1094287,1,KPMP_uS-X002Y015_Annotations
True Positive,260593,1,KPMP_uS-X002Y015_Annotations
False Negative,89430,2,KPMP_uS-X002Y015_Annotations
False Positive,423966,2,KPMP_uS-X002Y015_Annotations
True Negative,1543648,2,KPMP_uS-X002Y015_Annotations
True Positive,16556,2,KPMP_uS-X002Y015_Annotations
False Negative,602852,3,KPMP_uS-X002Y015_Annotations
False Positive,56556,3,KPMP_uS-X002Y015_Annotations
True Negative,1114097,3,KPMP_uS-X002Y015_Annotations
