Counts,Freq,Cluster,Image
False Negative,362292,1,tile_4
True Negative,8739,1,tile_4
True Positive,628969,1,tile_4
False Positive,362292,2,tile_4
True Negative,628969,2,tile_4
True Positive,8739,2,tile_4
False Negative,347235,1,tile_5
False Positive,9,1,tile_5
True Negative,18968,1,tile_5
True Positive,633788,1,tile_5
False Negative,9,2,tile_5
False Positive,347235,2,tile_5
True Negative,633788,2,tile_5
True Positive,18968,2,tile_5
False Negative,128675,1,tile_14
False Positive,411,1,tile_14
True Negative,9281,1,tile_14
True Positive,861633,1,tile_14
False Negative,411,2,tile_14
False Positive,128675,2,tile_14
True Negative,861633,2,tile_14
True Positive,9281,2,tile_14
False Negative,536915,1,tile_15
False Positive,2736,1,tile_15
True Negative,255252,1,tile_15
True Positive,205097,1,tile_15
False Negative,2736,2,tile_15
False Positive,536915,2,tile_15
True Negative,205097,2,tile_15
True Positive,255252,2,tile_15
False Negative,182415,1,tile_16
False Positive,20102,1,tile_16
True Negative,718437,1,tile_16
True Positive,79046,1,tile_16
False Negative,20102,2,tile_16
False Positive,182415,2,tile_16
True Negative,79046,2,tile_16
True Positive,718437,2,tile_16
False Negative,759498,1,tile_17
True Negative,21166,1,tile_17
True Positive,219336,1,tile_17
False Positive,759498,2,tile_17
True Negative,219336,2,tile_17
True Positive,21166,2,tile_17
False Negative,625840,1,tile_26
False Positive,283,1,tile_26
True Negative,117346,1,tile_26
True Positive,256531,1,tile_26
False Negative,283,2,tile_26
False Positive,625840,2,tile_26
True Negative,256531,2,tile_26
True Positive,117346,2,tile_26
False Negative,445631,1,tile_27
False Positive,2173,1,tile_27
True Negative,504621,1,tile_27
True Positive,47575,1,tile_27
False Negative,2173,2,tile_27
False Positive,445631,2,tile_27
True Negative,47575,2,tile_27
True Positive,504621,2,tile_27
False Negative,835347,1,tile_28
False Positive,2,1,tile_28
True Negative,40808,1,tile_28
True Positive,123843,1,tile_28
False Negative,2,2,tile_28
False Positive,835347,2,tile_28
True Negative,123843,2,tile_28
True Positive,40808,2,tile_28
False Negative,448919,1,tile_37
False Positive,6677,1,tile_37
True Negative,344800,1,tile_37
True Positive,199604,1,tile_37
