Counts,Freq,Cluster,Image
False Negative,461678,1,tile_4
True Negative,8739,1,tile_4
True Positive,529583,1,tile_4
False Positive,461678,2,tile_4
True Negative,529583,2,tile_4
True Positive,8739,2,tile_4
False Negative,545473,1,tile_5
True Negative,18977,1,tile_5
True Positive,435550,1,tile_5
False Positive,545473,2,tile_5
True Negative,435550,2,tile_5
True Positive,18977,2,tile_5
False Negative,420442,1,tile_14
False Positive,5,1,tile_14
True Negative,9687,1,tile_14
True Positive,569866,1,tile_14
False Negative,5,2,tile_14
False Positive,420442,2,tile_14
True Negative,569866,2,tile_14
True Positive,9687,2,tile_14
False Negative,124496,1,tile_15
False Positive,18715,1,tile_15
True Negative,239273,1,tile_15
True Positive,617516,1,tile_15
False Negative,18715,2,tile_15
False Positive,124496,2,tile_15
True Negative,617516,2,tile_15
True Positive,239273,2,tile_15
False Negative,56309,1,tile_16
False Positive,130780,1,tile_16
True Negative,607759,1,tile_16
True Positive,205152,1,tile_16
False Negative,130780,2,tile_16
False Positive,56309,2,tile_16
True Negative,205152,2,tile_16
True Positive,607759,2,tile_16
False Negative,615598,1,tile_17
True Negative,21166,1,tile_17
True Positive,363236,1,tile_17
False Positive,615598,2,tile_17
True Negative,363236,2,tile_17
True Positive,21166,2,tile_17
False Negative,593801,1,tile_26
False Positive,422,1,tile_26
True Negative,117207,1,tile_26
True Positive,288570,1,tile_26
False Negative,422,2,tile_26
False Positive,593801,2,tile_26
True Negative,288570,2,tile_26
True Positive,117207,2,tile_26
False Negative,87576,1,tile_27
False Positive,64895,1,tile_27
True Negative,441899,1,tile_27
True Positive,405630,1,tile_27
False Negative,64895,2,tile_27
False Positive,87576,2,tile_27
True Negative,405630,2,tile_27
True Positive,441899,2,tile_27
False Negative,545255,1,tile_28
False Positive,987,1,tile_28
True Negative,39823,1,tile_28
True Positive,413935,1,tile_28
False Negative,987,2,tile_28
False Positive,545255,2,tile_28
True Negative,413935,2,tile_28
True Positive,39823,2,tile_28
False Negative,38275,1,tile_37
False Positive,71739,1,tile_37
True Negative,279738,1,tile_37
True Positive,610248,1,tile_37
False Negative,71739,2,tile_37
False Positive,38275,2,tile_37
True Negative,610248,2,tile_37
True Positive,279738,2,tile_37
False Negative,117,1,tile_38
False Positive,269506,1,tile_38
True Negative,698712,1,tile_38
True Positive,31665,1,tile_38
False Negative,269506,2,tile_38
False Positive,117,2,tile_38
True Negative,31665,2,tile_38
True Positive,698712,2,tile_38
False Negative,9941,1,tile_39
False Positive,99431,1,tile_39
True Negative,689724,1,tile_39
True Positive,200904,1,tile_39
False Negative,99431,2,tile_39
False Positive,9941,2,tile_39
True Negative,200904,2,tile_39
True Positive,689724,2,tile_39
False Negative,434617,1,tile_40
False Positive,24,1,tile_40
True Negative,26907,1,tile_40
True Positive,538452,1,tile_40
False Negative,24,2,tile_40
False Positive,434617,2,tile_40
True Negative,538452,2,tile_40
True Positive,26907,2,tile_40
False Negative,33336,1,tile_49
False Positive,124658,1,tile_49
True Negative,560792,1,tile_49
True Positive,281214,1,tile_49
False Negative,124658,2,tile_49
False Positive,33336,2,tile_49
True Negative,281214,2,tile_49
True Positive,560792,2,tile_49
False Negative,78120,1,tile_50
False Positive,55284,1,tile_50
True Negative,594853,1,tile_50
True Positive,271743,1,tile_50
False Negative,55284,2,tile_50
False Positive,78120,2,tile_50
True Negative,271743,2,tile_50
True Positive,594853,2,tile_50
False Negative,48929,1,tile_51
False Positive,39125,1,tile_51
True Negative,258658,1,tile_51
True Positive,653288,1,tile_51
False Negative,39125,2,tile_51
False Positive,48929,2,tile_51
True Negative,653288,2,tile_51
True Positive,258658,2,tile_51
False Negative,95422,1,tile_60
False Positive,37455,1,tile_60
True Negative,220293,1,tile_60
True Positive,646830,1,tile_60
False Negative,37455,2,tile_60
False Positive,95422,2,tile_60
True Negative,646830,2,tile_60
True Positive,220293,2,tile_60
False Negative,61631,1,tile_61
False Positive,68894,1,tile_61
True Negative,380715,1,tile_61
True Positive,488760,1,tile_61
False Negative,68894,2,tile_61
False Positive,61631,2,tile_61
True Negative,488760,2,tile_61
True Positive,380715,2,tile_61
False Negative,555264,1,tile_71
False Positive,471,1,tile_71
True Negative,77472,1,tile_71
True Positive,366793,1,tile_71
