Counts,Freq,Cluster,Image
False Negative,463485,1,tile_4
True Negative,8739,1,tile_4
True Positive,525777,1,tile_4
False Positive,463485,2,tile_4
True Negative,525777,2,tile_4
True Positive,8739,2,tile_4
False Negative,525733,1,tile_5
True Negative,18977,1,tile_5
True Positive,453291,1,tile_5
False Positive,525733,2,tile_5
True Negative,453291,2,tile_5
True Positive,18977,2,tile_5
False Negative,334859,1,tile_14
False Positive,28,1,tile_14
True Negative,9664,1,tile_14
True Positive,653450,1,tile_14
False Negative,28,2,tile_14
False Positive,334859,2,tile_14
True Negative,653450,2,tile_14
True Positive,9664,2,tile_14
False Negative,303483,1,tile_15
False Positive,8561,1,tile_15
True Negative,249366,1,tile_15
True Positive,436591,1,tile_15
False Negative,8561,2,tile_15
False Positive,303483,2,tile_15
True Negative,436591,2,tile_15
True Positive,249366,2,tile_15
False Negative,54294,1,tile_16
False Positive,142815,1,tile_16
True Negative,594678,1,tile_16
True Positive,206214,1,tile_16
False Negative,142815,2,tile_16
False Positive,54294,2,tile_16
True Negative,206214,2,tile_16
True Positive,594678,2,tile_16
False Negative,644772,1,tile_17
True Negative,21166,1,tile_17
True Positive,332063,1,tile_17
False Positive,644772,2,tile_17
True Negative,332063,2,tile_17
True Positive,21166,2,tile_17
False Negative,488466,1,tile_26
False Positive,828,1,tile_26
True Negative,116656,1,tile_26
True Positive,392051,1,tile_26
False Negative,828,2,tile_26
False Positive,488466,2,tile_26
True Negative,392051,2,tile_26
True Positive,116656,2,tile_26
False Negative,107798,1,tile_27
False Positive,51809,1,tile_27
True Negative,453972,1,tile_27
True Positive,384422,1,tile_27
False Negative,51809,2,tile_27
False Positive,107798,2,tile_27
True Negative,384422,2,tile_27
True Positive,453972,2,tile_27
False Negative,543976,1,tile_28
False Positive,813,1,tile_28
True Negative,39656,1,tile_28
True Positive,413556,1,tile_28
False Negative,813,2,tile_28
False Positive,543976,2,tile_28
True Negative,413556,2,tile_28
True Positive,39656,2,tile_28
False Negative,61969,1,tile_37
False Positive,60415,1,tile_37
True Negative,290821,1,tile_37
