Counts,Freq,Cluster,Image
False Negative,464758,1,tile_4
True Negative,8739,1,tile_4
True Positive,526503,1,tile_4
False Positive,464758,2,tile_4
True Negative,526503,2,tile_4
True Positive,8739,2,tile_4
False Negative,527354,1,tile_5
True Negative,18977,1,tile_5
True Positive,453669,1,tile_5
False Positive,527354,2,tile_5
True Negative,453669,2,tile_5
True Positive,18977,2,tile_5
False Negative,335834,1,tile_14
False Positive,30,1,tile_14
True Negative,9662,1,tile_14
True Positive,654474,1,tile_14
False Negative,30,2,tile_14
False Positive,335834,2,tile_14
True Negative,654474,2,tile_14
True Positive,9662,2,tile_14
False Negative,304535,1,tile_15
False Positive,8495,1,tile_15
True Negative,249493,1,tile_15
True Positive,437477,1,tile_15
False Negative,8495,2,tile_15
False Positive,304535,2,tile_15
True Negative,437477,2,tile_15
True Positive,249493,2,tile_15
False Negative,54833,1,tile_16
False Positive,143245,1,tile_16
True Negative,595294,1,tile_16
True Positive,206628,1,tile_16
False Negative,143245,2,tile_16
False Positive,54833,2,tile_16
True Negative,206628,2,tile_16
True Positive,595294,2,tile_16
False Negative,642662,1,tile_17
True Negative,21166,1,tile_17
True Positive,336172,1,tile_17
False Positive,642662,2,tile_17
True Negative,336172,2,tile_17
True Positive,21166,2,tile_17
False Negative,488797,1,tile_26
False Positive,828,1,tile_26
True Negative,116801,1,tile_26
True Positive,393574,1,tile_26
False Negative,828,2,tile_26
False Positive,488797,2,tile_26
True Negative,393574,2,tile_26
True Positive,116801,2,tile_26
False Negative,108264,1,tile_27
False Positive,52107,1,tile_27
True Negative,454687,1,tile_27
True Positive,384942,1,tile_27
False Negative,52107,2,tile_27
False Positive,108264,2,tile_27
True Negative,384942,2,tile_27
True Positive,454687,2,tile_27
False Negative,545196,1,tile_28
False Positive,945,1,tile_28
True Negative,39865,1,tile_28
True Positive,413994,1,tile_28
False Negative,945,2,tile_28
False Positive,545196,2,tile_28
True Negative,413994,2,tile_28
True Positive,39865,2,tile_28
False Negative,62597,1,tile_37
False Positive,60933,1,tile_37
True Negative,290544,1,tile_37
True Positive,585926,1,tile_37
False Negative,60933,2,tile_37
False Positive,62597,2,tile_37
True Negative,585926,2,tile_37
True Positive,290544,2,tile_37
False Negative,299,1,tile_38
False Positive,212091,1,tile_38
True Negative,756127,1,tile_38
True Positive,31483,1,tile_38
False Negative,212091,2,tile_38
False Positive,299,2,tile_38
True Negative,31483,2,tile_38
True Positive,756127,2,tile_38
False Negative,16831,1,tile_39
False Positive,71931,1,tile_39
True Negative,717224,1,tile_39
True Positive,194014,1,tile_39
False Negative,71931,2,tile_39
False Positive,16831,2,tile_39
True Negative,194014,2,tile_39
True Positive,717224,2,tile_39
False Negative,423313,1,tile_40
False Positive,27,1,tile_40
True Negative,26904,1,tile_40
True Positive,549756,1,tile_40
False Negative,27,2,tile_40
False Positive,423313,2,tile_40
True Negative,549756,2,tile_40
True Positive,26904,2,tile_40
False Negative,43919,1,tile_49
False Positive,93022,1,tile_49
True Negative,592428,1,tile_49
True Positive,270631,1,tile_49
False Negative,93022,2,tile_49
False Positive,43919,2,tile_49
True Negative,270631,2,tile_49
True Positive,592428,2,tile_49
False Negative,107881,1,tile_50
False Positive,35379,1,tile_50
True Negative,614758,1,tile_50
True Positive,241982,1,tile_50
False Negative,35379,2,tile_50
False Positive,107881,2,tile_50
True Negative,241982,2,tile_50
True Positive,614758,2,tile_50
False Negative,133458,1,tile_51
False Positive,27861,1,tile_51
True Negative,269922,1,tile_51
True Positive,568759,1,tile_51
False Negative,27861,2,tile_51
False Positive,133458,2,tile_51
True Negative,568759,2,tile_51
True Positive,269922,2,tile_51
False Negative,449998,1,tile_60
False Positive,6084,1,tile_60
True Negative,251664,1,tile_60
True Positive,292254,1,tile_60
False Negative,6084,2,tile_60
False Positive,449998,2,tile_60
True Negative,292254,2,tile_60
True Positive,251664,2,tile_60
False Negative,125561,1,tile_61
False Positive,40565,1,tile_61
True Negative,409044,1,tile_61
True Positive,424830,1,tile_61
False Negative,40565,2,tile_61
False Positive,125561,2,tile_61
True Negative,424830,2,tile_61
True Positive,409044,2,tile_61
False Negative,535912,1,tile_71
False Positive,539,1,tile_71
True Negative,77404,1,tile_71
True Positive,386145,1,tile_71
False Negative,539,2,tile_71
False Positive,535912,2,tile_71
True Negative,386145,2,tile_71
True Positive,77404,2,tile_71
False Negative,295092,1,tile_72
False Positive,7948,1,tile_72
True Negative,192819,1,tile_72
True Positive,504141,1,tile_72
False Negative,7948,2,tile_72
False Positive,295092,2,tile_72
True Negative,504141,2,tile_72
True Positive,192819,2,tile_72
False Negative,475824,1,tile_82
False Positive,703,1,tile_82
True Negative,36359,1,tile_82
True Positive,487114,1,tile_82
False Negative,703,2,tile_82
False Positive,475824,2,tile_82
True Negative,487114,2,tile_82
True Positive,36359,2,tile_82
False Negative,157373,1,tile_83
False Positive,42020,1,tile_83
True Negative,295074,1,tile_83
True Positive,505533,1,tile_83
False Negative,42020,2,tile_83
False Positive,157373,2,tile_83
True Negative,505533,2,tile_83
True Positive,295074,2,tile_83
False Negative,151894,1,tile_94
False Positive,14051,1,tile_94
True Negative,282220,1,tile_94
True Positive,551835,1,tile_94
False Negative,14051,2,tile_94
False Positive,151894,2,tile_94
True Negative,551835,2,tile_94
True Positive,282220,2,tile_94
False Negative,486929,1,tile_95
True Negative,54542,1,tile_95
True Positive,458529,1,tile_95
False Positive,486929,2,tile_95
True Negative,458529,2,tile_95
True Positive,54542,2,tile_95
False Negative,372989,1,tile_106
False Positive,339,1,tile_106
True Negative,12854,1,tile_106
True Positive,613818,1,tile_106
False Negative,339,2,tile_106
False Positive,372989,2,tile_106
True Negative,613818,2,tile_106
True Positive,12854,2,tile_106
