Counts,Freq,Cluster,Image
False Negative,464253,1,tile_4
True Negative,8739,1,tile_4
True Positive,527008,1,tile_4
False Positive,464253,2,tile_4
True Negative,527008,2,tile_4
True Positive,8739,2,tile_4
False Negative,521591,1,tile_5
True Negative,18977,1,tile_5
True Positive,459432,1,tile_5
False Positive,521591,2,tile_5
True Negative,459432,2,tile_5
True Positive,18977,2,tile_5
False Negative,346478,1,tile_14
False Positive,26,1,tile_14
True Negative,9666,1,tile_14
True Positive,643830,1,tile_14
False Negative,26,2,tile_14
False Positive,346478,2,tile_14
True Negative,643830,2,tile_14
True Positive,9666,2,tile_14
False Negative,307621,1,tile_15
False Positive,8026,1,tile_15
True Negative,249962,1,tile_15
True Positive,434391,1,tile_15
False Negative,8026,2,tile_15
False Positive,307621,2,tile_15
True Negative,434391,2,tile_15
True Positive,249962,2,tile_15
False Negative,51095,1,tile_16
False Positive,128136,1,tile_16
True Negative,610403,1,tile_16
True Positive,210366,1,tile_16
False Negative,128136,2,tile_16
False Positive,51095,2,tile_16
True Negative,210366,2,tile_16
True Positive,610403,2,tile_16
False Negative,648653,1,tile_17
True Negative,21166,1,tile_17
True Positive,330181,1,tile_17
False Positive,648653,2,tile_17
True Negative,330181,2,tile_17
True Positive,21166,2,tile_17
False Negative,508965,1,tile_26
False Positive,669,1,tile_26
True Negative,116960,1,tile_26
True Positive,373406,1,tile_26
False Negative,669,2,tile_26
False Positive,508965,2,tile_26
True Negative,373406,2,tile_26
True Positive,116960,2,tile_26
False Negative,117539,1,tile_27
False Positive,46340,1,tile_27
True Negative,460454,1,tile_27
True Positive,375667,1,tile_27
False Negative,46340,2,tile_27
False Positive,117539,2,tile_27
True Negative,375667,2,tile_27
True Positive,460454,2,tile_27
False Negative,589482,1,tile_28
False Positive,558,1,tile_28
True Negative,40252,1,tile_28
True Positive,369708,1,tile_28
False Negative,558,2,tile_28
False Positive,589482,2,tile_28
True Negative,369708,2,tile_28
True Positive,40252,2,tile_28
False Negative,66309,1,tile_37
False Positive,56760,1,tile_37
True Negative,294717,1,tile_37
True Positive,582214,1,tile_37
False Negative,56760,2,tile_37
False Positive,66309,2,tile_37
True Negative,582214,2,tile_37
True Positive,294717,2,tile_37
False Negative,306,1,tile_38
False Positive,205415,1,tile_38
True Negative,762803,1,tile_38
True Positive,31476,1,tile_38
False Negative,205415,2,tile_38
False Positive,306,2,tile_38
True Negative,31476,2,tile_38
True Positive,762803,2,tile_38
False Negative,17430,1,tile_39
False Positive,63258,1,tile_39
True Negative,725897,1,tile_39
True Positive,193415,1,tile_39
False Negative,63258,2,tile_39
False Positive,17430,2,tile_39
True Negative,193415,2,tile_39
True Positive,725897,2,tile_39
False Negative,432203,1,tile_40
False Positive,28,1,tile_40
True Negative,26903,1,tile_40
True Positive,540866,1,tile_40
False Negative,28,2,tile_40
False Positive,432203,2,tile_40
True Negative,540866,2,tile_40
True Positive,26903,2,tile_40
False Negative,45905,1,tile_49
