Counts,Freq,Cluster,Image
False Negative,526428,1,tile_4
False Positive,61,1,tile_4
True Negative,8678,1,tile_4
True Positive,463833,1,tile_4
False Negative,61,2,tile_4
False Positive,526428,2,tile_4
True Negative,463833,2,tile_4
True Positive,8678,2,tile_4
False Negative,311269,1,tile_5
False Positive,8,1,tile_5
True Negative,18969,1,tile_5
True Positive,668754,1,tile_5
False Negative,8,2,tile_5
False Positive,311269,2,tile_5
True Negative,668754,2,tile_5
True Positive,18969,2,tile_5
False Negative,986451,1,tile_14
False Positive,51,1,tile_14
True Negative,9641,1,tile_14
True Positive,2857,1,tile_14
False Negative,51,2,tile_14
False Positive,986451,2,tile_14
True Negative,2857,2,tile_14
True Positive,9641,2,tile_14
False Negative,740732,1,tile_15
False Positive,55,1,tile_15
True Negative,257872,1,tile_15
True Positive,341,1,tile_15
False Negative,55,2,tile_15
False Positive,740732,2,tile_15
True Negative,341,2,tile_15
True Positive,257872,2,tile_15
False Negative,73214,1,tile_16
False Positive,93346,1,tile_16
True Negative,644265,1,tile_16
True Positive,188175,1,tile_16
False Negative,93346,2,tile_16
False Positive,73214,2,tile_16
True Negative,188175,2,tile_16
True Positive,644265,2,tile_16
False Negative,337667,1,tile_17
True Negative,21166,1,tile_17
True Positive,640167,1,tile_17
False Positive,337667,2,tile_17
True Negative,640167,2,tile_17
True Positive,21166,2,tile_17
False Negative,202031,1,tile_26
False Positive,5625,1,tile_26
True Negative,112004,1,tile_26
True Positive,679340,1,tile_26
False Negative,5625,2,tile_26
False Positive,202031,2,tile_26
True Negative,679340,2,tile_26
True Positive,112004,2,tile_26
False Negative,26069,1,tile_27
False Positive,146353,1,tile_27
True Negative,360212,1,tile_27
True Positive,466366,1,tile_27
False Negative,146353,2,tile_27
False Positive,26069,2,tile_27
True Negative,466366,2,tile_27
True Positive,360212,2,tile_27
False Negative,659159,1,tile_28
False Positive,258,1,tile_28
True Negative,40345,1,tile_28
True Positive,299238,1,tile_28
False Negative,258,2,tile_28
False Positive,659159,2,tile_28
True Negative,299238,2,tile_28
True Positive,40345,2,tile_28
False Negative,316324,1,tile_37
False Positive,23259,1,tile_37
True Negative,328218,1,tile_37
True Positive,331199,1,tile_37
False Negative,23259,2,tile_37
False Positive,316324,2,tile_37
True Negative,331199,2,tile_37
True Positive,328218,2,tile_37
False Negative,1018,1,tile_38
False Positive,436721,1,tile_38
True Negative,530497,1,tile_38
True Positive,30764,1,tile_38
False Negative,436721,2,tile_38
False Positive,1018,2,tile_38
True Negative,30764,2,tile_38
True Positive,530497,2,tile_38
False Negative,10728,1,tile_39
False Positive,108022,1,tile_39
True Negative,680133,1,tile_39
True Positive,200117,1,tile_39
False Negative,108022,2,tile_39
False Positive,10728,2,tile_39
True Negative,200117,2,tile_39
True Positive,680133,2,tile_39
False Negative,972321,1,tile_40
True Negative,26673,1,tile_40
True Positive,6,1,tile_40
False Positive,972321,2,tile_40
True Negative,6,2,tile_40
True Positive,26673,2,tile_40
False Negative,46397,1,tile_49
False Positive,307781,1,tile_49
True Negative,377625,1,tile_49
True Positive,267197,1,tile_49
False Negative,307781,2,tile_49
False Positive,46397,2,tile_49
True Negative,267197,2,tile_49
True Positive,377625,2,tile_49
False Negative,349846,1,tile_50
True Negative,649154,1,tile_50
False Positive,349846,2,tile_50
True Positive,649154,2,tile_50
False Negative,701861,1,tile_51
True Negative,297139,1,tile_51
False Positive,701861,2,tile_51
True Positive,297139,2,tile_51
False Negative,82247,1,tile_60
False Positive,34941,1,tile_60
True Negative,222807,1,tile_60
True Positive,659005,1,tile_60
False Negative,34941,2,tile_60
False Positive,82247,2,tile_60
True Negative,659005,2,tile_60
True Positive,222807,2,tile_60
False Negative,224222,1,tile_61
False Positive,188685,1,tile_61
True Negative,260493,1,tile_61
True Positive,325600,1,tile_61
False Negative,188685,2,tile_61
False Positive,224222,2,tile_61
True Negative,325600,2,tile_61
True Positive,260493,2,tile_61
False Negative,372676,1,tile_71
False Positive,36837,1,tile_71
True Negative,41106,1,tile_71
True Positive,548381,1,tile_71
False Negative,36837,2,tile_71
False Positive,372676,2,tile_71
True Negative,548381,2,tile_71
True Positive,41106,2,tile_71
False Negative,376713,1,tile_72
False Positive,5339,1,tile_72
True Negative,195329,1,tile_72
True Positive,421619,1,tile_72
False Negative,5339,2,tile_72
False Positive,376713,2,tile_72
True Negative,421619,2,tile_72
True Positive,195329,2,tile_72
False Negative,570697,1,tile_82
False Positive,350,1,tile_82
True Negative,36712,1,tile_82
True Positive,391241,1,tile_82
False Negative,350,2,tile_82
False Positive,570697,2,tile_82
True Negative,391241,2,tile_82
True Positive,36712,2,tile_82
False Negative,313117,1,tile_83
False Positive,21552,1,tile_83
True Negative,315193,1,tile_83
True Positive,349138,1,tile_83
False Negative,21552,2,tile_83
False Positive,313117,2,tile_83
True Negative,349138,2,tile_83
True Positive,315193,2,tile_83
False Negative,379854,1,tile_94
False Positive,5635,1,tile_94
True Negative,290636,1,tile_94
True Positive,322875,1,tile_94
False Negative,5635,2,tile_94
False Positive,379854,2,tile_94
True Negative,322875,2,tile_94
True Positive,290636,2,tile_94
False Negative,944168,1,tile_95
True Negative,54130,1,tile_95
True Positive,702,1,tile_95
False Positive,944168,2,tile_95
True Negative,702,2,tile_95
True Positive,54130,2,tile_95
False Negative,398524,1,tile_106
False Positive,3066,1,tile_106
True Negative,10089,1,tile_106
True Positive,587321,1,tile_106
False Negative,3066,2,tile_106
False Positive,398524,2,tile_106
True Negative,587321,2,tile_106
True Positive,10089,2,tile_106
