Counts,Freq,Cluster,Image
False Negative,399785,1,tile_4
True Negative,8739,1,tile_4
True Positive,589477,1,tile_4
False Positive,399785,2,tile_4
True Negative,589477,2,tile_4
True Positive,8739,2,tile_4
False Negative,383236,1,tile_5
False Positive,7,1,tile_5
True Negative,18970,1,tile_5
True Positive,595788,1,tile_5
False Negative,7,2,tile_5
False Positive,383236,2,tile_5
True Negative,595788,2,tile_5
True Positive,18970,2,tile_5
False Negative,200818,1,tile_14
False Positive,280,1,tile_14
True Negative,9412,1,tile_14
True Positive,787491,1,tile_14
False Negative,280,2,tile_14
False Positive,200818,2,tile_14
True Negative,787491,2,tile_14
True Positive,9412,2,tile_14
False Negative,533096,1,tile_15
False Positive,2963,1,tile_15
True Negative,254964,1,tile_15
True Positive,206978,1,tile_15
False Negative,2963,2,tile_15
False Positive,533096,2,tile_15
True Negative,206978,2,tile_15
True Positive,254964,2,tile_15
False Negative,258233,1,tile_16
False Positive,4205,1,tile_16
True Negative,733288,1,tile_16
True Positive,2275,1,tile_16
False Negative,4205,2,tile_16
False Positive,258233,2,tile_16
True Negative,2275,2,tile_16
True Positive,733288,2,tile_16
False Negative,749072,1,tile_17
True Negative,21166,1,tile_17
True Positive,227763,1,tile_17
False Positive,749072,2,tile_17
True Negative,227763,2,tile_17
True Positive,21166,2,tile_17
False Negative,754501,1,tile_26
False Positive,6,1,tile_26
True Negative,117478,1,tile_26
True Positive,126016,1,tile_26
False Negative,6,2,tile_26
False Positive,754501,2,tile_26
True Negative,126016,2,tile_26
True Positive,117478,2,tile_26
False Negative,482987,1,tile_27
False Positive,330,1,tile_27
True Negative,505451,1,tile_27
True Positive,9233,1,tile_27
False Negative,330,2,tile_27
False Positive,482987,2,tile_27
True Negative,9233,2,tile_27
True Positive,505451,2,tile_27
False Negative,927529,1,tile_28
True Negative,40469,1,tile_28
True Positive,30003,1,tile_28
False Positive,927529,2,tile_28
True Negative,30003,2,tile_28
True Positive,40469,2,tile_28
False Negative,473518,1,tile_37
False Positive,7480,1,tile_37
True Negative,343756,1,tile_37
True Positive,173247,1,tile_37
False Negative,7480,2,tile_37
False Positive,473518,2,tile_37
True Negative,173247,2,tile_37
True Positive,343756,2,tile_37
False Negative,20989,1,tile_38
False Positive,1486,1,tile_38
True Negative,964733,1,tile_38
True Positive,10793,1,tile_38
False Negative,1486,2,tile_38
False Positive,20989,2,tile_38
True Negative,10793,2,tile_38
True Positive,964733,2,tile_38
False Negative,202959,1,tile_39
False Positive,1356,1,tile_39
True Negative,786437,1,tile_39
True Positive,7249,1,tile_39
False Negative,1356,2,tile_39
False Positive,202959,2,tile_39
True Negative,7249,2,tile_39
True Positive,786437,2,tile_39
False Negative,878219,1,tile_40
True Negative,26673,1,tile_40
True Positive,93109,1,tile_40
False Positive,878219,2,tile_40
True Negative,93109,2,tile_40
True Positive,26673,2,tile_40
False Negative,296453,1,tile_49
False Positive,3208,1,tile_49
True Negative,681199,1,tile_49
True Positive,17141,1,tile_49
False Negative,3208,2,tile_49
False Positive,296453,2,tile_49
True Negative,17141,2,tile_49
True Positive,681199,2,tile_49
False Negative,298639,1,tile_50
False Positive,1294,1,tile_50
True Negative,646891,1,tile_50
True Positive,51177,1,tile_50
False Negative,1294,2,tile_50
False Positive,298639,2,tile_50
True Negative,51177,2,tile_50
True Positive,646891,2,tile_50
False Negative,515437,1,tile_51
False Positive,4675,1,tile_51
True Negative,292248,1,tile_51
True Positive,185641,1,tile_51
False Negative,4675,2,tile_51
False Positive,515437,2,tile_51
True Negative,185641,2,tile_51
True Positive,292248,2,tile_51
False Negative,681535,1,tile_60
False Positive,615,1,tile_60
True Negative,256642,1,tile_60
True Positive,59209,1,tile_60
False Negative,615,2,tile_60
False Positive,681535,2,tile_60
True Negative,59209,2,tile_60
True Positive,256642,2,tile_60
False Negative,451893,1,tile_61
False Positive,1964,1,tile_61
True Negative,446951,1,tile_61
True Positive,97193,1,tile_61
False Negative,1964,2,tile_61
False Positive,451893,2,tile_61
True Negative,97193,2,tile_61
True Positive,446951,2,tile_61
False Negative,879526,1,tile_71
True Negative,77943,1,tile_71
True Positive,40532,1,tile_71
False Positive,879526,2,tile_71
True Negative,40532,2,tile_71
True Positive,77943,2,tile_71
False Negative,738853,1,tile_72
False Positive,729,1,tile_72
True Negative,199456,1,tile_72
True Positive,58963,1,tile_72
False Negative,729,2,tile_72
False Positive,738853,2,tile_72
True Negative,58963,2,tile_72
True Positive,199456,2,tile_72
False Negative,901491,1,tile_82
False Positive,89,1,tile_82
True Negative,36889,1,tile_82
True Positive,59532,1,tile_82
False Negative,89,2,tile_82
False Positive,901491,2,tile_82
True Negative,59532,2,tile_82
True Positive,36889,2,tile_82
False Negative,631619,1,tile_83
False Positive,1059,1,tile_83
True Negative,335517,1,tile_83
True Positive,29806,1,tile_83
False Negative,1059,2,tile_83
False Positive,631619,2,tile_83
True Negative,29806,2,tile_83
True Positive,335517,2,tile_83
False Negative,493229,1,tile_94
False Positive,2883,1,tile_94
True Negative,293021,1,tile_94
True Positive,208868,1,tile_94
False Negative,2883,2,tile_94
False Positive,493229,2,tile_94
True Negative,208868,2,tile_94
True Positive,293021,2,tile_94
False Negative,856623,1,tile_95
True Negative,54130,1,tile_95
True Positive,87248,1,tile_95
False Positive,856623,2,tile_95
True Negative,87248,2,tile_95
True Positive,54130,2,tile_95
False Negative,619035,1,tile_106
False Positive,120,1,tile_106
True Negative,12920,1,tile_106
True Positive,365926,1,tile_106
False Negative,120,2,tile_106
False Positive,619035,2,tile_106
True Negative,365926,2,tile_106
True Positive,12920,2,tile_106
