Counts,Freq,Cluster,Image
False Negative,462687,1,tile_4
True Negative,8739,1,tile_4
True Positive,526575,1,tile_4
False Positive,462687,2,tile_4
True Negative,526575,2,tile_4
True Positive,8739,2,tile_4
False Negative,524732,1,tile_5
True Negative,18977,1,tile_5
True Positive,454292,1,tile_5
False Positive,524732,2,tile_5
True Negative,454292,2,tile_5
True Positive,18977,2,tile_5
False Negative,333744,1,tile_14
False Positive,43,1,tile_14
True Negative,9649,1,tile_14
True Positive,654565,1,tile_14
False Negative,43,2,tile_14
False Positive,333744,2,tile_14
True Negative,654565,2,tile_14
True Positive,9649,2,tile_14
False Negative,304864,1,tile_15
False Positive,9113,1,tile_15
True Negative,248814,1,tile_15
True Positive,435210,1,tile_15
False Negative,9113,2,tile_15
False Positive,304864,2,tile_15
True Negative,435210,2,tile_15
True Positive,248814,2,tile_15
False Negative,54876,1,tile_16
False Positive,142722,1,tile_16
True Negative,594771,1,tile_16
True Positive,205632,1,tile_16
False Negative,142722,2,tile_16
False Positive,54876,2,tile_16
True Negative,205632,2,tile_16
True Positive,594771,2,tile_16
False Negative,639233,1,tile_17
False Positive,24,1,tile_17
True Negative,21142,1,tile_17
True Positive,337602,1,tile_17
False Negative,24,2,tile_17
False Positive,639233,2,tile_17
True Negative,337602,2,tile_17
True Positive,21142,2,tile_17
False Negative,486965,1,tile_26
False Positive,1055,1,tile_26
True Negative,116429,1,tile_26
True Positive,393552,1,tile_26
False Negative,1055,2,tile_26
False Positive,486965,2,tile_26
True Negative,393552,2,tile_26
True Positive,116429,2,tile_26
False Negative,108169,1,tile_27
False Positive,53867,1,tile_27
True Negative,451914,1,tile_27
True Positive,384051,1,tile_27
False Negative,53867,2,tile_27
False Positive,108169,2,tile_27
True Negative,384051,2,tile_27
True Positive,451914,2,tile_27
False Negative,549497,1,tile_28
False Positive,1145,1,tile_28
True Negative,39324,1,tile_28
True Positive,408035,1,tile_28
False Negative,1145,2,tile_28
False Positive,549497,2,tile_28
True Negative,408035,2,tile_28
True Positive,39324,2,tile_28
False Negative,56875,1,tile_37
False Positive,61878,1,tile_37
True Negative,289358,1,tile_37
True Positive,589890,1,tile_37
False Negative,61878,2,tile_37
False Positive,56875,2,tile_37
True Negative,589890,2,tile_37
True Positive,289358,2,tile_37
False Negative,278,1,tile_38
False Positive,214102,1,tile_38
True Negative,752117,1,tile_38
True Positive,31504,1,tile_38
False Negative,214102,2,tile_38
False Positive,278,2,tile_38
True Negative,31504,2,tile_38
True Positive,752117,2,tile_38
False Negative,15711,1,tile_39
False Positive,72170,1,tile_39
True Negative,715623,1,tile_39
True Positive,194497,1,tile_39
False Negative,72170,2,tile_39
False Positive,15711,2,tile_39
True Negative,194497,2,tile_39
True Positive,715623,2,tile_39
False Negative,422143,1,tile_40
False Positive,492,1,tile_40
True Negative,26181,1,tile_40
True Positive,549185,1,tile_40
False Negative,492,2,tile_40
False Positive,422143,2,tile_40
True Negative,549185,2,tile_40
True Positive,26181,2,tile_40
False Negative,42784,1,tile_49
False Positive,94813,1,tile_49
True Negative,589594,1,tile_49
True Positive,270810,1,tile_49
False Negative,94813,2,tile_49
False Positive,42784,2,tile_49
True Negative,270810,2,tile_49
True Positive,589594,2,tile_49
False Negative,105858,1,tile_50
False Positive,35688,1,tile_50
True Negative,612497,1,tile_50
True Positive,243958,1,tile_50
False Negative,35688,2,tile_50
False Positive,105858,2,tile_50
True Negative,243958,2,tile_50
True Positive,612497,2,tile_50
False Negative,122239,1,tile_51
False Positive,29698,1,tile_51
True Negative,267225,1,tile_51
True Positive,578839,1,tile_51
False Negative,29698,2,tile_51
False Positive,122239,2,tile_51
True Negative,578839,2,tile_51
True Positive,267225,2,tile_51
False Negative,440421,1,tile_60
False Positive,6271,1,tile_60
True Negative,250986,1,tile_60
True Positive,300323,1,tile_60
False Negative,6271,2,tile_60
False Positive,440421,2,tile_60
True Negative,300323,2,tile_60
True Positive,250986,2,tile_60
False Negative,125218,1,tile_61
False Positive,40932,1,tile_61
True Negative,407983,1,tile_61
True Positive,423868,1,tile_61
False Negative,40932,2,tile_61
False Positive,125218,2,tile_61
True Negative,423868,2,tile_61
True Positive,407983,2,tile_61
False Negative,534694,1,tile_71
False Positive,841,1,tile_71
True Negative,77102,1,tile_71
True Positive,385364,1,tile_71
False Negative,841,2,tile_71
False Positive,534694,2,tile_71
True Negative,385364,2,tile_71
True Positive,77102,2,tile_71
False Negative,285508,1,tile_72
False Positive,8608,1,tile_72
True Negative,191577,1,tile_72
True Positive,512308,1,tile_72
False Negative,8608,2,tile_72
False Positive,285508,2,tile_72
True Negative,512308,2,tile_72
True Positive,191577,2,tile_72
False Negative,476478,1,tile_82
False Positive,787,1,tile_82
True Negative,36191,1,tile_82
True Positive,484545,1,tile_82
False Negative,787,2,tile_82
False Positive,476478,2,tile_82
True Negative,484545,2,tile_82
True Positive,36191,2,tile_82
False Negative,155450,1,tile_83
False Positive,43385,1,tile_83
True Negative,293191,1,tile_83
True Positive,505975,1,tile_83
False Negative,43385,2,tile_83
False Positive,155450,2,tile_83
True Negative,505975,2,tile_83
True Positive,293191,2,tile_83
False Negative,151667,1,tile_94
False Positive,14687,1,tile_94
True Negative,281217,1,tile_94
True Positive,550430,1,tile_94
False Negative,14687,2,tile_94
False Positive,151667,2,tile_94
True Negative,550430,2,tile_94
True Positive,281217,2,tile_94
False Negative,486394,1,tile_95
False Positive,2083,1,tile_95
True Negative,52047,1,tile_95
True Positive,457477,1,tile_95
False Negative,2083,2,tile_95
False Positive,486394,2,tile_95
True Negative,457477,2,tile_95
True Positive,52047,2,tile_95
False Negative,377425,1,tile_106
False Positive,330,1,tile_106
True Negative,12710,1,tile_106
True Positive,607536,1,tile_106
False Negative,330,2,tile_106
False Positive,377425,2,tile_106
True Negative,607536,2,tile_106
True Positive,12710,2,tile_106
