Biomolecule,Algorithm,PVal
CH2O2[M]+,Truth,1.55063966210082e-05
CH2O2[M]+,Clara,0.00327361418782573
CH2O2[M]+,KCC,0.76456292408349
CH2O2[M]+,KMeans,0.76456292408349
CH2O2[M]+,Recolorize,0.553673769232556
CH2O2[M]+,Supercells,0.000254139749023133
CH2O2[M]+,Binning,0.760199798249788
CH2O2[M]+,MultiOtsu,0.51655918787237
CH2O2[M]+,PyTorch,0.00445855731615167
C22H32O9+Na,Truth,4.08345408848612e-14
C22H32O9+Na,Clara,0.134670231577091
C22H32O9+Na,KCC,0.548285325321414
C22H32O9+Na,KMeans,0.548285325321414
C22H32O9+Na,Recolorize,0.885396066557729
C22H32O9+Na,Supercells,0.0618580508408635
C22H32O9+Na,Binning,0.586943876276588
C22H32O9+Na,MultiOtsu,0.860217214338651
C22H32O9+Na,PyTorch,1.57277589000502e-12
C9H21N3O+H,Truth,0.0316022054192936
C9H21N3O+H,Clara,0.0786602466578588
C9H21N3O+H,KCC,0.191018811790154
C9H21N3O+H,KMeans,0.191018811790154
C9H21N3O+H,Recolorize,0.87491924431434
C9H21N3O+H,Supercells,3.46362419635529e-08
C9H21N3O+H,Binning,0.683413400352817
C9H21N3O+H,MultiOtsu,0.104633226757462
C9H21N3O+H,PyTorch,0.0379496489698054
C2H4O2[M]+,Truth,0.248379685258998
C2H4O2[M]+,Clara,3.49450554891673e-07
C2H4O2[M]+,KCC,0.000218832931653028
C2H4O2[M]+,KMeans,0.000218832931653028
C2H4O2[M]+,Recolorize,0.489517409453445
C2H4O2[M]+,Supercells,2.16492525690212e-19
C2H4O2[M]+,Binning,0.123490915702386
C2H4O2[M]+,MultiOtsu,6.33040880935177e-05
C2H4O2[M]+,PyTorch,0.587323472742003
C5H7NO3[M]+,Truth,0.03098754697361
C5H7NO3[M]+,Clara,0.0553063125244963
C5H7NO3[M]+,KCC,0.0233727680018857
C5H7NO3[M]+,KMeans,0.0233727680018857
C5H7NO3[M]+,Recolorize,0.0078145801191012
C5H7NO3[M]+,Supercells,0.597337825140271
C5H7NO3[M]+,Binning,0.0589900729565751
C5H7NO3[M]+,MultiOtsu,0.0098174140218235
C5H7NO3[M]+,PyTorch,0.170883340699721
C15H23N3O4+H,Truth,1.17543588231404e-20
C15H23N3O4+H,Clara,3.60418687308195e-06
C15H23N3O4+H,KCC,3.16565881080634e-05
C15H23N3O4+H,KMeans,3.16565881080634e-05
C15H23N3O4+H,Recolorize,0.345969865676762
C15H23N3O4+H,Supercells,0.105236819703036
C15H23N3O4+H,Binning,0.0557805420189863
C15H23N3O4+H,MultiOtsu,1.50741138440745e-05
C15H23N3O4+H,PyTorch,2.48172895118772e-26
C15H23N3O4[M]+,Truth,2.49487081401772e-16
C15H23N3O4[M]+,Clara,0.500438251204956
C15H23N3O4[M]+,KCC,0.349758937697347
C15H23N3O4[M]+,KMeans,0.349758937697347
C15H23N3O4[M]+,Recolorize,0.616011106362589
C15H23N3O4[M]+,Supercells,0.0114359260532754
C15H23N3O4[M]+,Binning,0.86848083292108
C15H23N3O4[M]+,MultiOtsu,0.491818331566498
C15H23N3O4[M]+,PyTorch,4.04296826258652e-13
C5H9N+K,Truth,4.38317403197105e-08
C5H9N+K,Clara,1.65022948571491e-14
C5H9N+K,KCC,8.54993325263467e-13
C5H9N+K,KMeans,8.54993325263467e-13
C5H9N+K,Recolorize,0.00305879762565321
C5H9N+K,Supercells,1.17268111285755e-06
C5H9N+K,Binning,0.000681225963908062
C5H9N+K,MultiOtsu,5.77522091191004e-14
C5H9N+K,PyTorch,9.30437742887072e-09
C7H8O2[M]+,Truth,0.593738476598947
C7H8O2[M]+,Clara,0.000180440247927776
C7H8O2[M]+,KCC,4.07399461691109e-05
C7H8O2[M]+,KMeans,4.07399461691109e-05
C7H8O2[M]+,Recolorize,0.308067133311235
C7H8O2[M]+,Supercells,0.0007133737254703
C7H8O2[M]+,Binning,0.247986074558014
C7H8O2[M]+,MultiOtsu,2.89373380295304e-05
C7H8O2[M]+,PyTorch,0.496196325759219
C5H11N+K,Truth,0.593738476598947
C5H11N+K,Clara,0.000180440247927776
C5H11N+K,KCC,4.07399461691109e-05
C5H11N+K,KMeans,4.07399461691109e-05
C5H11N+K,Recolorize,0.308067133311235
C5H11N+K,Supercells,0.0007133737254703
C5H11N+K,Binning,0.247986074558014
C5H11N+K,MultiOtsu,2.89373380295304e-05
C5H11N+K,PyTorch,0.496196325759219
C18H22BrNO+H,Truth,1.54002903354246e-19
C18H22BrNO+H,Clara,3.87280683396609e-07
C18H22BrNO+H,KCC,5.60457692867166e-07
C18H22BrNO+H,KMeans,5.60457692867166e-07
C18H22BrNO+H,Recolorize,0.00470746960460105
C18H22BrNO+H,Supercells,0.00205797577037147
C18H22BrNO+H,Binning,0.00590362343498945
