Biomolecule,Algorithm,PVal
CH2O2[M]+,Truth,1.73094535980405e-19
CH2O2[M]+,Clara,0.873403869222019
CH2O2[M]+,KCC,0.0472000172664627
CH2O2[M]+,KMeans,0.0472000172664627
CH2O2[M]+,Recolorize,0.0844243529667682
CH2O2[M]+,Supercells,0.827484933468152
CH2O2[M]+,Binning,0.143626668161225
CH2O2[M]+,MultiOtsu,0.147227959977571
CH2O2[M]+,PyTorch,1.20493615930728e-16
C22H32O9+Na,Truth,1.03502725599796e-39
C22H32O9+Na,Clara,0.00400804048852435
C22H32O9+Na,KCC,0.00014388223474676
C22H32O9+Na,KMeans,0.00014388223474676
C22H32O9+Na,Recolorize,0.000553501326777794
C22H32O9+Na,Supercells,5.798764750004e-08
C22H32O9+Na,Binning,0.00125888803586959
C22H32O9+Na,MultiOtsu,0.00695185687995207
C22H32O9+Na,PyTorch,1.0542318652223e-33
C9H21N3O+H,Truth,0.0382600038303379
C9H21N3O+H,Clara,0.418152985977762
C9H21N3O+H,KCC,0.546446518275206
C9H21N3O+H,KMeans,0.546446518275206
C9H21N3O+H,Recolorize,0.212423259593204
C9H21N3O+H,Supercells,0.00114211655890362
C9H21N3O+H,Binning,0.342377908337577
C9H21N3O+H,MultiOtsu,0.667938319098514
C9H21N3O+H,PyTorch,0.000244370212797357
C2H4O2[M]+,Truth,1.16669931566982e-28
C2H4O2[M]+,Clara,0.716019842164913
C2H4O2[M]+,KCC,0.234483904329199
C2H4O2[M]+,KMeans,0.234483904329199
C2H4O2[M]+,Recolorize,0.491406998276471
C2H4O2[M]+,Supercells,0.0417356355279382
C2H4O2[M]+,Binning,0.459592406568621
C2H4O2[M]+,MultiOtsu,0.555183101399478
C2H4O2[M]+,PyTorch,8.24090900825373e-36
C5H7NO3[M]+,Truth,0.0558647701057666
C5H7NO3[M]+,Clara,0.634480090807077
C5H7NO3[M]+,KCC,0.71319817776382
C5H7NO3[M]+,KMeans,0.71319817776382
C5H7NO3[M]+,Recolorize,0.212371629534304
C5H7NO3[M]+,Supercells,0.00988394695818874
C5H7NO3[M]+,Binning,0.515534417801877
C5H7NO3[M]+,MultiOtsu,0.659289240305221
C5H7NO3[M]+,PyTorch,0.601575487582153
C15H23N3O4+H,Truth,0.00558472232122584
C15H23N3O4+H,Clara,6.52481911430233e-05
C15H23N3O4+H,KCC,0.000886049874926948
C15H23N3O4+H,KMeans,0.000886049874926948
C15H23N3O4+H,Recolorize,0.635351811099463
C15H23N3O4+H,Supercells,0.00104589020550435
C15H23N3O4+H,Binning,0.895948430316531
C15H23N3O4+H,MultiOtsu,0.000660735261204486
C15H23N3O4+H,PyTorch,0.000139571274249536
C15H23N3O4[M]+,Truth,1.43390413654903e-29
C15H23N3O4[M]+,Clara,0.0103639077867782
C15H23N3O4[M]+,KCC,0.00114702155843212
C15H23N3O4[M]+,KMeans,0.00114702155843212
C15H23N3O4[M]+,Recolorize,0.00939305878187407
C15H23N3O4[M]+,Supercells,1.25745768169145e-13
C15H23N3O4[M]+,Binning,0.00959520568752199
C15H23N3O4[M]+,MultiOtsu,0.0167752207312879
C15H23N3O4[M]+,PyTorch,4.84777314253423e-30
C5H9N+K,Truth,0.224129904254788
C5H9N+K,Clara,0.000513340995430678
C5H9N+K,KCC,0.00320977769587555
C5H9N+K,KMeans,0.00320977769587555
C5H9N+K,Recolorize,0.168299954351918
C5H9N+K,Supercells,0.0546413418772777
C5H9N+K,Binning,0.172437961939286
C5H9N+K,MultiOtsu,0.00184042538768428
C5H9N+K,PyTorch,0.275344360736355
C7H8O2[M]+,Truth,0.272069118535756
C7H8O2[M]+,Clara,0.0594303313126115
C7H8O2[M]+,KCC,0.0198892293302155
C7H8O2[M]+,KMeans,0.0198892293302155
C7H8O2[M]+,Recolorize,0.47103044157302
C7H8O2[M]+,Supercells,0.728082195757429
C7H8O2[M]+,Binning,0.225980003217
C7H8O2[M]+,MultiOtsu,0.0386005777362666
C7H8O2[M]+,PyTorch,0.161590552962752
C5H11N+K,Truth,0.272069118535756
C5H11N+K,Clara,0.0594303313126115
C5H11N+K,KCC,0.0198892293302155
C5H11N+K,KMeans,0.0198892293302155
C5H11N+K,Recolorize,0.47103044157302
C5H11N+K,Supercells,0.728082195757429
C5H11N+K,Binning,0.225980003217
C5H11N+K,MultiOtsu,0.0386005777362666
C5H11N+K,PyTorch,0.161590552962752
C18H22BrNO+H,Truth,0.902396311200577
C18H22BrNO+H,Clara,0.0115174790894448
C18H22BrNO+H,KCC,0.0599211190878484
C18H22BrNO+H,KMeans,0.0599211190878484
C18H22BrNO+H,Recolorize,1.33714249924931e-05
C18H22BrNO+H,Supercells,0.0316204015027539
C18H22BrNO+H,Binning,0.000273279929768038
C18H22BrNO+H,MultiOtsu,0.065369483137453
C18H22BrNO+H,PyTorch,0.00619305575898807
C10H15N3O5[M]+,Truth,0.24895336578371
C10H15N3O5[M]+,Clara,0.395795709483217
C10H15N3O5[M]+,KCC,0.238119096774388
C10H15N3O5[M]+,KMeans,0.238119096774388
C10H15N3O5[M]+,Recolorize,0.187748909300926
C10H15N3O5[M]+,Supercells,0.940708043306337
C10H15N3O5[M]+,Binning,0.37696357408649
C10H15N3O5[M]+,MultiOtsu,0.16866751665295
C10H15N3O5[M]+,PyTorch,0.109049131019292
C5H8N2O2[M]+,Truth,9.97476368798736e-08
C5H8N2O2[M]+,Clara,0.167812962554135
C5H8N2O2[M]+,KCC,0.0290648833287494
C5H8N2O2[M]+,KMeans,0.0290648833287494
C5H8N2O2[M]+,Recolorize,0.0018970172696765
C5H8N2O2[M]+,Supercells,0.263922653721515
C5H8N2O2[M]+,Binning,0.00191405398611998
C5H8N2O2[M]+,MultiOtsu,0.026633507185739
C5H8N2O2[M]+,PyTorch,8.43905453914338e-05
C7H6O2[M]+,Truth,0.224129904254788
C7H6O2[M]+,Clara,0.000513340995430678
C7H6O2[M]+,KCC,0.00320977769587555
C7H6O2[M]+,KMeans,0.00320977769587555
C7H6O2[M]+,Recolorize,0.168299954351918
C7H6O2[M]+,Supercells,0.0546413418772777
C7H6O2[M]+,Binning,0.172437961939286
C7H6O2[M]+,MultiOtsu,0.00184042538768428
C7H6O2[M]+,PyTorch,0.275344360736355
C16H22N4O+Na,Truth,1.43390413654903e-29
C16H22N4O+Na,Clara,0.0103639077867782
C16H22N4O+Na,KCC,0.00114702155843212
C16H22N4O+Na,KMeans,0.00114702155843212
C16H22N4O+Na,Recolorize,0.00939305878187407
C16H22N4O+Na,Supercells,1.25745768169145e-13
C16H22N4O+Na,Binning,0.00959520568752199
C16H22N4O+Na,MultiOtsu,0.0167752207312879
C16H22N4O+Na,PyTorch,4.84777314253423e-30
C3H5NO[M]+,Truth,2.49338673853073e-23
C3H5NO[M]+,Clara,0.753504457053168
C3H5NO[M]+,KCC,0.0619974757058533
C3H5NO[M]+,KMeans,0.0619974757058533
C3H5NO[M]+,Recolorize,0.0133610285314889
C3H5NO[M]+,Supercells,8.84941561373649e-05
C3H5NO[M]+,Binning,0.0881599223437772
C3H5NO[M]+,MultiOtsu,0.233086293202215
C3H5NO[M]+,PyTorch,3.19254896464034e-24
C12H24O6[M]+,Truth,0.442645225986929
C12H24O6[M]+,Clara,0.0334403460630095
C12H24O6[M]+,KCC,0.120660907961875
C12H24O6[M]+,KMeans,0.120660907961875
C12H24O6[M]+,Recolorize,0.000237997144314625
C12H24O6[M]+,Supercells,0.516887476944461
C12H24O6[M]+,Binning,4.21172751988539e-05
C12H24O6[M]+,MultiOtsu,0.0982397734444949
C12H24O6[M]+,PyTorch,0.233110023976498
C5H9NO2+K,Truth,1.03678564606301e-13
C5H9NO2+K,Clara,0.00143541968869214
C5H9NO2+K,KCC,0.000966935758390072
C5H9NO2+K,KMeans,0.000966935758390072
C5H9NO2+K,Recolorize,0.108841102828354
C5H9NO2+K,Supercells,0.0091028772124096
C5H9NO2+K,Binning,0.0144445406561324
C5H9NO2+K,MultiOtsu,0.0086472507070738
C5H9NO2+K,PyTorch,2.52052199883583e-10
C5H9NO3+K,Truth,3.34593391330073e-16
C5H9NO3+K,Clara,0.00641381660709372
C5H9NO3+K,KCC,0.00107611243101273
C5H9NO3+K,KMeans,0.00107611243101273
C5H9NO3+K,Recolorize,0.028440588048803
C5H9NO3+K,Supercells,4.81789240597273e-05
C5H9NO3+K,Binning,0.0014747757228028
C5H9NO3+K,MultiOtsu,0.000527162536715594
C5H9NO3+K,PyTorch,5.37005086331179e-24
C7H6O5[M]+,Truth,3.34593391330073e-16
C7H6O5[M]+,Clara,0.00641381660709372
C7H6O5[M]+,KCC,0.00107611243101273
C7H6O5[M]+,KMeans,0.00107611243101273
C7H6O5[M]+,Recolorize,0.028440588048803
C7H6O5[M]+,Supercells,4.81789240597273e-05
C7H6O5[M]+,Binning,0.0014747757228028
C7H6O5[M]+,MultiOtsu,0.000527162536715594
C7H6O5[M]+,PyTorch,5.37005086331179e-24
C3H8N2O[M]+,Truth,1.09193695247121e-18
C3H8N2O[M]+,Clara,0.697829620625807
C3H8N2O[M]+,KCC,0.393527214831885
C3H8N2O[M]+,KMeans,0.393527214831885
C3H8N2O[M]+,Recolorize,0.0819779663116912
C3H8N2O[M]+,Supercells,0.281549375748787
C3H8N2O[M]+,Binning,0.328983544056646
C3H8N2O[M]+,MultiOtsu,0.583619171424999
C3H8N2O[M]+,PyTorch,7.70670225971802e-16
C13H23NO3+Na,Truth,0.442645225986929
C13H23NO3+Na,Clara,0.0334403460630095
C13H23NO3+Na,KCC,0.120660907961875
C13H23NO3+Na,KMeans,0.120660907961875
C13H23NO3+Na,Recolorize,0.000237997144314625
C13H23NO3+Na,Supercells,0.516887476944461
C13H23NO3+Na,Binning,4.21172751988539e-05
C13H23NO3+Na,MultiOtsu,0.0982397734444949
C13H23NO3+Na,PyTorch,0.233110023976498
C13H26N4O2+K,Truth,2.51658810386337e-27
C13H26N4O2+K,Clara,0.0115778260092778
C13H26N4O2+K,KCC,0.00103127704815209
C13H26N4O2+K,KMeans,0.00103127704815209
C13H26N4O2+K,Recolorize,0.00447361029001958
C13H26N4O2+K,Supercells,3.29192833033259e-14
C13H26N4O2+K,Binning,0.00380095625093337
C13H26N4O2+K,MultiOtsu,0.0143549710823949
C13H26N4O2+K,PyTorch,1.64442298127587e-27
C6H10N2O3[M]+,Truth,0.0701260944412081
C6H10N2O3[M]+,Clara,0.489131895240744
C6H10N2O3[M]+,KCC,0.787432954983958
C6H10N2O3[M]+,KMeans,0.787432954983958
C6H10N2O3[M]+,Recolorize,0.0130896348778815
C6H10N2O3[M]+,Supercells,0.268397284522441
C6H10N2O3[M]+,Binning,0.0176038255764192
C6H10N2O3[M]+,MultiOtsu,0.924062947179777
C6H10N2O3[M]+,PyTorch,0.0363079099941647
C4H6O5[M]+,Truth,0.0889726882425705
C4H6O5[M]+,Clara,0.7863794546611
C4H6O5[M]+,KCC,0.99424991635537
C4H6O5[M]+,KMeans,0.99424991635537
C4H6O5[M]+,Recolorize,0.202567950833762
C4H6O5[M]+,Supercells,0.835610341924209
C4H6O5[M]+,Binning,0.326364459033525
C4H6O5[M]+,MultiOtsu,0.902767637435316
C4H6O5[M]+,PyTorch,0.0712728613314377
C8H5NO2+Na,Truth,3.34593391330073e-16
C8H5NO2+Na,Clara,0.00641381660709372
C8H5NO2+Na,KCC,0.00107611243101273
C8H5NO2+Na,KMeans,0.00107611243101273
C8H5NO2+Na,Recolorize,0.028440588048803
C8H5NO2+Na,Supercells,4.81789240597273e-05
C8H5NO2+Na,Binning,0.0014747757228028
C8H5NO2+Na,MultiOtsu,0.000527162536715594
C8H5NO2+Na,PyTorch,5.37005086331179e-24
C3H6O3[M]+,Truth,0.231539961689533
C3H6O3[M]+,Clara,0.800444988403729
C3H6O3[M]+,KCC,0.69012850728191
C3H6O3[M]+,KMeans,0.69012850728191
C3H6O3[M]+,Recolorize,0.075100687500225
C3H6O3[M]+,Supercells,0.0977907761641346
C3H6O3[M]+,Binning,0.0991666020457869
C3H6O3[M]+,MultiOtsu,0.794121156526896
C3H6O3[M]+,PyTorch,0.265055330004019
C8H10S2[M]+,Truth,3.34593391330073e-16
C8H10S2[M]+,Clara,0.00641381660709372
C8H10S2[M]+,KCC,0.00107611243101273
C8H10S2[M]+,KMeans,0.00107611243101273
C8H10S2[M]+,Recolorize,0.028440588048803
C8H10S2[M]+,Supercells,4.81789240597273e-05
C8H10S2[M]+,Binning,0.0014747757228028
C8H10S2[M]+,MultiOtsu,0.000527162536715594
C8H10S2[M]+,PyTorch,5.37005086331179e-24
C12H13NO5+K,Truth,3.03742952218918e-16
C12H13NO5+K,Clara,0.000317698459174967
C12H13NO5+K,KCC,0.000112681019166103
C12H13NO5+K,KMeans,0.000112681019166103
